iter	RMSE
0	2.565129151
1	2.483507498
2	2.379690655
3	2.285220482
4	2.187221168
5	2.097069301
6	2.012136926
7	1.931966959
8	1.857916619
9	1.783727923
10	1.71844861
11	1.655069623
12	1.59065393
13	1.533633475
14	1.476470727
15	1.422941442
16	1.371907303
17	1.322621509
18	1.278209742
19	1.233834496
20	1.192883101
21	1.152846674
22	1.117126661
23	1.082928635
24	1.051652397
25	1.019792081
26	0.9910961196
27	0.962777449
28	0.9353442448
29	0.909051316
30	0.8841978713
31	0.8626925145
32	0.8416021958
33	0.8227598254
34	0.8044846625
35	0.7864215326
36	0.7677074636
37	0.7497517034
38	0.7328798317
39	0.7210665779
40	0.7071230326
41	0.6941624847
42	0.6836564439
43	0.6737231509
44	0.662846464
45	0.6518301631
46	0.6412371697
47	0.6302263031
48	0.622340231
49	0.6159987765
50	0.6086149479
51	0.5999256481
52	0.5919439239
53	0.5852387494
54	0.576338609
55	0.5711619022
56	0.5639579279
57	0.5586896694
58	0.5538341477
59	0.5488825054
60	0.5448850012
61	0.5400124178
62	0.5356419908
63	0.5321828482
64	0.5274452787
65	0.5226630317
66	0.5186439666
67	0.5153363707
68	0.5128983936
69	0.5091548239
70	0.506190372
71	0.5030096297
72	0.499183296
73	0.4954061835
74	0.4927466131
75	0.4912985033
76	0.4900839785
77	0.4886658415
78	0.4863057666
79	0.4833464349
80	0.4803952541
81	0.4782768176
82	0.4766217568
83	0.4754888284
84	0.4736686115
85	0.4715500225
86	0.4703583001
87	0.4697825855
88	0.4682272919
89	0.4668865344
90	0.4657959445
91	0.4655536765
92	0.4642272501
93	0.4633861538
94	0.4626375456
95	0.460749666
