iter	Passed	Remaining
0	40	122649
1	81	121674
2	121	121016
3	161	121315
4	195	116808
5	234	116878
6	273	116922
7	313	117208
8	355	118028
9	397	118754
10	438	119279
11	477	118960
12	519	119371
13	558	119161
14	599	119328
15	638	119113
16	673	118208
17	716	118701
18	754	118446
19	794	118450
20	835	118558
21	877	118788
22	917	118746
23	959	118991
24	999	118904
25	1038	118817
26	1077	118692
27	1116	118475
28	1155	118400
29	1197	118570
30	1255	120241
31	1296	120206
32	1337	120244
33	1376	120042
34	1415	119886
35	1453	119657
36	1492	119511
37	1531	119397
38	1570	119238
39	1610	119149
40	1655	119460
41	1694	119356
42	1736	119422
43	1774	119224
44	1813	119059
45	1854	119075
46	1896	119153
47	1940	119311
48	1982	119374
49	2022	119354
50	2081	120346
51	2163	122677
52	2246	124903
53	2342	127780
54	2391	128049
55	2440	128305
56	2485	128311
57	2524	128056
58	2568	128047
59	2620	128388
60	2692	129745
61	2749	130298
62	2793	130248
63	2833	129978
64	2870	129605
65	2907	129263
66	2948	129053
67	2966	127929
68	3004	127606
69	3043	127392
70	3086	127334
71	3133	127427
72	3172	127204
73	3213	127071
74	3257	127041
75	3297	126884
76	3336	126647
77	3377	126523
78	3427	126733
79	3469	126641
80	3512	126568
81	3551	126384
82	3591	126205
83	3632	126092
84	3673	125985
85	3713	125833
86	3765	126066
87	3808	126035
88	3846	125814
89	3884	125605
90	3925	125477
91	3944	124690
92	3984	124544
93	4024	124430
94	4069	124451
95	4080	123442
96	4120	123318
97	4165	123348
98	4208	123330
99	4250	123272
100	4297	123363
101	4339	123301
102	4380	123194
103	4421	123134
104	4465	123110
105	4502	122931
106	4543	122846
107	4583	122745
108	4621	122566
109	4662	122498
110	4709	122581
111	4747	122422
112	4788	122347
113	4831	122324
114	4883	122518
115	4930	122584
116	4976	122617
117	5017	122556
118	5059	122491
119	5105	122541
120	5156	122695
121	5209	122887
122	5253	122878
123	5302	122977
124	5342	122868
125	5374	122593
126	5417	122549
127	5445	122182
128	5485	122087
129	5528	122043
130	5571	122015
131	5613	121967
132	5654	121897
133	5696	121841
134	5734	121702
135	5773	121588
136	5812	121476
137	5851	121352
138	5892	121279
139	5945	121467
140	5971	121087
141	6014	121059
142	6053	120941
143	6096	120921
144	6136	120828
145	6155	120318
146	6204	120418
147	6248	120402
148	6293	120418
149	6322	120120
150	6364	120079
151	6406	120029
152	6446	119963
153	6488	119909
154	6515	119590
155	6555	119513
156	6594	119409
157	6643	119506
158	6693	119596
159	6732	119503
160	6775	119472
161	6812	119352
162	6855	119314
163	6898	119301
164	6940	119248
165	6983	119231
