,,,,,,,,,,,,Concentrations,,,,,,,,,,,,,,Flow and Method,,,,,Load,,,,,,,,,,,,,,,,
Date,Year,Irrigation,Rep,Treatment,Inflow/Outflow,Sample ID,FF,Composite,Duplicate ,Flag,No.Runoff ,Ortho.P,Total.P,ICP ,TKN,Nitrate ,Nitrite,Nitrate/Nitrite,Total.N,Ammonium (NH4),TSP,Selenium,NPOC,TDS,TSS,Volume,Sample.Method,Measure.Method,Irr.Method,Flume.Method,Ortho.P,Total.P,ICP ,TKN,Nitrate ,Nitrite,Nitrate/Nitrite,Total.N,Ammonium (NH4),TSP,Selenium,NPOC,TDS,TSS,TSS.Method ,Lab,Notes
(mm/dd/yy),yyyy,1-#,"1, 2","CT, MT, ST","INF, OUT",,"TRUE, FALSE","TRUE, FALSE, AC","TRUE, FALSE","J, H, etc.","TRUE, FALSE",mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,L,"GB, GBH, GBW, GB3,  LC, ISC, None","Ruler, Bubbler, Etape, 7 L bucket, 3 L bottle, GBFM, None","Siphon, Gated Pipe","Weir, 7 V, 10 V, 60 V Trap",mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,,,
6/30/2011,2011,1,1,CT,INF,INF-01-GB,FALSE,FALSE,FALSE,NA,FALSE,0.01,0.077,0.033,NA,6.4,NA,NA,7.36,NA,NA,NA,NA,NA,NA,55761.14,GB,7 L Bucket,Siphon,Weir,557.611,4293.608,1840.118,#VALUE!,356871.296,#VALUE!,#VALUE!,410401.99,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,None,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",OG Sample ID: Inflow 1. Irr. 1 inflow was a combination of 1 L and 7 L bucket to measure 
6/30/2011,2011,1,1,MT,INF,INF-01-GB,FALSE,FALSE,FALSE,NA,FALSE,0.01,0.077,0.033,NA,6.4,NA,NA,7.36,NA,NA,NA,NA,NA,NA,97028.4,GB,7 L Bucket,Siphon,Weir,970.284,7471.187,3201.937,#VALUE!,620981.76,#VALUE!,#VALUE!,714129.024,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,None,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",OG Sample ID: Inflow 1
6/30/2011,2011,1,1,ST,INF,INF-01-GB,FALSE,FALSE,FALSE,NA,FALSE,0.01,0.077,0.033,NA,6.4,NA,NA,7.36,NA,NA,NA,NA,NA,NA,100037.97,GB,7 L Bucket,Siphon,Weir,1000.38,7702.924,3301.253,#VALUE!,640243.008,#VALUE!,#VALUE!,736279.459,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,None,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",OG Sample ID: Inflow 1
7/1/2011,2011,1,2,CT,INF,INF-01-GB,FALSE,FALSE,FALSE,NA,FALSE,0.01,0.077,0.033,NA,6.4,NA,NA,7.36,NA,NA,NA,NA,NA,NA,52493.88,GB,7 L Bucket,Siphon,Weir,524.939,4042.029,1732.298,#VALUE!,335960.832,#VALUE!,#VALUE!,386354.957,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,None,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",OG Sample ID: Inflow 1
7/1/2011,2011,1,2,MT,INF,INF-01-GB,FALSE,FALSE,FALSE,NA,FALSE,0.01,0.077,0.033,NA,6.4,NA,NA,7.36,NA,NA,NA,NA,NA,NA,78282.14,GB,7 L Bucket,Siphon,Weir,782.821,6027.725,2583.311,#VALUE!,501005.696,#VALUE!,#VALUE!,576156.55,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,None,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",OG Sample ID: Inflow 1
7/1/2011,2011,1,2,ST,INF,INF-01-GB,FALSE,FALSE,FALSE,NA,FALSE,0.01,0.077,0.033,NA,6.4,NA,NA,7.36,NA,NA,NA,NA,NA,NA,71354.51,GB,7 L Bucket,Siphon,Weir,713.545,5494.297,2354.699,#VALUE!,456668.864,#VALUE!,#VALUE!,525169.194,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,None,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",OG Sample ID: Inflow 1
6/30/2011,2011,1,1,CT,OUT,CT1-01-OT,FALSE,AC,FALSE,NA,FALSE,0.064,1.431,0.117,NA,8.567,NA,NA,12.703,NA,NA,NA,NA,NA,1621.2,11576.43,GBW,Transducer,Siphon,Weir,737.033,16565.871,1358.301,#VALUE!,99171.417,#VALUE!,#VALUE!,147059.249,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,18767708.32,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three. "
6/30/2011,2011,1,1,MT,OUT,NT1-01-OT,FALSE,AC,FALSE,NA,FALSE,0.087,1.556,0.114,NA,7.967,NA,NA,10.15,NA,NA,NA,NA,NA,583.04,21021.89,GBW,Transducer,Siphon,Weir,1835.912,32717.068,2403.503,#VALUE!,167474.39,#VALUE!,#VALUE!,213372.184,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,12256602.75,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: NT1-T1, NT1-T2, NT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three. NT represents No Till"
