"Operation","Speed","Speed_MIN","Speed_Max","Surf_Disturbance","Depth","Depth_MIN","Depth_MAX","TILLAGE_TYPE","TILLAGE_TYPE_Modifier","STIR_original","Diesel_use","Burial_Coefficient","Source","Description"
"Aerator, field surface, ground driven 0 degree offset",9.654,5.6315,10.4585,30,15.24,7.62,20.32,"TILLAGE_TYPE_LIFT",0.4,7.02,3.2389,0.2,"USDA_MOSES_2023-02-24","AerWay tool .  Ground driven  8"" knife-tines mounted on a rotating shaft pulled across the soil, punch holes and shatter soil sideways as the blades rotate out of the soil.  Little inversion or residue burial.  0 degree offset gang angle.  060605 DTL"
"Aerator, field surface, ground driven 10 degree offset",9.654,5.6315,10.4585,100,15.24,7.62,20.32,"TILLAGE_TYPE_LIFT",0.4,23.4,5.0897,0.35,"USDA_MOSES_2023-02-24","AerWay tool .  Ground driven  8"" knife-tines mounted on a rotating shaft pulled across the soil, punch holes and shatter soil sideways as the blades rotate out of the soil.  Moderate inversion and residue burial.  10 degree offset gang angle.  060605 DTL"
"Aerator, field surface, ground driven 5 degree offset",9.654,5.6315,10.4585,50,15.24,7.62,20.32,"TILLAGE_TYPE_LIFT",0.4,11.7,4.1643,0.25,"USDA_MOSES_2023-02-24","AerWay tool .  5 degree gang angle setting.  Ground driven  8"" knife-tines mounted on a rotating shaft pulled across the soil, punch holes and shatter soil sideways as the blades rotate out of the soil.  Little inversion or residue burial.  10/11/01 DTL"
"Aerator, single drum, lugs, angle 0",9.654,4.827,17.699,33,11.43,7.62,15.24,"TILLAGE_TYPE_MIX_INV",0.8,11.583,3.2389,0.2,"USDA_MOSES_2023-02-24","Drum aerator typified by the Lawson Single Drum Pasture Aerator .  Ground driven  roller drum with 6"" blade lugs attached to a large roller drum mounted on a rotating shaft pulled across the soil. Punches holes and shatters soil as the blades rotate out of the soil.  Moderate soil disturbance, inversion and residue burial.  Drum is perpendicular to direction of travel with blade lugs mounted in a spiral fashion to reduce bounce.  020309 DTL

"
"Aerator, tandem drum, lugs, angle 10",9.654,4.827,17.699,100,11.43,7.62,15.24,"TILLAGE_TYPE_MIX_INV",0.8,35.1,6.0151,0.35,"USDA_MOSES_2023-02-24","Tandem Drum aerator typified by the Lawson Tandem Pasture Aerator .  Tandem ground driven  roller drums with 6"" blade lugs attached to large roller drums mounted on a rotating shaft pulled across the soil. Punches holes and shatters soil as the blades rotate out of the soil.  Total soil disturbance with moderate inversion and residue burial.  10 degree offset gang angle.  020309 DTL"
"Aerator, tandem drum, lugs, angle 5",9.654,4.827,17.699,80,11.43,7.62,15.24,"TILLAGE_TYPE_MIX_INV",0.8,28.08,5.0897,0.25,"USDA_MOSES_2023-02-24","Tandem Drum aerator typified by the Lawson Tandem Pasture Aerator .  Tandem ground driven  roller drums with 6"" blade lugs attached to large roller drums mounted on a rotating shaft pulled across the soil. Punches holes and shatters soil as the blades rotate out of the soil.  Significantl soil disturbance with moderate inversion and residue burial.  5 degree offset gang angle.  020309 DTL"
"Bed shaper",8.045,5.6315,10.4585,75,10.16,7.62,15.24,"TILLAGE_TYPE_MIX_INV",0.8,19.5,3.51652,0.375,"USDA_MOSES_2023-02-24","Bed shaping operation on existing beds.  May include drip tape installation. 10/28/01 DTL"
"Bed shaper high disturbance",8.045,5.6315,10.4585,100,10.16,7.62,15.24,"TILLAGE_TYPE_MIX_INV",0.8,26,4.1643,0.73,"USDA_MOSES_2023-02-24","Bed shaping operation on existing beds with high disturbance.  (Similar to Sundance wide bed disk and Rome Pegasus machines).    Rev040805 DTL"
"Bed shaper, 12 in",8.045,5.6315,10.4585,75,10.16,7.62,15.24,"TILLAGE_TYPE_MIX_INV",0.8,19.5,4.1643,0.375,"USDA_MOSES_2023-02-24","Bed shaping operation on existing 12"" high beds.  May include drip tape installation.  11/18/01 DTL"
"Bed shaper, 12 in, low flattening",8.045,5.6315,10.4585,75,10.16,7.62,15.24,"TILLAGE_TYPE_MIX_INV",0.8,19.5,4.1643,0.375,"USDA_MOSES_2023-02-24","Bed shaping operation on existing 12"" high beds in standing row crop residue.  Since no crop was planted in the furrows the residue flattening is minimal.   When reshaping beds following drilled or broadcast crops use Bed shaper, 12 in  03112010 DTL"
"Bed shaper, low flattening, high disturbance",8.045,5.6315,10.4585,100,10.16,7.62,15.24,"TILLAGE_TYPE_MIX_INV",0.8,26,4.1643,0.73,"USDA_MOSES_2023-02-24","Bed shaping operation on existing 10"" high beds in standing row crop residue.  Since no crop is planted in the furrows the residue flattening is minimal.  When reshaping beds following drilled or broadcast crops use Bed shaper, 12 in  03112010 DTL   Bed shaping operation on existing beds with high disturbance.  (Similar to Middle Buster machines) with inversion tillage.  Cloned from Bed shaper high disturbance.  Flattening changed to 0.1 because the machine is run in row middles and leaves the standing residue on the bed. 3-11-10 MAS

"
"Bedder, hipper, disk hiller",8.045,4.827,9.654,100,10.16,5.08,12.7,"TILLAGE_TYPE_MIX_INV",0.8,26,4.1643,0.95,"USDA_MOSES_2023-02-24","10/26/01 DTL
"
"Bedder, hipper, disk hiller after small grains",8.045,4.827,9.654,100,10.16,5.08,12.7,"TILLAGE_TYPE_MIX_INV",0.8,26,4.1643,0.55,"USDA_MOSES_2023-02-24","10/26/01 DTL.  11/10/2014 GGF, modified the burial amounts of the disturb surface process for use after small grains in high-residue fields.
"
"Bedder, hipper, hiller 12 in high",8.045,4.827,9.654,100,15.24,10.16,20.32,"TILLAGE_TYPE_MIX_INV",0.8,39,4.627,0.95,"USDA_MOSES_2023-02-24","Bedder/hipper/ridger with high 12"" ridges. 11/08/01 DTL"
"Bedder, hipper, hiller 15 in high",8.045,4.827,9.654,100,17.78,12.7,22.86,"TILLAGE_TYPE_MIX_INV",0.8,45.5,5.5524,0.95,"USDA_MOSES_2023-02-24","Bedder/hipper/ridger with high 15 inch ridges.02-28-02 DTL"
"Bedder, hipper, hiller 18 in high",8.045,4.827,9.654,100,20.32,15.24,25.4,"TILLAGE_TYPE_MIX_INV",0.8,52,6.9405,0.95,"USDA_MOSES_2023-02-24","Bedder/hipper/ridger with high 18 inch ridges. 2-28-02 DTL"
"Bulldozer, clearing/cutting",3.218,1.609,4.827,100,12.7,7.62,25.4,"TILLAGE_TYPE_INVERSION",1,16.25,4.627,0.9,"USDA_MOSES_2023-02-24","Clearing and or cutting with a bulldozer  101009 DTL"
"Bulldozer, clearing/cutting light",3.218,1.609,4.827,85,5.08,2.54,7.62,"TILLAGE_TYPE_COMPRESSION",0.15,0.82875,4.627,0.646,"USDA_MOSES_2023-02-24","Bulldozer, clearing/cutting light.  Grader or dozer blade for cutting and clearing vegetation.  Clears amd removes surface material with little to moderate disturbance of soil and roots.  06/26/03 DTL
from RUSLE1.06.  062403 gaw."
"Bulldozer, filling/leveling",3.218,1.609,4.827,100,5.08,2.54,10.16,"TILLAGE_TYPE_MIX_INV",0.8,5.2,5.5524,0.99,"USDA_MOSES_2023-02-24","Grader or dozer blade for filling and leveling material.  
from RUSLE1.06.  062403 gaw."
"Burrowing, heavy, Prairie dog",1.609,1.609,1.609,70,45.72,30.48,60.96,"TILLAGE_TYPE_MIX_INV",0.8,16.38,9.254e-08,0.7,"USDA_MOSES_2023-02-24","Prairie dog burrowing high infestation.  062205 DTL"
"Burrowing, light, Prairie dog",1.609,1.609,1.609,15,45.72,30.48,60.96,"TILLAGE_TYPE_MIX_INV",0.8,3.51,9.254e-08,0.15,"USDA_MOSES_2023-02-24","Prairie dog burrowing light infestation.  062205 DTL"
"Burrowing, moderate, Prairie dog",1.609,1.609,1.609,45,45.72,30.48,60.96,"TILLAGE_TYPE_MIX_INV",0.8,10.53,9.254e-08,0.45,"USDA_MOSES_2023-02-24","Prairie dog burrowing moderate infestation.  062205 DTL"
"Chisel plow, coulter, st. pts.",8.045,5.6315,10.4585,55,5.08,3.81,6.35,"TILLAGE_TYPE_MIX_INV",0.8,52.65,11.1048,0.1925,"USDA_MOSES_2023-02-24","Chisel plow with coulters and straight points  062806 DTL REV 110207 DTL"
"Chisel plow, coulter, st. pts., cover disks",8.045,5.6315,10.4585,55,5.08,3.81,6.35,"TILLAGE_TYPE_MIX_INV",0.8,56.30625,12.9556,0.1925,"USDA_MOSES_2023-02-24","Coulter chisel plow with straight points and covering disks. 061206 DTL REV 110207 DTL"
