"Operation","Speed","Speed_MIN","Speed_Max","Surf_Disturbance","Depth","Depth_MIN","Depth_MAX","TILLAGE_TYPE","TILLAGE_TYPE_Modifier","STIR_original","Diesel_use","Burial_Coefficient","Source","Description"
"bedder",8,5,10,100,15,10,20,"TILLAGE_TYPE_MIX_INV",0.8,39,4.63,0.95,"SoilX","Assumed to be the same as 'Bedder, hipper, hiller 12 in high' from RUSLE2, rounded values to SI units"
"beet_lifter",5,5,10,100,30,25,36,"TILLAGE_TYPE_MIX_INV",0.8,47,17.3,0,"SoilX","Assumed to be the same as 'Harvest, dig root crops 12 in depth res. on surf' from RUSLE2, rounded values to SI units"
"broadcast_seeder",6,5,13,5,5,3,8,"TILLAGE_TYPE_MIX_INV",0.8,1,3.61,0.73,"SoilX","Assumed to be the same as 'Planter, sprig, no-till' from RUSLE2, rounded values to SI units"
"classic_drill",8,6,10,65,4,3,5,"TILLAGE_TYPE_MIX_INV",0.8,6,3.33,0.2275,"SoilX","Assumed to be the same as 'Drill or airseeder, double disk' from RUSLE2, rounded values to SI units"
"classic_single_grain",8,6,10,15,6,5,10,"TILLAGE_TYPE_MIX_INV",0.8,2,4.07,0.0525,"SoilX","Assumed to be the same as 'Planter, double disk opnr ' from RUSLE2, rounded values to SI units"
"compost_broadcast",6,5,13,20,3,3,3,"TILLAGE_TYPE_COMPRESSION",0.15,0,11.38,0.07,"SoilX","Assumed to be the same as 'Manure spreader, solid and semi-solid' from RUSLE2, rounded values to SI units"
"deep_tiller",6,2,8,100,10,5,15,"TILLAGE_TYPE_MIXING",0.7,18,19.43,0.9,"SoilX","Assumed to be the same as 'Rototiller, field' from RUSLE2, rounded values to SI units"
"direct_drill",8,6,10,65,4,3,5,"TILLAGE_TYPE_MIX_INV",0.8,6,3.33,0.2275,"SoilX","Assumed to be the same as 'Drill or airseeder, double disk' from RUSLE2, rounded values to SI units"
"direct_single_grain",8,6,10,15,6,5,10,"TILLAGE_TYPE_MIX_INV",0.8,2,4.07,0.0525,"SoilX","Assumed to be the same as 'Planter, double disk opnr ' from RUSLE2, rounded values to SI units"
"disk_harrow",8,5,10,100,15,10,18,"TILLAGE_TYPE_MIX_INV",0.8,39,8.33,0.95,"SoilX","Assumed to be the same as 'Disk, offset, heavy' from RUSLE2, rounded values to SI units"
"fine_cultivator",10,5,13,100,10,5,15,"TILLAGE_TYPE_MIX_INV",0.8,34,8.88,0.5,"SoilX","Assumed to be the same as 'Cultivator, field w/ spike points, coil tine har' from RUSLE2, rounded values to SI units"
"fine_cultivator_sweeps",8,6,10,100,10,5,15,"TILLAGE_TYPE_MIX_INV",0.8,26,6.85,0.4,"SoilX","Assumed to be the same as 'Cultivator, field 6-12 in sweeps' from RUSLE2, rounded values to SI units"
"finger_hoe",16,10,24,85,4,3,6,"TILLAGE_TYPE_MIX_INV",0.8,17,2.31,0.2975,"SoilX","Assumed to be the same as 'Rotary hoe' from RUSLE2, rounded values to SI units"
"grassland_reseeder",8,5,10,100,5,3,8,"TILLAGE_TYPE_MIX_INV",0.8,13,3.7,0.73,"SoilX","Assumed to be the same as 'Planter, sprig conventional' from RUSLE2, rounded values to SI units"
"heavy_duty_cultivator",8,6,10,100,18,10,20,"TILLAGE_TYPE_MIX_INV",0.8,46,9.25,0.76,"SoilX","Assumed to be the same as 'Chisel, st. pt. ' from RUSLE2, rounded values to SI units"
"heavy_duty_cultivator_sweeps",8,6,10,100,18,13,23,"TILLAGE_TYPE_MIX_INV",0.8,46,10.18,0.6,"SoilX","Assumed to be the same as 'Chisel, sweep shovel ' from RUSLE2, rounded values to SI units"
"knife_roller",6,5,13,10,3,3,3,"TILLAGE_TYPE_COMPRESSION",0.15,0,2.31,0.05,"SoilX","Assumed to be the same as 'Roller, crimp, covercrop' from RUSLE2, rounded values to SI units"
"liquid_injection",8,6,10,40,10,8,15,"TILLAGE_TYPE_LIFT",0.4,5,8.33,0.2,"SoilX","Assumed to be the same as 'Fert. applic. anhyd knife 15 in spacing' from RUSLE2, rounded values to SI units"
"liquid_organic_broadcast",6,5,13,20,4,3,5,"TILLAGE_TYPE_COMPRESSION",0.15,0,11.38,0.07,"SoilX","Assumed to be the same as 'Manure spreader, liquid' from RUSLE2, rounded values to SI units"
"liquid_organic_draghose",6,5,13,20,4,3,5,"TILLAGE_TYPE_COMPRESSION",0.15,0,11.38,0.07,"SoilX","Assumed to be the same as 'Manure spreader, liquid' from RUSLE2, rounded values to SI units"
"liquid_organic_injection",6,6,10,50,15,10,25,"TILLAGE_TYPE_LIFT",0.4,8,14.44,0.38,"SoilX","Assumed to be the same as 'Manure injector, liquid high disturb.30 inch' from RUSLE2, rounded values to SI units"
"liquid_organic_trailingshoe",6,6,10,30,15,10,20,"TILLAGE_TYPE_LIFT",0.4,5,14.44,0.228,"SoilX","Assumed to be the same as 'Manure injector, liquid low disturb.15 inch' from RUSLE2, rounded values to SI units"
