Date,Tractor Model,Horsepower,Implement Model,Implement Size,Notes,Operation,SWAT Implement,Tillage Code,Mixing Depth (mm),Mixing Efficiency,Area Fraction,Type / Note,Op System,Compute_Warning,Disturbance_Fraction
2011-01-01,JD 8310,205.0,JD 915 V Ripper,~ 18.75 - 22.5 ft,https://www.sunequip.com/new-equipment/farming-equipment/tillage/rippers/915-v-ripper/,Deep Ripper,Deep Ripper–Subsoiler,RIPRSUBS,350.0,0.25,1.0,Tillage (use VRIPPER 350/0.25 if V-ripper specified),CT,,0.4375
2011-01-01,JD 8310,205.0,Case 165 6 Bottom Plow,,,Moldboard Plow,Moldboard Plow (Reg),MLDBOARD,150.0,0.95,1.0,Tillage,CT,,0.7124999999999999
2011-03-03,JD 7820,180.0,6 row Orthman Cultivator 8375,6 row,"For 2011 and 2012, we don't have super detailed records of tools, so I'll just use what we used for later years",Harrow,Harrow (Tines),HARROW,25.0,0.2,1.0,Tillage (light),CT,,0.025
2011-03-03,JD 7820,180.0,6 row Orthman Cultivator 8375,6 row,,Harrow,Harrow (Tines),HARROW,25.0,0.2,1.0,Tillage (light),CT,,0.025
2011-03-15,JD 7820,189.0,Eversman 2400 Landplane,24',,Landplane,Land Plane–Leveler,LANDLEVL,75.0,0.5,1.0,Tillage (leveling/seedbed),CT,,0.1875
2011-03-15,JD 7820,189.0,Eversman 2400 Landplane,24',,Landplane,Land Plane–Leveler,LANDLEVL,75.0,0.5,1.0,Tillage (leveling/seedbed),CT,,0.1875
2011-04-02,JD 4455,156.0,Pipe Ditcher,6 row,,Ditch,,,,,,,CT,,0.0
2011-04-05,JD 4455,156.0,JD 970 Cultipacker,,,Cultipack,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass,CT,,0.06999999999999999
2011-05-04,JD 6130R,130.0,Monosem NG+4 6 Row,6 row,,Plant,,,,,,,CT,,0.0
2011-05-04,JD 6130R,130.0,Monosem NG+4 6 Row,6 row,,Fertilizer Application,,,,,,,CT,,0.0
2011-05-16,,,,,,Pesticide Application,—,—,0.0,0.0,0.0,Non-tillage,CT,,0.0
2011-06-23,JD 4440,144.0,PV COOP Spreader Cart,,,Fertilizer Application,,,,,,,CT,,0.0
2011-06-27,JD 4455,156.0,Eversman 6 row Cultivator,6 row,,Cultivate,Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),CT,,0.021875
2011-11-15,1660 Combine,,,,,Harvest,,,,,,,CT,,0.0
2011-11-29,,,Alloway Flail Shredder,,,Chop and Windrow,—,—,0.0,0.0,0.0,Non-tillage,CT,,0.0
2011-11-29,,,JD 568 Round Baler 5x6,,,Bail,,,,,,,CT,,0.0
2011-11-30,JD 7820,189.0,JD 640 Disc,15',,Disc,Tandem Disk (Reg),TANDEMRG,75.0,0.6,1.0,Tillage,CT,,0.22499999999999998
2012-03-05,JD 8310,205.0,Case 165 6 Bottom Plow,,,Moldboard Plow,Moldboard Plow (Reg),MLDBOARD,150.0,0.95,1.0,Tillage,CT,,0.7124999999999999
2012-03-08,JD 7820,180.0,6 row Orthman Cultivator 8375,6 row,,Harrow,Harrow (Tines),HARROW,25.0,0.2,1.0,Tillage (light),CT,,0.025
2012-03-08,JD 7820,180.0,6 row Orthman Cultivator 8375,6 row,,Harrow,Harrow (Tines),HARROW,25.0,0.2,1.0,Tillage (light),CT,,0.025
2012-03-14,JD 7820,189.0,Eversman 2400 Landplane,24',,Landplane,Land Plane–Leveler,LANDLEVL,75.0,0.5,1.0,Tillage (leveling/seedbed),CT,,0.1875
2012-03-14,JD 7820,189.0,Eversman 2400 Landplane,24',,Landplane,Land Plane–Leveler,LANDLEVL,75.0,0.5,1.0,Tillage (leveling/seedbed),CT,,0.1875
2012-04-13,JD 4455,156.0,Pipe Ditcher,6 row,,Ditch,,,,,,,CT,,0.0
2012-04-13,JD 7820,189.0,Hawkins 6 Row Bedder,6 row,,Condition Seedbeds,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage,CT,,0.20625000000000002
2012-05-03,JD 6130R,130.0,Monosem NG+4 6 Row,6 row,,Plant,,,,,,,CT,,0.0
2012-05-03,JD 4440,144.0,PV COOP Spreader Cart,,,Fertilizer Application,,,,,,,CT,,0.0
2012-05-10,JD 4455,156.0,Pipe Ditcher,6 row,,Pack Furrows,Roller Packer (Flat Roller),ROLPKRFT,40.0,0.35,0.3,Tillage (packing/firming furrows),CT,,0.020999999999999998
2012-05-10,,,,,,Pesticide Application,—,—,0.0,0.0,0.0,Non-tillage,CT,,0.0
2012-06-04,JD 4455,156.0,Pipe Ditcher,6 row,,Pack Furrows,Roller Packer (Flat Roller),ROLPKRFT,40.0,0.35,0.3,Tillage (packing/firming furrows),CT,,0.020999999999999998
2012-06-20,,,,,,Pesticide Application,—,—,0.0,0.0,0.0,Non-tillage,CT,,0.0
2012-06-26,JD 4440,144.0,PV COOP Spreader Cart,,,Fertilizer Application,,,,,,,CT,,0.0
2012-06-26,JD 4455,156.0,Eversman 6 row Cultivator,6 row,,Cultivate,Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),CT,,0.021875
2012-11-01,1660 Combine,,,,,Harvest,,,,,,,CT,,0.0
2012-11-15,,,Alloway Flail Shredder,,,Chop and Windrow,—,—,0.0,0.0,0.0,Non-tillage,CT,,0.0
2012-11-15,,,JD 568 Round Baler 5x6,,,Bail,,,,,,,CT,,0.0
2012-12-08,JD 8310,205.0,Case 165 6 Bottom Plow,,,Moldboard Plow,Moldboard Plow (Reg),MLDBOARD,150.0,0.95,1.0,Tillage,CT,,0.7124999999999999
2013-03-11,JD 7820,189.0,Eversman 2400 Landplane,24',,Landplane,Land Plane–Leveler,LANDLEVL,75.0,0.5,1.0,Tillage (leveling/seedbed),CT,,0.1875
2013-03-29,JD 7820,189.0,Hawkins 6 Row Bedder,6 row,,Condition Seedbeds,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage,CT,,0.20625000000000002
