Date,Tractor Model,Horsepower,Implement Model,Implement Size,Notes,Operation,SWAT Implement,Tillage Code,Mixing Depth (mm),Mixing Efficiency,Area Fraction,Type / Note,Op System,Compute_Warning,Disturbance_Fraction,RowID,Window_ID,Window_Start,Window_End,Crop,Disturbance_Cum,Disturbance_CumAllYears
2011-01-01,JD 8310,205.0,JD 915 V Ripper,~ 18.75 - 22.5 ft,https://www.sunequip.com/new-equipment/farming-equipment/tillage/rippers/915-v-ripper/,Deep Ripper,Deep Ripper–Subsoiler,RIPRSUBS,350.0,0.25,1.0,Tillage (use VRIPPER 350/0.25 if V-ripper specified),CT,,0.4375,0,1.0,1677-09-21 00:12:43.145224193,2011-11-15,grain corn,0.4375,0.4375
2011-01-01,JD 8310,205.0,Case 165 6 Bottom Plow,,,Moldboard Plow,Moldboard Plow (Reg),MLDBOARD,150.0,0.95,1.0,Tillage,CT,,0.7124999999999999,1,1.0,1677-09-21 00:12:43.145224193,2011-11-15,grain corn,1.15,1.15
2011-03-03,JD 7820,180.0,6 row Orthman Cultivator 8375,6 row,"For 2011 and 2012, we don't have super detailed records of tools, so I'll just use what we used for later years",Harrow,Harrow (Tines),HARROW,25.0,0.2,1.0,Tillage (light),CT,,0.025,2,1.0,1677-09-21 00:12:43.145224193,2011-11-15,grain corn,1.1749999999999998,1.1749999999999998
2011-03-03,JD 7820,180.0,6 row Orthman Cultivator 8375,6 row,,Harrow,Harrow (Tines),HARROW,25.0,0.2,1.0,Tillage (light),CT,,0.025,3,1.0,1677-09-21 00:12:43.145224193,2011-11-15,grain corn,1.2,1.2
2011-03-15,JD 7820,189.0,Eversman 2400 Landplane,24',,Landplane,Land Plane–Leveler,LANDLEVL,75.0,0.5,1.0,Tillage (leveling/seedbed),CT,,0.1875,4,1.0,1677-09-21 00:12:43.145224193,2011-11-15,grain corn,1.3875,1.3875
2011-03-15,JD 7820,189.0,Eversman 2400 Landplane,24',,Landplane,Land Plane–Leveler,LANDLEVL,75.0,0.5,1.0,Tillage (leveling/seedbed),CT,,0.1875,5,1.0,1677-09-21 00:12:43.145224193,2011-11-15,grain corn,1.575,1.575
2011-04-02,JD 4455,156.0,Pipe Ditcher,6 row,,Ditch,,,,,,,CT,,0.0,6,1.0,1677-09-21 00:12:43.145224193,2011-11-15,grain corn,1.575,1.575
2011-04-05,JD 4455,156.0,JD 970 Cultipacker,,,Cultipack,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass,CT,,0.06999999999999999,7,1.0,1677-09-21 00:12:43.145224193,2011-11-15,grain corn,1.6449999999999998,1.6449999999999998
2011-05-04,JD 6130R,130.0,Monosem NG+4 6 Row,6 row,,Fertilizer Application,,,,,,,CT,,0.0,9,1.0,1677-09-21 00:12:43.145224193,2011-11-15,grain corn,1.6449999999999998,1.6449999999999998
2011-05-04,JD 6130R,130.0,Monosem NG+4 6 Row,6 row,,Plant,,,,,,,CT,,0.0,8,1.0,1677-09-21 00:12:43.145224193,2011-11-15,grain corn,1.6449999999999998,1.6449999999999998
2011-05-16,,,,,,Pesticide Application,—,—,0.0,0.0,0.0,Non-tillage,CT,,0.0,10,1.0,1677-09-21 00:12:43.145224193,2011-11-15,grain corn,1.6449999999999998,1.6449999999999998
2011-06-23,JD 4440,144.0,PV COOP Spreader Cart,,,Fertilizer Application,,,,,,,CT,,0.0,11,1.0,1677-09-21 00:12:43.145224193,2011-11-15,grain corn,1.6449999999999998,1.6449999999999998
2011-06-27,JD 4455,156.0,Eversman 6 row Cultivator,6 row,,Cultivate,Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),CT,,0.021875,12,1.0,1677-09-21 00:12:43.145224193,2011-11-15,grain corn,1.6668749999999999,1.6668749999999999
2011-11-15,1660 Combine,,,,,Harvest,,,,,,,CT,,0.0,13,1.0,1677-09-21 00:12:43.145224193,2011-11-15,grain corn,1.6668749999999999,1.6668749999999999
2011-11-29,,,JD 568 Round Baler 5x6,,,Bail,,,,,,,CT,,0.0,15,2.0,2011-11-15 00:00:00.000000000,2012-11-01,grain corn,0.0,1.6668749999999999
2011-11-29,,,Alloway Flail Shredder,,,Chop and Windrow,—,—,0.0,0.0,0.0,Non-tillage,CT,,0.0,14,2.0,2011-11-15 00:00:00.000000000,2012-11-01,grain corn,0.0,1.6668749999999999
2011-11-30,JD 7820,189.0,JD 640 Disc,15',,Disc,Tandem Disk (Reg),TANDEMRG,75.0,0.6,1.0,Tillage,CT,,0.22499999999999998,16,2.0,2011-11-15 00:00:00.000000000,2012-11-01,grain corn,0.22499999999999998,1.8918749999999998
2012-03-05,JD 8310,205.0,Case 165 6 Bottom Plow,,,Moldboard Plow,Moldboard Plow (Reg),MLDBOARD,150.0,0.95,1.0,Tillage,CT,,0.7124999999999999,17,2.0,2011-11-15 00:00:00.000000000,2012-11-01,grain corn,0.9374999999999999,2.6043749999999997
2012-03-08,JD 7820,180.0,6 row Orthman Cultivator 8375,6 row,,Harrow,Harrow (Tines),HARROW,25.0,0.2,1.0,Tillage (light),CT,,0.025,18,2.0,2011-11-15 00:00:00.000000000,2012-11-01,grain corn,0.9624999999999999,2.6293749999999996
2012-03-08,JD 7820,180.0,6 row Orthman Cultivator 8375,6 row,,Harrow,Harrow (Tines),HARROW,25.0,0.2,1.0,Tillage (light),CT,,0.025,19,2.0,2011-11-15 00:00:00.000000000,2012-11-01,grain corn,0.9874999999999999,2.654375
2012-03-14,JD 7820,189.0,Eversman 2400 Landplane,24',,Landplane,Land Plane–Leveler,LANDLEVL,75.0,0.5,1.0,Tillage (leveling/seedbed),CT,,0.1875,20,2.0,2011-11-15 00:00:00.000000000,2012-11-01,grain corn,1.1749999999999998,2.841875
2012-03-14,JD 7820,189.0,Eversman 2400 Landplane,24',,Landplane,Land Plane–Leveler,LANDLEVL,75.0,0.5,1.0,Tillage (leveling/seedbed),CT,,0.1875,21,2.0,2011-11-15 00:00:00.000000000,2012-11-01,grain corn,1.3624999999999998,3.029375
2012-04-13,JD 7820,189.0,Hawkins 6 Row Bedder,6 row,,Condition Seedbeds,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage,CT,,0.20625000000000002,23,2.0,2011-11-15 00:00:00.000000000,2012-11-01,grain corn,1.5687499999999999,3.2356249999999998
2012-04-13,JD 4455,156.0,Pipe Ditcher,6 row,,Ditch,,,,,,,CT,,0.0,22,2.0,2011-11-15 00:00:00.000000000,2012-11-01,grain corn,1.5687499999999999,3.2356249999999998
2012-05-03,JD 4440,144.0,PV COOP Spreader Cart,,,Fertilizer Application,,,,,,,CT,,0.0,25,2.0,2011-11-15 00:00:00.000000000,2012-11-01,grain corn,1.5687499999999999,3.2356249999999998
2012-05-03,JD 6130R,130.0,Monosem NG+4 6 Row,6 row,,Plant,,,,,,,CT,,0.0,24,2.0,2011-11-15 00:00:00.000000000,2012-11-01,grain corn,1.5687499999999999,3.2356249999999998
2012-05-10,JD 4455,156.0,Pipe Ditcher,6 row,,Pack Furrows,Roller Packer (Flat Roller),ROLPKRFT,40.0,0.35,0.3,Tillage (packing/firming furrows),CT,,0.020999999999999998,26,2.0,2011-11-15 00:00:00.000000000,2012-11-01,grain corn,1.58975,3.2566249999999997
2012-05-10,,,,,,Pesticide Application,—,—,0.0,0.0,0.0,Non-tillage,CT,,0.0,27,2.0,2011-11-15 00:00:00.000000000,2012-11-01,grain corn,1.58975,3.2566249999999997
2012-06-04,JD 4455,156.0,Pipe Ditcher,6 row,,Pack Furrows,Roller Packer (Flat Roller),ROLPKRFT,40.0,0.35,0.3,Tillage (packing/firming furrows),CT,,0.020999999999999998,28,2.0,2011-11-15 00:00:00.000000000,2012-11-01,grain corn,1.61075,3.2776249999999996
2012-06-20,,,,,,Pesticide Application,—,—,0.0,0.0,0.0,Non-tillage,CT,,0.0,29,2.0,2011-11-15 00:00:00.000000000,2012-11-01,grain corn,1.61075,3.2776249999999996
2012-06-26,JD 4455,156.0,Eversman 6 row Cultivator,6 row,,Cultivate,Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),CT,,0.021875,31,2.0,2011-11-15 00:00:00.000000000,2012-11-01,grain corn,1.632625,3.2994999999999997
2012-06-26,JD 4440,144.0,PV COOP Spreader Cart,,,Fertilizer Application,,,,,,,CT,,0.0,30,2.0,2011-11-15 00:00:00.000000000,2012-11-01,grain corn,1.632625,3.2994999999999997
2012-11-01,1660 Combine,,,,,Harvest,,,,,,,CT,,0.0,32,2.0,2011-11-15 00:00:00.000000000,2012-11-01,grain corn,1.632625,3.2994999999999997
2012-11-15,,,JD 568 Round Baler 5x6,,,Bail,,,,,,,CT,,0.0,34,3.0,2012-11-01 00:00:00.000000000,2013-09-30,silage corn,0.0,3.2994999999999997
2012-11-15,,,Alloway Flail Shredder,,,Chop and Windrow,—,—,0.0,0.0,0.0,Non-tillage,CT,,0.0,33,3.0,2012-11-01 00:00:00.000000000,2013-09-30,silage corn,0.0,3.2994999999999997
2012-12-08,JD 8310,205.0,Case 165 6 Bottom Plow,,,Moldboard Plow,Moldboard Plow (Reg),MLDBOARD,150.0,0.95,1.0,Tillage,CT,,0.7124999999999999,35,3.0,2012-11-01 00:00:00.000000000,2013-09-30,silage corn,0.7124999999999999,4.012
2013-03-11,JD 7820,189.0,Eversman 2400 Landplane,24',,Landplane,Land Plane–Leveler,LANDLEVL,75.0,0.5,1.0,Tillage (leveling/seedbed),CT,,0.1875,36,3.0,2012-11-01 00:00:00.000000000,2013-09-30,silage corn,0.8999999999999999,4.1995
2013-03-29,JD 7820,189.0,Hawkins 6 Row Bedder,6 row,,Condition Seedbeds,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage,CT,,0.20625000000000002,37,3.0,2012-11-01 00:00:00.000000000,2013-09-30,silage corn,1.10625,4.405749999999999
2013-03-29,JD 4455,156.0,Schmizer,,,Cultipack,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass,CT,,0.06999999999999999,38,3.0,2012-11-01 00:00:00.000000000,2013-09-30,silage corn,1.17625,4.47575
2013-05-13,JD 7820,189.0,7300 6 Row,6 row,,Fertilizer Application,,,,,,,CT,,0.0,39,3.0,2012-11-01 00:00:00.000000000,2013-09-30,silage corn,1.17625,4.47575
2013-05-14,JD 7820,189.0,7300 6 Row,6 row,"I believe these operations are combined, planter with liquid UAN (NOT UREA) put down behind at 5 lbs/acre",Plant Silage Corn,,,,,,,CT,,0.0,40,3.0,2012-11-01 00:00:00.000000000,2013-09-30,silage corn,1.17625,4.47575
2013-06-02,,,,,,Pesticide Application,—,—,0.0,0.0,0.0,Non-tillage,CT,,0.0,41,3.0,2012-11-01 00:00:00.000000000,2013-09-30,silage corn,1.17625,4.47575
2013-06-19,JD 7820,189.0,6 row Orthman Cultivator 8375,6 row,,Fertilizer Application/Cultivate,,,,,,,CT,,0.0,42,3.0,2012-11-01 00:00:00.000000000,2013-09-30,silage corn,1.17625,4.47575
2013-07-24,,,,,,Pesticide Application,—,—,0.0,0.0,0.0,Non-tillage,CT,,0.0,43,3.0,2012-11-01 00:00:00.000000000,2013-09-30,silage corn,1.17625,4.47575
