Date,CT Operation,ST Operation,MT Operation,Tractor Model,Horsepower,Implement Model,Implement Size,Notes,CT SWAT Implement,CT Tillage Code,CT Mixing Depth (mm),CT Mixing Efficiency,CT Area Fraction,CT Type / Note,ST SWAT Implement,ST Tillage Code,ST Mixing Depth (mm),ST Mixing Efficiency,ST Area Fraction,ST Type / Note,MT SWAT Implement,MT Tillage Code,MT Mixing Depth (mm),MT Mixing Efficiency,MT Area Fraction,MT Type / Note
1/1/2011,,Strip Till,,JD 7820,189.0,6 Row Orthoman 1tRIPr,6 row,,,,,,,,Coulter-Chisel,CCHPLOW,150.0,0.5,0.27,Tillage (banded; use AreaFraction = strip_width/row_spacing),,,,,,
1/1/2011,Deep Ripper,,,JD 8310,205.0,JD 915 V Ripper,~ 18.75 - 22.5 ft,https://www.sunequip.com/new-equipment/farming-equipment/tillage/rippers/915-v-ripper/,Deep Ripper–Subsoiler,RIPRSUBS,350.0,0.25,1.0,Tillage (use VRIPPER 350/0.25 if V-ripper specified),,,,,,,,,,,,
1/1/2011,Moldboard Plow,,,JD 8310,205.0,Case 165 6 Bottom Plow,,,Moldboard Plow (Reg),MLDBOARD,150.0,0.95,1.0,Tillage,,,,,,,,,,,,
3/3/2011,Harrow,,,JD 7820,180.0,6 row Orthman Cultivator 8375,6 row,"For 2011 and 2012, we don't have super detailed records of tools, so I'll just use what we used for later years",Harrow (Tines),HARROW,25.0,0.2,1.0,Tillage (light),,,,,,,,,,,,
3/3/2011,Harrow,,,JD 7820,180.0,6 row Orthman Cultivator 8375,6 row,,Harrow (Tines),HARROW,25.0,0.2,1.0,Tillage (light),,,,,,,,,,,,
3/15/2011,Landplane,,,JD 7820,189.0,Eversman 2400 Landplane,24',,Land Plane–Leveler,LANDLEVL,75.0,0.5,1.0,Tillage (leveling/seedbed),,,,,,,,,,,,
3/15/2011,Landplane,,,JD 7820,189.0,Eversman 2400 Landplane,24',,Land Plane–Leveler,LANDLEVL,75.0,0.5,1.0,Tillage (leveling/seedbed),,,,,,,,,,,,
4/2/2011,Ditch,,,JD 4455,156.0,Pipe Ditcher,6 row,,,,,,,,,,,,,,,,,,,
4/5/2011,Cultipack,,,JD 4455,156.0,JD 970 Cultipacker,,,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass,,,,,,,,,,,,
5/4/2011,Plant,Plant,Plant,JD 6130R,130.0,Monosem NG+4 6 Row,6 row,,,,,,,,,,,,,,,,,,,
5/4/2011,Fertilizer Application,Fertilizer Application,Fertilizer Application,JD 6130R,130.0,Monosem NG+4 6 Row,6 row,,,,,,,,,,,,,,,,,,,
5/9/2011,,,Clean Rows,JD 7820,189.0,Acraplant Trash whips,,"No clue what trashwhips actually need, but this looks like a very mild unit, so I'm going with a low horespower tractor",,,,,,,,,,,,,Row Conditioner,ROWCOND,25.0,0.5,0.17,Tillage (trash whips/row cleaners)
5/16/2011,Pesticide Application,Pesticide Application,Pesticide Application,,,,,,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage
6/23/2011,Fertilizer Application,Fertilizer Application,Fertilizer Application,JD 4440,144.0,PV COOP Spreader Cart,,,,,,,,,,,,,,,,,,,,
6/27/2011,Cultivate,Cultivate,Cultivate,JD 4455,156.0,Eversman 6 row Cultivator,6 row,,Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows)
11/15/2011,Harvest,Harvest,Harvest,1660 Combine,,,,,,,,,,,,,,,,,,,,,,
11/29/2011,Chop and Windrow,Chop and Windrow,Chop and Windrow,,,Alloway Flail Shredder,,,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage
11/29/2011,Bail,Bail,Bail,,,JD 568 Round Baler 5x6,,,,,,,,,,,,,,,,,,,,
11/30/2011,Disc,,,JD 7820,189.0,JD 640 Disc,15',,Tandem Disk (Reg),TANDEMRG,75.0,0.6,1.0,Tillage,,,,,,,,,,,,
3/5/2012,Moldboard Plow,,,JD 8310,205.0,Case 165 6 Bottom Plow,,,Moldboard Plow (Reg),MLDBOARD,150.0,0.95,1.0,Tillage,,,,,,,,,,,,
3/8/2012,Harrow,,,JD 7820,180.0,6 row Orthman Cultivator 8375,6 row,,Harrow (Tines),HARROW,25.0,0.2,1.0,Tillage (light),,,,,,,,,,,,
3/8/2012,Harrow,,,JD 7820,180.0,6 row Orthman Cultivator 8375,6 row,,Harrow (Tines),HARROW,25.0,0.2,1.0,Tillage (light),,,,,,,,,,,,
3/14/2012,Landplane,,,JD 7820,189.0,Eversman 2400 Landplane,24',,Land Plane–Leveler,LANDLEVL,75.0,0.5,1.0,Tillage (leveling/seedbed),,,,,,,,,,,,
3/14/2012,Landplane,,,JD 7820,189.0,Eversman 2400 Landplane,24',,Land Plane–Leveler,LANDLEVL,75.0,0.5,1.0,Tillage (leveling/seedbed),,,,,,,,,,,,
3/14/2012,,Clean Furrows,,JD 7820,189.0,Acraplant Trash whips,,,,,,,,,Furrow-out Cultivator,FUROWOUT,25.0,0.75,0.17,Tillage,,,,,,
3/16/2012,,Strip Till,,JD 7820,189.0,6 Row Orthoman 1tRIPr,6 row,,,,,,,,Coulter-Chisel,CCHPLOW,150.0,0.5,0.27,Tillage (banded; use AreaFraction = strip_width/row_spacing),,,,,,
4/13/2012,Ditch,,,JD 4455,156.0,Pipe Ditcher,6 row,,,,,,,,,,,,,,,,,,,
4/13/2012,Condition Seedbeds,,,JD 7820,189.0,Hawkins 6 Row Bedder,6 row,,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage,,,,,,,,,,,,
5/1/2012,,,Clean Rows,JD 7820,189.0,Acraplant Trash whips,,,,,,,,,,,,,,,Row Conditioner,ROWCOND,25.0,0.5,0.17,Tillage (trash whips/row cleaners)
5/3/2012,Plant,Plant,Plant,JD 6130R,130.0,Monosem NG+4 6 Row,6 row,,,,,,,,,,,,,,,,,,,
5/3/2012,Fertilizer Application,Fertilizer Application,Fertilizer Application,JD 4440,144.0,PV COOP Spreader Cart,,,,,,,,,,,,,,,,,,,,
5/10/2012,Pack Furrows,,,JD 4455,156.0,Pipe Ditcher,6 row,,Roller Packer (Flat Roller),ROLPKRFT,40.0,0.35,0.3,Tillage (packing/firming furrows),,,,,,,,,,,,
5/10/2012,Pesticide Application,Pesticide Application,Pesticide Application,,,,,,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage
6/4/2012,Pack Furrows,Pack Furrows,,JD 4455,156.0,Pipe Ditcher,6 row,,Roller Packer (Flat Roller),ROLPKRFT,40.0,0.35,0.3,Tillage (packing/firming furrows),Roller Packer (Flat Roller),ROLPKRFT,40.0,0.35,0.3,Tillage (packing/firming furrows),,,,,,
6/11/2012,,Clean Rows,Clean Rows,JD 7820,189.0,Acraplant Trash whips,,,,,,,,,Row Conditioner,ROWCOND,25.0,0.5,0.17,Tillage (trash whips/row cleaners),Row Conditioner,ROWCOND,25.0,0.5,0.17,Tillage (trash whips/row cleaners)
6/20/2012,Pesticide Application,Pesticide Application,Pesticide Application,,,,,,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage
6/26/2012,Fertilizer Application,Fertilizer Application,Fertilizer Application,JD 4440,144.0,PV COOP Spreader Cart,,,,,,,,,,,,,,,,,,,,
