Year,Treatment,Rep,Location,Residue_DryMass_kg_m2,Residue_PercentCover
2011,CT,1,N,1.5,15.0
2011,CT,1,N,1.5,15.0
2011,CT,1,M,1.5,15.0
2011,CT,1,M,1.5,15.0
2011,CT,1,S,1.5,15.0
2011,CT,1,S,1.5,15.0
2011,CT,2,N,1.5,15.0
2011,CT,2,N,1.5,15.0
2011,CT,2,M,1.5,15.0
2011,CT,2,M,1.5,15.0
2011,CT,2,S,1.5,15.0
2011,CT,2,S,1.5,15.0
2011,MT,1,N,1.5,15.0
2011,MT,1,N,1.5,15.0
2011,MT,1,M,1.5,15.0
2011,MT,1,M,1.5,15.0
2011,MT,1,S,1.5,15.0
2011,MT,1,S,1.5,15.0
2011,MT,2,N,1.5,15.0
2011,MT,2,N,1.5,15.0
2011,MT,2,M,1.5,15.0
2011,MT,2,M,1.5,15.0
2011,MT,2,S,1.5,15.0
2011,MT,2,S,1.5,15.0
2011,ST,1,N,1.5,15.0
2011,ST,1,N,1.5,15.0
2011,ST,1,M,1.5,15.0
2011,ST,1,M,1.5,15.0
2011,ST,1,S,1.5,15.0
2011,ST,1,S,1.5,15.0
2011,ST,2,N,1.5,15.0
2011,ST,2,N,1.5,15.0
2011,ST,2,M,1.5,15.0
2011,ST,2,M,1.5,15.0
2011,ST,2,S,1.5,15.0
2011,ST,2,S,1.5,15.0
2012,CT,1,N,1.5,15.0
2012,CT,1,N,1.5,15.0
2012,CT,1,M,1.5,15.0
2012,CT,1,M,1.5,15.0
2012,CT,1,S,1.5,15.0
2012,CT,1,S,1.5,15.0
2012,CT,2,N,1.5,15.0
2012,CT,2,N,1.5,15.0
2012,CT,2,M,1.5,15.0
2012,CT,2,M,1.5,15.0
2012,CT,2,S,1.5,15.0
2012,CT,2,S,1.5,15.0
2012,MT,1,N,1.5,15.0
2012,MT,1,N,1.5,15.0
2012,MT,1,M,1.5,15.0
2012,MT,1,M,1.5,15.0
2012,MT,1,S,1.5,15.0
2012,MT,1,S,1.5,15.0
2012,MT,2,N,1.5,15.0
2012,MT,2,N,1.5,15.0
2012,MT,2,M,1.5,15.0
2012,MT,2,M,1.5,15.0
2012,MT,2,S,1.5,15.0
2012,MT,2,S,1.5,15.0
2012,ST,1,N,1.5,15.0
2012,ST,1,N,1.5,15.0
2012,ST,1,M,1.5,15.0
2012,ST,1,M,1.5,15.0
2012,ST,1,S,1.5,15.0
2012,ST,1,S,1.5,15.0
2012,ST,2,N,1.5,15.0
2012,ST,2,N,1.5,15.0
2012,ST,2,M,1.5,15.0
2012,ST,2,M,1.5,15.0
2012,ST,2,S,1.5,15.0
2012,ST,2,S,1.5,15.0
2013,CT,1,N,1.5,15.0
2013,CT,1,N,1.5,15.0
2013,CT,1,M,1.5,15.0
2013,CT,1,M,1.5,15.0
2013,CT,1,S,1.5,15.0
