Names in database,Operation,Speed [km/h],Speed_MIN [km/h],Speed_MAX [km/h],Surf_Disturbance [%],Depth [cm],Depth_MIN [cm],Depth_MAX [cm],TILLAGE_TYPE,TILLAGE_TYPE_Modifier [0-1],STIR,Diesel_use [l/ha],Burial_Coefficient [0-1],Source,Description,Match_Notes
Strip Till,Strip till bed conditioner,8.045,5.6315,10.4585,30,6.35,5.08,10.16,TILLAGE_TYPE_MIX_INV,0.8,4.875,2.96128,0.15,USDA_MOSES_2023-02-24,"Striptill bed conditioner smoothes, firms and prepares a seedbed following an in-row subsoiler operation.  050802 DTL",Auto keyword match
Strip Till + Fertilize,Strip till bed conditioner,8.045,5.6315,10.4585,30,6.35,5.08,10.16,TILLAGE_TYPE_MIX_INV,0.8,4.875,2.96128,0.15,USDA_MOSES_2023-02-24,"Striptill bed conditioner smoothes, firms and prepares a seedbed following an in-row subsoiler operation.  050802 DTL",Auto keyword match
Vertical Till,Reel disk vertical tiller,9.654,8.045,12.872,40,5.08,3.81,6.35,TILLAGE_TYPE_MIXING,0.7,,7.8659,0.1925,USDA_MOSES_2023-02-24,"Like McFarlane Reel Disk machine with single gang of smooth coulters on a shaft, on a slight angle followed by a rolling stalk chopper reel, a spike harrow and a rolling basket.     110110 DTL",Auto keyword match
Vertical Disc,Reel disk vertical tiller,9.654,8.045,12.872,40,5.08,3.81,6.35,TILLAGE_TYPE_MIXING,0.7,,7.8659,0.1925,USDA_MOSES_2023-02-24,"Like McFarlane Reel Disk machine with single gang of smooth coulters on a shaft, on a slight angle followed by a rolling stalk chopper reel, a spike harrow and a rolling basket.     110110 DTL",Auto keyword match
Disc,"Disk, tandem light finishing",8.045,4.827,9.654,100,7.62,5.08,10.16,TILLAGE_TYPE_MIX_INV,0.8,,3.7016,0.73,USDA_MOSES_2023-02-24,6/8/01 DTL,Auto keyword match
Moldboard Plow,"Plow, deep, large, moldboard",4.827,3.218,6.436,100,76.2,60.96,91.44,TILLAGE_TYPE_MIXING,0.7,,33.3144,0.99,USDA_MOSES_2023-02-24,Deep Moldboard plow 30 inch operating depth.  used to bury large amouns of residue or undesireable soil such as sand deposition or to bring heavy textured matural to the surface.  111705 DTL,Auto keyword match
Deep Ripper,"Subsoiler ripper, 24 to 40 in. deep",7.2405,4.827,8.045,30,60.96,60.96,101.6,TILLAGE_TYPE_LIFT,0.4,21.06,23.135,0.57,USDA_MOSES_2023-02-24,Deep ripper 24 to 40 inch operating depth 101009 DTL,Auto keyword match
Subsoil Rip,"Subsoiler ripper, 24 to 40 in. deep",7.2405,4.827,8.045,30,60.96,60.96,101.6,TILLAGE_TYPE_LIFT,0.4,21.06,23.135,0.57,USDA_MOSES_2023-02-24,Deep ripper 24 to 40 inch operating depth 101009 DTL,Auto keyword match
Vertical Ripper,"Subsoiler ripper, 24 to 40 in. deep",7.2405,4.827,8.045,30,60.96,60.96,101.6,TILLAGE_TYPE_LIFT,0.4,21.06,23.135,0.57,USDA_MOSES_2023-02-24,Deep ripper 24 to 40 inch operating depth 101009 DTL,Auto keyword match
Cultivate,"Cultivator, row 1 in ridge",8.045,3.218,8.8495,75,7.62,5.08,10.16,TILLAGE_TYPE_MIX_INV,0.8,14.625,5.73748,0.57,USDA_MOSES_2023-02-24,"Row crop cultivator w/ sweeps leaving a 1"" ridge 05-14-02 DTL",Auto keyword match
Field Cultivator,"Cultivator, row 1 in ridge",8.045,3.218,8.8495,75,7.62,5.08,10.16,TILLAGE_TYPE_MIX_INV,0.8,14.625,5.73748,0.57,USDA_MOSES_2023-02-24,"Row crop cultivator w/ sweeps leaving a 1"" ridge 05-14-02 DTL",Auto keyword match
Harrow,Coulter tiller and spike harrow,9.654,8.045,12.872,100,5.08,5.08,10.16,TILLAGE_TYPE_MIX_INV,0.8,,7.8659,0.2,USDA_MOSES_2023-02-24,Like tubo-till machine with two gangs of fluted Coulters and a spike harrow.     103107 DTL,Auto keyword match
Cultimulch,"Cultipacker, roller",9.654,4.827,12.872,100,3.81,2.54,5.08,TILLAGE_TYPE_COMPRESSION,0.15,,5.73748,0.05,USDA_MOSES_2023-02-24,"Based on core Cultipacker Roller finishing tool.  Consists of an inline gang of ridged rollers followed by one or more rows of staggered field cultivator shanks, followed by a second row of ridged rollers. When the gang of sping cultivator teeth are raised out of the ground use operation ""Roller, corregated packer"". 112806 DTL",Auto keyword match
Cultipack,"Cultipacker, roller",9.654,4.827,12.872,100,3.81,2.54,5.08,TILLAGE_TYPE_COMPRESSION,0.15,,5.73748,0.05,USDA_MOSES_2023-02-24,"Based on core Cultipacker Roller finishing tool.  Consists of an inline gang of ridged rollers followed by one or more rows of staggered field cultivator shanks, followed by a second row of ridged rollers. When the gang of sping cultivator teeth are raised out of the ground use operation ""Roller, corregated packer"". 112806 DTL",Auto keyword match
Landplane,Land plane,6.436,4.827,12.872,100,5.08,2.54,10.16,TILLAGE_TYPE_MIX_INV,0.8,,8.3286,0.4,USDA_MOSES_2023-02-24,Land plane or land leveler. Rev 032006 DTL,Auto keyword match
Seedbed Conditioner,Seedbed finisher,6.436,4.827,12.872,100,10.16,5.08,15.24,TILLAGE_TYPE_MIX_INV,0.8,,8.3286,0.5,USDA_MOSES_2023-02-24,"Combination Finishing Tool w/ spring teeth & rolling basket. 
10/28/01 DTL Rev 092205 DTL",Auto keyword match
Condition Seedbeds,Seedbed finisher,6.436,4.827,12.872,100,10.16,5.08,15.24,TILLAGE_TYPE_MIX_INV,0.8,,8.3286,0.5,USDA_MOSES_2023-02-24,"Combination Finishing Tool w/ spring teeth & rolling basket. 
10/28/01 DTL Rev 092205 DTL",Auto keyword match
Clean Rows,"Drill, heavy, direct seed, dbl disk opnr w/row cleaners",8.045,6.436,9.654,90,7.62,5.08,10.16,TILLAGE_TYPE_MIX_INV,0.8,,12.0302,0.45,USDA_MOSES_2023-02-24,"Very Heavy direct seeding drill used for one pass seeding. Also equipped with disk or residue manager row cleaners ahead of the units.  Surface disturbance is 90% and greater.  This drill is typified by the ""Yielder"" drills used in the Palouse area of the Pacific Nothwest.  REV. 04-17-02 DTL , deleted kill process 11/16/2012 DTL
",Auto keyword match
Row Clean,"Drill, heavy, direct seed, dbl disk opnr w/row cleaners",8.045,6.436,9.654,90,7.62,5.08,10.16,TILLAGE_TYPE_MIX_INV,0.8,,12.0302,0.45,USDA_MOSES_2023-02-24,"Very Heavy direct seeding drill used for one pass seeding. Also equipped with disk or residue manager row cleaners ahead of the units.  Surface disturbance is 90% and greater.  This drill is typified by the ""Yielder"" drills used in the Palouse area of the Pacific Nothwest.  REV. 04-17-02 DTL , deleted kill process 11/16/2012 DTL
",Auto keyword match
Clean Furrows,"Chisel, winged with furrow diker",8.045,5.6315,10.4585,100,25.4,15.24,30.48,TILLAGE_TYPE_MIX_INV,0.8,,9.254,0.9,USDA_MOSES_2023-02-24,Chisel plow shanks on 30 inch spacing with winged straight points and a furrow diker.  071211 DTL,Auto keyword match
Pipe Ditch / Ditch,"Chisel, winged with furrow diker",8.045,5.6315,10.4585,100,25.4,15.24,30.48,TILLAGE_TYPE_MIX_INV,0.8,,9.254,0.9,USDA_MOSES_2023-02-24,Chisel plow shanks on 30 inch spacing with winged straight points and a furrow diker.  071211 DTL,Auto keyword match
Pack Furrows,"Roller, corrugated packer",6.436,4.827,12.872,100,3.81,2.54,5.08,TILLAGE_TYPE_COMPRESSION,0.15,,2.3135,0.05,USDA_MOSES_2023-02-24,Corregated packer roller   10-11-01 DTL,Auto keyword match
Corrugator,"Roller, corrugated packer",6.436,4.827,12.872,100,3.81,2.54,5.08,TILLAGE_TYPE_COMPRESSION,0.15,,2.3135,0.05,USDA_MOSES_2023-02-24,Corregated packer roller   10-11-01 DTL,Auto keyword match
Plant / Drill (any crop),"Planter, double disk opener on 12 inch high beds",8.045,5.6315,10.4585,15,6.35,5.08,10.16,TILLAGE_TYPE_MIX_INV,0.8,,4.07176,0.0525,USDA_MOSES_2023-02-24,"Double disk opener planter on existing 12 inch high beds or ridges leaving a 10 inch ridge after planting.  11/13/02 DTL, deleted kill process 11/16/2012 DTL",Auto keyword match
