Date,CT Operation,ST Operation,MT Operation,Tractor Model,Horsepower,Implement Model,Implement Size,Notes
1/1/2011,,Strip Till,,JD 7820,189,6 Row Orthoman 1tRIPr,6 row,
1/1/2011,Deep Ripper,,,JD 8310,205,JD 915 V Ripper,~ 18.75 - 22.5 ft,https://www.sunequip.com/new-equipment/farming-equipment/tillage/rippers/915-v-ripper/
1/1/2011,Moldboard Plow,,,JD 8310,205,Case 165 6 Bottom Plow,,
3/3/2011,Harrow,,,JD 7820,180,6 row Orthman Cultivator 8375,6 row,"For 2011 and 2012, we don't have super detailed records of tools, so I'll just use what we used for later years"
3/3/2011,Harrow,,,JD 7820,180,6 row Orthman Cultivator 8375,6 row,
3/15/2011,Landplane,,,JD 7820,189,Eversman 2400 Landplane,24',
3/15/2011,Landplane,,,JD 7820,189,Eversman 2400 Landplane,24',
4/2/2011,Ditch,,,JD 4455,156,Pipe Ditcher,6 row,
4/5/2011,Cultipack,,,JD 4455,156,JD 970 Cultipacker,,
5/4/2011,Plant,Plant,Plant,JD 6130R,130,Monosem NG+4 6 Row,6 row,
5/4/2011,Fertilizer Application,Fertilizer Application,Fertilizer Application,JD 6130R,130,Monosem NG+4 6 Row,6 row,
5/9/2011,,,Clean Rows,JD 7820,189,Acraplant Trash whips,,"No clue what trashwhips actually need, but this looks like a very mild unit, so I'm going with a low horespower tractor"
5/16/2011,Pesticide Application,Pesticide Application,Pesticide Application,,,,,
6/23/2011,Fertilizer Application,Fertilizer Application,Fertilizer Application,JD 4440,144,PV COOP Spreader Cart,,
6/27/2011,Cultivate,Cultivate,Cultivate,JD 4455,156,Eversman 6 row Cultivator,6 row,
11/15/2011,Harvest,Harvest,Harvest,1660 Combine,,,,
11/29/2011,Chop and Windrow,Chop and Windrow,Chop and Windrow,,,Alloway Flail Shredder,,
11/29/2011,Bale,Bale,Bale,,,JD 568 Round Baler 5x6,,
11/30/2011,Disc,,,JD 7820,189,JD 640 Disc,15',
3/5/2012,Moldboard Plow,,,JD 8310,205,Case 165 6 Bottom Plow,,
