model_version,source,interval_prob,Year,analyte,treatment,n_events,n_rows,volume_mean,volume_low,volume_high,conc_mean,conc_low,conc_high,load_mean,load_low,load_high
v1p8,Bayes_Modeled,0.95,2011,NH4,CT,12,12,403549.14229121734,386872.64818413346,421030.0595480628,0.0870507099433373,0.0013199978648670884,0.19343099607383646,35.1267309166592,0.5310250227395686,78.29409545898552
v1p8,Bayes_Modeled,0.95,2011,NH4,MT,12,12,417953.653605636,401514.27668557415,432876.88913575624,0.09747385362457879,0.004727311607782751,0.21135079022558415,40.74479059203791,2.0068623352923476,87.72890626414494
v1p8,Bayes_Modeled,0.95,2011,NH4,ST,12,12,418803.81166078564,401701.1962306025,434574.07167408644,0.0981423365394508,0.004766305291382018,0.21284958396824344,41.1075774745264,1.9946059765424833,88.80646692505823
v1p8,Bayes_Modeled,0.95,2012,NH4,CT,16,16,538281.132583943,516237.2894083153,561440.4929589174,0.051172607661983026,2.797290372396557e-4,0.1551556973476727,27.545756744268967,0.15050819515727792,82.25807439587047
v1p8,Bayes_Modeled,0.95,2012,NH4,MT,18,18,625749.7053318573,602785.4570640113,647187.9966616654,0.06255665468834909,0.0016734011202500661,0.1681412152192423,39.15107504717519,1.0407353284526293,105.01136335035815
v1p8,Bayes_Modeled,0.95,2012,NH4,ST,16,16,555094.1888996037,536189.9027030477,573570.3869855049,0.05580355049034574,0,0.16676309488953348,30.98439006578971,0,92.34290748958499
v1p8,Bayes_Modeled,0.95,2013,NH4,CT,14,14,525037.1959034846,506239.2433108571,543362.3434590283,0.10279329553448854,0.0029514306245374254,0.2328788331919152,53.98411100142775,1.5540323897882278,121.79580039681258
v1p8,Bayes_Modeled,0.95,2013,NH4,MT,14,14,526095.1703721152,506720.69441280817,544581.626208433,0.09880706967532382,0.0023327255882167803,0.23504187879228566,51.9956847407456,1.2072131900380623,122.26377545108471
v1p8,Bayes_Modeled,0.95,2013,NH4,ST,14,14,526095.1703721152,506720.69441280817,544581.626208433,0.10348841454130754,0.002967267102268705,0.23644889781611791,54.45908811729378,1.56100312461799,122.8723718517961
v1p8,Bayes_Modeled,0.95,2014,NH4,CT,25,25,863885.3309631225,836117.8223848543,891178.9003915379,0.11804760830600376,0.041431019543848674,0.19984864686285825,101.98996260692931,35.490342238548266,173.28792605202634
v1p8,Bayes_Modeled,0.95,2014,NH4,MT,8,8,278639.5475506691,267676.7527372607,288591.45716732193,0.10076806224217921,0.02380694238688711,0.18111548245472286,28.0809759904979,6.636863329353146,50.800345132974606
v1p8,Bayes_Modeled,0.95,2014,NH4,ST,24,24,835918.6426520073,803030.2582117822,865774.371501966,0.12191182846283528,0.04009693547266889,0.20541549850902632,101.92108188865879,34.049481467809144,171.90196520615973
v1p8,Bayes_Modeled,0.95,2015,NH4,CT,22,22,733383.6641511455,705643.7773865641,762167.41300646,0.09507111810529298,0.06736446568786686,0.1254442861231036,69.722781356836,48.905569828226035,92.08607372932877
v1p8,Bayes_Modeled,0.95,2015,NH4,MT,22,22,663495.0954985697,645044.4484884165,681361.5661593557,0.09140620753881155,0.07179213306011487,0.1142690025103037,60.646050249508896,47.42779000665453,76.35324877093771
v1p8,Bayes_Modeled,0.95,2015,NH4,ST,22,22,639608.859748665,620500.5184309131,658409.0138506284,0.0938307276163132,0.07262845723408651,0.120462403139304,60.01457698393139,46.53402861433629,76.84019647301261
v1p8,Bayes_Modeled,0.95,2016,NH4,CT,8,8,190295.07325248665,164648.94407579667,213809.58835510767,0.1381876329243952,0.10540873475460923,0.17526891953191426,26.316695816979234,19.37128132697303,34.428021371712276
v1p8,Bayes_Modeled,0.95,2016,NH4,MT,8,8,164618.6464566625,138969.37181222453,187733.87068647728,0.1269223241232261,0.09449613635588669,0.1602501609688479,20.91801064242611,14.621679854371962,27.686352944340452
v1p8,Bayes_Modeled,0.95,2016,NH4,ST,8,8,163074.27275664717,137216.50671343337,186224.64653217926,0.1314207720538314,0.09879116287653543,0.16357988169154616,21.450498396655558,15.352691959467588,28.174212957919192
v1p8,Bayes_Modeled,0.95,2017,NH4,CT,30,30,1094023.516068776,1050709.3708950155,1135588.1270223986,0.10989629149956583,0.013956892540348223,0.23213836732163867,120.24254541127723,15.116691508431895,255.41859887510188
v1p8,Bayes_Modeled,0.95,2017,NH4,MT,24,24,737036.3693097222,712741.5498161586,762021.9410816012,0.10030414309459221,0.005409820098781305,0.2197151223806959,73.9714255029292,3.9492627518140413,161.5157275395688
v1p8,Bayes_Modeled,0.95,2017,NH4,ST,29,29,864571.0875189841,832058.6455054979,897055.1524148533,0.10435502407032894,0.005174132206210514,0.22265819491117744,90.2731994941094,4.416402569425147,194.25463655108882
v1p8,Bayes_Modeled,0.95,2018,NH4,CT,10,10,410019.44176514354,229526.78906822493,585093.0304679327,0.12570126804782653,0.020859821226999756,0.23994843881880049,53.128352092904315,6.821945979739137,124.38048308992262
v1p8,Bayes_Modeled,0.95,2018,NH4,MT,10,10,396566.60498653597,219060.3646960241,570320.5248685393,0.1237603517999464,0.021622807943486765,0.23927512574134727,50.63465727409151,7.163662743520895,117.12901996102502
v1p8,Bayes_Modeled,0.95,2018,NH4,ST,10,10,394805.6641990941,217315.9294517908,568656.8712136818,0.12826765063590148,0.025398235452969584,0.24232755346883428,52.21466013743262,8.471175858532975,119.99825230044698
v1p8,Bayes_Modeled,0.95,2019,NH4,CT,2,2,99810.13517395448,96716.28942751835,103156.23780416267,0.18921176270331097,0.04450326807683077,0.3184345862139507,18.8836828441982,4.402738759033527,31.318573265589222
v1p8,Bayes_Modeled,0.95,2019,NH4,MT,2,2,99810.13517395448,96716.28942751835,103156.23780416267,0.1842150266453317,0.04033175928092481,0.3103853791144738,18.3841584862124,4.053917133437597,30.77545032960537
v1p8,Bayes_Modeled,0.95,2019,NH4,ST,2,2,99810.13517395448,96716.28942751835,103156.23780416267,0.18921176270331097,0.04450326807683077,0.3184345862139507,18.8836828441982,4.402738759033527,31.318573265589222
v1p8,Bayes_Modeled,0.95,2020,NH4,CT,20,20,697652.120244997,669339.5582136689,723515.3187125481,0.09349215627820916,0.014130406002414126,0.184399156044879,65.23011963473901,9.64717093493521,129.9677522566737
v1p8,Bayes_Modeled,0.95,2020,NH4,MT,20,20,565350.0815892182,548221.2462009887,582260.7199707425,0.0750302261512348,0.007696536433388433,0.15678429067590033,42.43034880069213,4.358759624812661,89.52182257751848
v1p8,Bayes_Modeled,0.95,2020,NH4,ST,20,20,570241.9681283659,551807.3422889548,588041.2450513069,0.0806867198625145,0.010095900772486172,0.16400664355705902,46.02256605417328,5.757123322328869,94.95139937564389
v1p8,Bayes_Modeled,0.95,2021,NH4,CT,31,31,1027977.2003684909,986577.5944175841,1071754.7299721367,0.08160415798298555,0.005361699378553891,0.17862394985989505,83.9228164977195,5.4179650369717525,182.38534601744144
v1p8,Bayes_Modeled,0.95,2021,NH4,MT,31,31,776293.3199177933,740451.9371751202,814269.694496979,0.06883384422116516,1.6004833885352926e-4,0.17691952939646233,53.46907967761299,0.1228244861877339,137.03756022631364
v1p8,Bayes_Modeled,0.95,2021,NH4,ST,29,29,760849.9252106058,732261.3638666277,791282.0056460744,0.076853692298272,0.0012750550606849512,0.18322311612600112,58.50515741189643,0.9608492703436875,136.71730327688164
v1p8,Bayes_Modeled,0.95,2022,NH4,CT,45,45,1519065.6006530588,1475245.6861476954,1563172.0278656492,0.07941210472323204,0.009029833572266974,0.17265442607704545,120.6622246609457,13.69568647524937,265.10422470603066
v1p8,Bayes_Modeled,0.95,2022,NH4,MT,47,47,1437069.531434383,1403298.0393732064,1470072.7528255829,0.06995660320906386,0.005992726591547986,0.1651020928052963,100.55885799290553,8.677734931511639,239.54920314127355
v1p8,Bayes_Modeled,0.95,2022,NH4,ST,47,47,1464388.9343976085,1429947.1889893184,1497917.28025553,0.07492430296122428,0.008030421699225906,0.16702110691695987,109.7480489708307,11.691703075172882,247.5129074926421
v1p8,Bayes_Modeled,0.95,2023,NH4,CT,41,41,1702077.3228955318,1659919.726218891,1740020.228657844,0.12159752336287671,0.014921948364348646,0.2560159897100165,206.92643494037702,25.160730173069606,436.0368917961865
v1p8,Bayes_Modeled,0.95,2023,NH4,MT,47,47,1842771.402391459,1802916.6453639604,1880570.2703741882,0.11879376294067287,0.01061206166229288,0.25263180985563544,218.88015425975777,19.640512894369373,470.1090562276603
v1p8,Bayes_Modeled,0.95,2023,NH4,ST,41,41,1585591.3808832907,1553044.2171584151,1616838.8701151067,0.11690905772383678,0.010169624054336777,0.25588191904657615,185.35261637026275,16.23232093079923,404.03576811355936
v1p8,Bayes_Modeled,0.95,2024,NH4,CT,32,32,1596962.1627832716,1547460.6308402936,1650499.8048666026,0.15298291427903005,0.00897500997782474,0.30088674233614443,244.28369034168279,14.633815173652156,477.5142678145937
v1p8,Bayes_Modeled,0.95,2024,NH4,MT,32,32,1596962.1627832716,1547460.6308402936,1650499.8048666026,0.15312596269084391,0.00958567823568336,0.3012065633158064,244.51206834795082,15.41740807976387,478.4813758916964
v1p8,Bayes_Modeled,0.95,2024,NH4,ST,32,32,1596962.1627832716,1547460.6308402936,1650499.8048666026,0.15310856027936134,0.008939936424293915,0.30068303686288894,244.48431202203693,14.57782858199896,477.624170217155
v1p8,Bayes_Modeled,0.95,2025,NH4,CT,56,56,1913562.4582206975,1854138.649337303,1972343.7722273222,0.08714682511620109,0.0011400420110082251,0.20566703000809028,166.8234528535114,2.1787248921933142,396.22198874118897
v1p8,Bayes_Modeled,0.95,2025,NH4,MT,56,56,1586541.6392894944,1544204.3200723366,1627417.8339407207,0.07615916971221297,3.869689659743885e-4,0.1958460125883194,120.85553127757444,0.6120462016314071,311.8962551265979
v1p8,Bayes_Modeled,0.95,2025,NH4,ST,56,56,1657913.5704874918,1618820.2259024763,1696539.757033103,0.07719310871053085,7.955263671061223e-4,0.19553714298470015,128.0054799681414,1.31909889072219,326.5822451658369
v1p8,Bayes_Modeled,0.95,2011,NO2,CT,12,12,403549.14229121734,386872.64818413346,421030.0595480628,0.39483921880663364,0,1.5568283063794575,159.22601133986495,0,628.67927429629
