model_version,source,interval_prob,Year,analyte,treatment,n_events,n_rows,volume_mean,volume_low,volume_high,conc_mean,conc_low,conc_high,load_mean,load_low,load_high
v2p1,Bayes_Modeled,0.95,2011,NH4,CT,12,12,446451.59217147174,378092.9116196983,517772.9348141127,0.08668631726311474,0.0021032590609856633,0.20441110548704938,38.732364599862116,0.8676388767697512,90.16330557160629
v2p1,Bayes_Modeled,0.95,2011,NH4,MT,12,12,483403.0149288928,430401.88792301994,533906.731463671,0.11357623168754052,0.011777430948811653,0.22349890696966807,54.98062512247196,5.47507573763462,109.03522117961359
v2p1,Bayes_Modeled,0.95,2011,NH4,ST,12,12,485583.89764131187,431231.95376228815,538306.329752052,0.1152527633305906,0.012364514385685683,0.22573022049464359,56.0498886741892,5.912368140379817,111.78695657672827
v2p1,Bayes_Modeled,0.95,2012,NH4,CT,16,16,596723.0951956059,506267.7586744473,691643.9004833978,0.04703950868364561,0,0.14299292485820542,28.117085532397745,0,87.57262581291377
v2p1,Bayes_Modeled,0.95,2012,NH4,MT,18,18,704417.6730358149,626637.3676787507,778813.5175217993,0.06594367120731273,9.974405072601259e-4,0.17253074505209676,46.544948235752855,0.7010384577046223,120.87939804037384
v2p1,Bayes_Modeled,0.95,2012,NH4,ST,16,16,642918.8214966661,575346.6019063252,706180.424473316,0.06341332596797679,0.0010841483170347475,0.17063210356327702,40.80932744979774,0.6741360662559672,110.13603201548479
v2p1,Bayes_Modeled,0.95,2013,NH4,CT,14,14,552234.8996967906,497699.5046328152,606952.5049452058,0.10501494670943735,0.00220274455074301,0.2392751735602209,58.05469256367203,1.2195729997689926,133.28581664029358
v2p1,Bayes_Modeled,0.95,2013,NH4,MT,14,14,554948.8870722456,499543.1266029607,609866.1812797955,0.10199321557799992,0.0020462975809300886,0.23696370603842698,56.6651428505765,1.1113950831126327,132.69109948529882
v2p1,Bayes_Modeled,0.95,2013,NH4,ST,14,14,554948.8870722456,499543.1266029607,609866.1812797955,0.1067338587422533,0.0024669007036236196,0.24123730412022276,59.29694499513047,1.3904739198669196,135.86041053313187
v2p1,Bayes_Modeled,0.95,2014,NH4,CT,19,19,745435.1196360395,667716.1987144959,819748.6664168057,0.1343231961629169,0.05548939690460891,0.2088894203948657,100.21827799285893,41.11498420963851,158.607452454466
v2p1,Bayes_Modeled,0.95,2014,NH4,MT,8,8,321429.8729498313,285946.59237102594,355102.7264967804,0.12090741185177807,0.042741957413402774,0.20169018513980203,38.916407953618986,13.327604387755345,66.0093751989498
v2p1,Bayes_Modeled,0.95,2014,NH4,ST,19,18,759316.5397953768,675708.76688289,839374.9178988114,0.13539148667659762,0.056732627306624935,0.20910900681196648,102.9250057623628,42.49041102338862,163.32745260002832
v2p1,Bayes_Modeled,0.95,2015,NH4,CT,14,12,515569.3058452989,443656.9074415448,591748.9166018006,0.08466383470190633,0.061134750953344454,0.11199429148545778,43.69887490209658,30.279918465503552,59.801527551838554
