Year,CT,MT,ST
2011,"404 (386, 423)","418 (402, 434)","418 (402, 436)"
2012,"579 (554, 606)","632 (610, 656)","572 (552, 593)"
2013,"525 (506, 543)","526 (506, 545)","526 (506, 545)"
2014,"864 (836, 893)","334 (322, 347)","835 (804, 868)"
2015,"734 (704, 765)","663 (645, 682)","639 (620, 659)"
2016,"190 (165, 216)","164 (139, 190)","162 (138, 188)"
2017,"1094 (1050, 1137)","737 (712, 761)","864 (832, 895)"
2018,"411 (258, 569)","398 (246, 558)","396 (244, 556)"
2019,"100 (97, 103)","100 (97, 103)","100 (97, 103)"
2020,"697 (670, 725)","565 (548, 583)","570 (552, 589)"
2021,"1029 (983, 1076)","777 (739, 813)","761 (732, 791)"
2022,"1519 (1474, 1567)","1434 (1400, 1468)","1464 (1430, 1500)"
2023,"1702 (1663, 1743)","1843 (1805, 1881)","1585 (1553, 1615)"
2024,"1596 (1544, 1649)","1596 (1544, 1649)","1596 (1544, 1649)"
2025,"1913 (1853, 1976)","1587 (1545, 1628)","1658 (1617, 1698)"
Total,"13356 (12740, 13991)","11773 (11259, 12299)","12149 (11622, 12684)"
Total,"13356 (12740, 13991)","11773 (11259, 12299)","12149 (11622, 12684)"
