Year,CT_mod_volume_kL_mean,MT_mod_volume_kL_mean,ST_mod_volume_kL_mean,CT_mod_volume_kL_low,MT_mod_volume_kL_low,ST_mod_volume_kL_low,CT_mod_volume_kL_high,MT_mod_volume_kL_high,ST_mod_volume_kL_high
2011,405.5530545203959,420.23401425085746,421.10048836440035,387.96217453569744,404.2397157276692,404.36931130225656,423.520761193774,435.8696523110017,437.4786225557903
2012,581.6757893123216,636.1779609429049,575.6496874733547,556.6665626977273,612.6137342656682,554.6578160675638,607.1158911639163,659.0681179837921,595.8432162830265
2013,529.3166620303734,530.3949409272269,530.3949409272269,510.3107617192551,511.2129895132029,511.2129895132029,548.1201838261477,549.8451721979616,549.8451721979616
2014,868.5045907395189,336.1918325959582,840.4795814898955,838.1887135409318,323.3909268064265,808.4773170160663,896.156248083592,348.70571027796456,871.7642756949114
2015,736.7134582306716,663.2128738700883,638.2689983309784,707.4295827696186,643.7464198096231,618.7772114321459,766.1238051681116,682.088885702594,657.902227886244
2016,187.16303710881084,160.35160732064253,158.74318933840803,166.77269689089007,140.5908176639735,139.07241388660884,208.20496619331814,180.66778575734517,179.16933296011243
2017,1102.409409365576,737.2879241390408,863.7349914341464,1058.3247820461804,712.5808451604936,831.5822393220583,1147.7903303570863,761.8085074074061,895.0961515611237
2018,407.85216695444814,393.51174158170545,391.6576658188576,241.6429350451919,230.1825128027414,228.35176509474644,593.7355285292329,578.3457216147027,576.6346930927144
2019,99.97949913558539,99.97949913558539,99.97949913558539,96.8329200624211,96.8329200624211,96.8329200624211,103.36422931936994,103.36422931936994,103.36422931936994
2020,701.4731163933577,563.4519883930401,568.5218600740697,674.0011013055473,545.7047383928331,549.8721241074886,728.4089912280403,581.6132463546302,587.6021696278194
2021,1032.5205882724117,769.2582880327603,755.8141966462459,988.5004123696838,732.6125122229988,726.9818280014532,1077.3405269219074,803.9286664518709,783.5465301311756
2022,1525.8204429228938,1434.5991587116152,1466.1062096899675,1476.9941639276224,1400.6202509600757,1430.3148299410961,1570.0271694300686,1468.6637068820767,1501.0533430364555
2023,1856.9507710707348,1988.4859737806337,1723.272164590533,1809.885011926984,1944.283544842708,1687.7577462752818,1903.9507348998,2031.2697364780106,1759.5926072103912
2024,1599.6719861693662,1599.6719861693662,1599.6719861693662,1549.3267209987375,1549.3267209987375,1549.3267209987375,1653.827669109919,1653.827669109919,1653.827669109919
2025,1991.584418673948,1638.2912056633652,1715.681728742029,1923.6288667386273,1595.2582480229685,1675.334191210879,2054.672799643934,1682.7808080681339,1753.5372718315768
Total,13627.188990900415,11971.100995514791,12349.077188225065,12986.467406575115,11443.196897252541,11812.921424232007,14282.359835068219,12521.847615916779,12906.257512498592
