Year,CT_mod_volume_kL_mean,MT_mod_volume_kL_mean,ST_mod_volume_kL_mean,CT_mod_volume_kL_low,MT_mod_volume_kL_low,ST_mod_volume_kL_low,CT_mod_volume_kL_high,MT_mod_volume_kL_high,ST_mod_volume_kL_high
2011,446.45159217147176,483.4030149288928,485.58389764131186,378.09291161969827,430.40188792301996,431.23195376228813,517.7729348141128,533.906731463671,538.306329752052
2012,633.5173644396364,712.4284200450965,660.8803225823298,535.9633845418248,633.8019684539137,591.0136820716657,734.8855746111788,787.7207645477672,726.4021292599472
2013,552.2348996967906,554.9488870722456,554.9488870722456,497.6995046328152,499.5431266029607,499.5431266029607,606.9525049452058,609.8661812797955,609.8661812797955
2014,745.4351196360395,384.47453255463114,759.3165397953768,667.7161987144958,342.05286441717755,675.70876688289,819.7486664168057,424.9397845167914,839.3749178988114
2015,515.5693058452989,465.12380831273697,442.92573146203534,443.65690744154483,426.41722726849815,403.06059599062274,591.7489166018006,504.9267796362379,482.60724923250064
2016,107.79762879576921,89.00720071625577,87.78399687120927,76.6809788880031,57.65013588294908,56.5598452293367,135.56952200098542,116.63574513993142,115.25248534475925
2017,1113.4006466381588,703.8404124768301,783.9270679442706,965.6848210432133,632.8066219676812,694.1269892513905,1263.6208128921357,775.4999215273319,872.4790873301321
2018,407.91504391595737,396.5112445874468,393.8535627217554,269.4362074146378,271.52705293210096,269.26132446760175,543.2141218099506,538.7018784837993,535.9921038902044
2019,99.74241799288319,99.74241799288319,99.74241799288319,90.4186179782951,90.4186179782951,90.4186179782951,109.22598216899208,109.22598216899208,109.22598216899208
2020,806.951791282281,607.6196971048171,616.4645692435801,717.402402649373,551.2100535258435,556.9317815961624,893.5168907210049,663.5884924481383,675.8325478645692
2021,1145.1198430902905,796.6973171503139,795.4359556018621,972.8768238447793,707.5790391422387,721.1094555769025,1325.7461714094873,893.7826532415379,873.0972126963369
2022,1462.4439688438017,1382.1828666806591,1419.4533688553572,1325.5414414871098,1283.7414599421354,1312.319219853946,1593.1281077909903,1484.9128563373133,1527.6039739290482
2023,1708.9028435834912,1787.8190373125087,1545.5804577305983,1584.0972425678622,1672.9343356046775,1446.6921930412468,1844.9659404661982,1910.436542213783,1647.8440707116165
2024,1600.4658885206713,1600.4658885206713,1600.4658885206713,1451.2414671612307,1451.2414671612307,1451.2414671612307,1753.6772546911038,1753.6772546911038,1753.6772546911038
2025,2032.912233742631,1573.5024747153716,1662.5272035949765,1832.2717586989613,1455.3120123042636,1533.354932831374,2223.2958335318026,1689.3863544655715,1793.8022510072985
Total,13378.860588195173,11637.767220171361,11908.889867630463,11808.780668683845,10506.637871106986,10732.573952297913,14957.069234871755,12797.207922161766,13101.363777057168
