Year,CT_obs_volume_kL_mean,MT_obs_volume_kL_mean,ST_obs_volume_kL_mean,CT_obs_volume_kL_low,MT_obs_volume_kL_low,ST_obs_volume_kL_low,CT_obs_volume_kL_high,MT_obs_volume_kL_high,ST_obs_volume_kL_high
2011,96.87930333333334,101.62622333333333,149.45602,61.40709987500001,74.98022166666667,75.64016770833334,137.14408216666666,125.62209000000001,224.79761591666667
2012,105.28233333333333,152.82133333333334,101.4395,64.59554583333333,110.5052916666667,62.92959166666668,143.673,199.79265416666664,140.82104166666662
2013,84.14,100.647,109.085,48.324635,91.176,64.60009500000001,123.02487499999998,112.9,158.62568
2014,631.7206514285714,6.58817,271.3005014285714,492.56515100000007,2.823501428571429,181.28146564285714,770.6331365357142,14.117507142857145,361.74560028571426
2015,365.64902875,163.61262,137.24620625,306.5705965625,117.09921821875,100.6603425625,419.0335681875,217.54600715624997,175.33790793749998
2016,306.45178,41.283,156.39924,248.77144024999998,26.93356466666667,97.62165991666667,373.25990963888887,58.765013166666655,214.7129603333333
2017,1178.374982,347.223078,269.75324,932.0447237000001,229.89613910000003,182.24064345000002,1466.7117486999998,464.568206,366.8768956999999
2020,41.50876,NA,253.87591333333333,41.50876,NA,137.68186095833337,41.50876,NA,386.4159937083333
2021,141.40626,113.04186,182.03484,111.01190637500001,62.68233541666668,92.15865037500001,172.27601020833333,176.06520308333333,288.8202655416666
2023,1633.9285142857143,2110.2754900000004,1541.56686,1400.138834607143,1909.6571649285713,1375.3437778928571,1887.8639012142858,2312.4353162142856,1706.7087757857141
2024,760.7595,852.50098,1201.75075,644.18087475,617.7211819285716,998.3819095357144,884.6588625714286,1093.2670920714284,1401.025754357143
2025,2008.6423799999998,1833.7301057142859,2371.3206285714286,1891.5423349999999,1660.196156857143,2190.680277607143,2137.87787625,2000.8866647857142,2558.504281642857
