Analyte,Treatment,method,n,MAE,RMSE,NRMSE_mean,NRMSE_range,Coverage,MeanWidth,IntervalProb,CRPS,CRPS_norm_mean
ICP,ALL,Bayes,9,57.32788788853975,62.217211477170245,3.403736911966342,3.2693446191459063,0.3333333333333333,81.17183678563008,0.95,66674.3952136882,3605.8901589234247
ICP,ALL,ML,9,275.2026268070801,279.9163614980151,14.140027321831145,13.361290740304392,0.0,239.94462268675792,0.95,34213.80889181173,1898.530852174325
NH4,ALL,Bayes,6,30.13815951920093,33.181435434724975,2.2923617762117057,88.71456548912379,0.0,21.764318768056313,0.95,39623.29033440988,2634.7501113424405
NH4,ALL,ML,6,217.00140523705815,247.30069870775029,12.76612555489343,397.7981008322986,0.0,185.39018293039666,0.95,141700.77313037953,5987.35636542623
NO2,ALL,Bayes,9,154.84703176398432,254.37905836422212,0.3977234999794773,0.13351786315269185,0.6666666666666666,144.98451183206723,0.95,438250.0791733216,779.7671398734805
NO2,ALL,ML,9,1535.259306402143,1649.7488918667932,2.9448866412476002,0.9864206184569527,0.0,885.6642087732465,0.95,355546.2339580168,630.4671017400536
NO3,ALL,Bayes,35,2802.2296338547944,3334.2768187781708,1.1447242866219802,0.27962350289876875,0.05714285714285714,592.4740975993609,0.95,5519976.664581375,1886.0837378359233
NO3,ALL,ML,35,2231.978419993153,2824.0672342421276,0.915784230503131,0.22753327404302312,0.17142857142857143,2294.042550858018,0.95,2302685.5880573248,779.6854005382831
NPOC,ALL,Bayes,3,570.1995082599437,651.5801534376022,1.1345375999533047,,0.3333333333333333,291.0678274211397,0.95,1019710.2449411647,1780.12148727361
NPOC,ALL,ML,3,599.3169002717486,732.4884012206255,0.6647756543642246,,0.3333333333333333,1214.398212035431,0.95,1199205.8062916424,1490.0918850755977
OP,ALL,Bayes,32,54.0901969631988,78.13727539609955,0.6996638976795984,0.18342422572856126,0.40625,70.1521738827635,0.95,147626.31558548834,1330.8839053670251
OP,ALL,ML,32,672.4235182914467,977.6412590911415,8.847937827602415,2.2913075589134513,0.0,398.56934126733694,0.95,106727.44917463562,948.0442601605191
Se,ALL,Bayes,5,4.221301884617061,4.437175409976924,5.360972058463683,17.951931234672735,0.0,0.7245977404045865,0.95,5081.199778849992,6061.396071974983
Se,ALL,ML,5,326.36004398384955,339.4546643395538,398.70526582803507,1458.426952823055,0.0,204.363366454551,0.95,11568.606258838767,13036.269929012666
TDS,ALL,Bayes,9,328721.94233058684,423691.66880359646,0.29016653902041756,0.4939225759251787,0.1111111111111111,106622.11120516119,0.95,1590956701.5679731,1103.9917317476202
TDS,ALL,ML,9,633597.9381599412,714733.5138127038,0.4893698940023372,0.8723424826791573,0.0,633954.4605176705,0.95,452616654.5909862,313.88526178911343
TKN,ALL,Bayes,29,1150.8857992084288,1427.1635913144717,1.2069478551133779,0.27627768720049367,0.3448275862068966,1441.413364161394,0.95,1893221.5552586794,1672.9666662818263
TKN,ALL,ML,29,1154.6207799354902,1514.286777097957,1.314701104790448,0.28984027584436234,0.034482758620689655,1078.2150405977113,0.95,725912.9517223185,640.9573051778824
TN,ALL,Bayes,15,1840.9316895538564,2188.1008887601974,2.3777115116946153,1.0445148508163586,0.06666666666666667,1012.9173405837433,0.95,2717010.2445843676,2698.8590203155723
TN,ALL,ML,15,957.1743033420676,1144.6649707214144,0.9292413725632778,0.395550421953138,0.13333333333333333,1305.4726692090433,0.95,2839388.950201315,2136.3374195533142
TP,ALL,Bayes,35,478.3036002930894,687.4280872999276,1.0051105524312902,0.1776075393623329,0.6285714285714286,956.3506615197989,0.95,993402.0376790598,1428.6827845959588
TP,ALL,ML,35,933.07038643429,1767.7265759376132,2.551471593588882,0.4439173306188749,0.02857142857142857,799.7562050670246,0.95,331241.84236438933,467.69038068237757
TSP,ALL,Bayes,9,49.94458703364143,63.63723402678507,10.186657967235526,4.621718569688083,0.4444444444444444,85.48330564362543,0.95,54354.38627926242,7261.906181872214
TSP,ALL,ML,9,310.60022842340425,391.1819864920621,40.62758728060214,18.678080519737208,0.0,235.94243520166688,0.95,39763.787970136626,3537.338304728638
TSS,ALL,Bayes,35,607127.4481758825,884537.932020506,0.9007596191874835,0.20647769293240859,0.4857142857142857,798766.8791695281,0.95,1179698999.844333,1230.7480468541867
TSS,ALL,ML,35,311252.8667235132,653674.302130306,0.684752230488767,0.1513703178654341,0.37142857142857144,369685.3284806871,0.95,280293901.24747044,283.73033370146385
