Analyte,Treatment,method,n,MAE,RMSE,NRMSE_mean,NRMSE_range,Coverage,MeanWidth,IntervalProb,CRPS,CRPS_norm_mean,mean_abs_obs
ICP,CT,Bayes,3,71.81388773559244,78.19955218520427,5.379590161433019,4.782139998207254,0.3333333333333333,88.62431266022878,0.95,75361.80462269884,5184.37268970467,14.536340099999999
ICP,CT,ML,3,234.22157678134508,234.96267137576405,16.16381219477412,14.36868060587517,0.0,205.52026620914103,0.95,47022.237365314206,3234.8058068147575,14.536340099999999
ICP,MT,Bayes,3,48.76005154082924,49.85576381293814,1.7746856424378903,1.1071799953048145,0.3333333333333333,79.67512067909115,0.95,65175.91290373162,2320.0277764678053,28.092729563333336
ICP,MT,ML,3,337.9909346560235,339.0997227960857,12.070728906267586,7.530612326027626,0.0,287.2386268866192,0.95,31694.506015421026,1128.2102703465573,28.092729563333336
ICP,ST,Bayes,3,51.40972438919758,54.88330406095114,3.0569349320281165,3.918713863925651,0.3333333333333333,75.21607701757027,0.95,59485.46811463411,3313.270010597797,17.95370372
ICP,ST,ML,3,253.39536898387155,254.682997788319,14.185540864451728,18.184579289010383,0.0,227.07497496451356,0.95,23924.683294699953,1332.5764793616609,17.95370372
NH4,CT,Bayes,2,28.66603724425351,28.70814817222487,0.6815813205266239,1.9242635810786768,0.0,24.74129944609536,0.95,40153.33457790612,953.3099328097696,42.1199163
NH4,CT,ML,2,342.2167076563419,355.39298735727243,8.437647046256652,23.821452308233447,0.0,292.5586114905852,0.95,303214.0802471894,7198.82912604908,42.1199163
NH4,MT,Bayes,2,29.92052545595175,32.19705863818853,2.8516656326084524,2.0755705645830345,0.0,20.684240812609573,0.95,38412.81158216362,3402.189494129606,11.290614955
NH4,MT,ML,2,142.8792248877637,170.28493279618323,15.081989198539913,10.977350387048997,0.0,115.4884179569307,0.95,59653.58211113405,5283.466166270839,11.290614955
NH4,ST,Bayes,2,31.827915857397535,37.97650084061324,3.34383837550004,262.1438623217096,0.0,19.867416045463997,0.95,40303.72484315989,3548.7509070879455,11.357158025
NH4,ST,ML,2,165.90828316706882,167.8444903590743,14.778740419883725,1158.5954998016134,0.0,148.12351934367408,0.95,62234.65703281514,5479.773803958772,11.357158025
NO2,CT,Bayes,3,139.66694967941166,203.20358022544116,0.3719203305215949,0.12474027447992551,0.6666666666666666,146.00086510090034,0.95,435983.5885100346,797.9739341243246,546.36319542
NO2,CT,ML,3,1426.587010206631,1519.9000310983254,2.7818492238115504,0.9330187334834927,0.0,839.4206619770483,0.95,368607.6141359941,674.6567434005841,546.36319542
NO2,MT,Bayes,3,97.44878128090063,130.72082950000322,0.2595114793353811,0.08650382644512704,0.6666666666666666,143.97227858828705,0.95,437522.6885970411,868.5850647896067,503.71887145333335
NO2,MT,ML,3,1751.9119301982507,1864.0733565341152,3.700622434803519,1.233540811601173,0.0,942.8687609817085,0.95,331082.93998357625,657.2772209791016,503.71887145333335
NO2,ST,Bayes,3,227.42536433164068,368.43789940938325,0.5617386900814559,0.189309488533023,0.6666666666666666,144.98039180701429,0.95,441243.9604128892,672.7424207065102,655.8884155833333
NO2,ST,ML,3,1427.278978801547,1542.7730343683368,2.3521882651277304,0.7927023102861922,0.0,874.7032033609822,0.95,366948.1477544799,559.4673408404751,655.8884155833333
NO3,CT,Bayes,12,2690.4927225892307,3270.0716301987404,0.9522288546179571,0.30141604221415835,0.08333333333333333,646.100137372234,0.95,5707399.266044854,1661.9667336225784,3434.12365036
NO3,CT,ML,12,2836.8282910822163,3524.257979278088,1.0262466754534711,0.32484545049281033,0.16666666666666666,2752.342931081503,0.95,2602032.207963331,757.6990443225769,3434.12365036
NO3,MT,Bayes,11,2922.507608260624,3421.943012768822,1.3088279387249606,0.23117852631478664,0.0,546.4162432569127,0.95,5319829.421329777,2034.7332933091832,2614.509448890909
NO3,MT,ML,11,2339.529923749928,2926.935694336124,1.1194970802563928,0.19773698098124476,0.09090909090909091,2093.382837918431,0.95,1954431.4767901003,747.5327647483479,2614.509448890909
NO3,ST,Bayes,12,2803.7117352483488,3316.398790353187,1.1867913708649378,0.3022388587853627,0.08333333333333333,581.0677576403986,0.95,5516022.369431864,1973.938649532114,2794.4244218225
NO3,ST,ML,12,1528.539670460378,1728.5890494506466,0.6185850066123009,0.15753436623319936,0.25,2019.6802408291542,0.95,2322571.9034796073,831.1450062280967,2794.4244218225
NPOC,CT,Bayes,1,803.3368514338849,803.3368514338849,0.43044872031936576,,0.0,285.8266903495555,0.95,1023170.9813951975,548.241548764204,1866.277708615
NPOC,CT,ML,1,1194.17108506368,1194.17108506368,0.6398678393634659,,0.0,2176.2956797097067,0.95,2281869.1486441432,1222.6846723350523,1866.277708615
NPOC,MT,Bayes,1,782.8405876132795,782.8405876132795,2.8394217069133,,0.0,299.7066930720555,0.95,1020169.8563294811,3700.232819598653,275.704234319
NPOC,MT,ML,1,276.41157042180436,276.41157042180436,1.0025655612600637,,0.0,441.3181597940763,0.95,718321.7012069062,2605.4068519520138,275.704234319
NPOC,ST,Bayes,1,124.42108573266694,124.42108573266694,0.1337423726272485,,1.0,287.6700988418082,0.95,1015789.8970988153,1091.890093457973,930.304160817
NPOC,ST,ML,1,327.3680453297617,327.3680453297617,0.3518935624691441,,1.0,1025.5807966025102,0.95,597426.5690238775,642.1841309397273,930.304160817
OP,CT,Bayes,11,57.82523119603909,81.14360056121197,0.7136293389288275,0.18238797872234483,0.45454545454545453,73.04879102616506,0.95,147826.99248610722,1300.0862445599344,113.70552769454547
OP,CT,ML,11,732.1548728407339,940.1160430344336,8.267988919236435,2.11311629835986,0.0,428.90552999570315,0.95,126857.1037786517,1115.6634716953793,113.70552769454547
OP,MT,Bayes,10,69.48574735821987,100.00724108811731,1.0739718232558344,0.2963273604563426,0.2,68.12638876607538,0.95,152842.25847646705,1641.3639374560714,93.119054823
OP,MT,ML,10,710.5041321316279,1086.028469419192,11.6627952408184,3.217966481445803,0.0,394.79103208245334,0.95,87738.34580747224,942.2168854080901,93.119054823
OP,ST,Bayes,11,36.35920782579389,45.65908857992923,0.3454185240883362,0.08182125934588555,0.5454545454545454,69.0971795727148,0.95,142683.8724203433,1079.4269915477105,132.18482911545453
OP,ST,ML,11,578.0734238874494,907.9677369771829,6.868925451226588,1.6270816171649045,0.0,371.6679790706831,0.95,103860.61581349534,785.7226620369581,132.18482911545453
Se,CT,Bayes,2,4.5761183661233,4.746125643610542,7.0264508256009455,6.19875704107366,0.0,0.8129678930429778,0.95,5120.8198964377025,7581.170809820009,0.6754655745
Se,CT,ML,2,431.3919310814588,431.96785761010545,639.5112851307946,564.1788692389428,0.0,247.87284879125676,0.95,8438.748692500438,12493.232832401643,0.6754655745
Se,MT,Bayes,1,5.389835931917174,5.389835931917174,7.857536577614043,,0.0,0.7592725084133729,0.95,5958.907835259586,8687.154278836893,0.685944746
Se,MT,ML,1,224.2082257260474,224.2082257260474,326.8604753276256,,0.0,136.44000997521474,0.95,15149.142452065425,22085.076881783458,0.685944746
Se,ST,Bayes,2,3.2822183794607662,3.4886157334721473,2.4472110317512414,29.70510542827181,0.0,0.618890203761802,0.95,4602.725633057484,3228.742230699,1.4255475675
Se,ST,ML,2,272.4040660151414,276.30196996189227,193.82164177548026,2352.675036407167,0.0,194.8155623575134,0.95,12908.195728563765,9054.903549238294,1.4255475675
TDS,CT,Bayes,3,369101.182357681,495899.4276815592,0.3842341931724947,0.4958152187421297,0.0,107751.52805651049,0.95,1567143052.776358,1214.2582000640532,1290617.6402133333
TDS,CT,ML,3,626684.2533039383,709809.7402290262,0.5499767848451985,0.7096892070682987,0.0,609200.0446475542,0.95,454685891.6573856,352.3010049531231,1290617.6402133333
TDS,MT,Bayes,3,360903.6446942373,469335.1475834938,0.3149242068931777,0.29723011004709315,0.3333333333333333,107202.1659813677,0.95,1637513555.6352463,1098.7727223082447,1490311.4378333334
TDS,MT,ML,3,788955.7114594681,864008.4224929964,0.5797502458607725,0.5471768305047361,0.0,672355.6692453147,0.95,412982258.1978013,277.11137934914416,1490311.4378333334
TDS,ST,Bayes,3,256160.99993984206,268983.5822287516,0.17134121699558033,0.6887223989863129,0.0,104912.63957760537,0.95,1568213496.2923155,998.9442728705621,1569870.85154
TDS,ST,ML,3,485153.8497164172,531217.0609443274,0.33838265130104056,1.3601614104644366,0.0,620307.6676601431,0.95,490181813.9177718,312.243401065073,1569870.85154
TKN,CT,Bayes,10,1538.504761162606,1827.449835853635,1.3176298243781004,0.3437061132971726,0.2,1527.8617196975429,0.95,2108456.9806909477,1520.2418948363975,1386.922033824
TKN,CT,ML,10,1491.7499469170937,1696.879498882198,1.2234858611363957,0.3191484908925108,0.0,1269.9759738466641,0.95,849439.9984185748,612.4641311498325,1386.922033824
TKN,MT,Bayes,9,868.8473556748527,1028.7220674707553,0.9320463576758206,0.15482765560911077,0.4444444444444444,1331.1810939478069,0.95,1796037.8759740544,1627.2525043281655,1103.7241431166667
TKN,MT,ML,9,1095.6331197192148,1590.8846455919509,1.4413788585793306,0.23943584745598456,0.1111111111111111,1041.494654864011,0.95,598153.4531170412,541.9410790707101,1103.7241431166667
TKN,ST,Bayes,10,1017.1014364344704,1270.705737781508,1.343677233542457,0.31815428953605945,0.4,1454.1740518174738,0.95,1765451.4411825736,1866.8341834855494,945.692690224
TKN,ST,ML,10,870.5805071485344,1221.7464105954539,1.2919063700345055,0.3058960463457538,0.0,919.5024545090894,0.95,717369.4537708117,758.5650827023873,945.692690224
TN,CT,Bayes,5,1700.3748669081353,1819.9577944286514,0.696525135419618,0.2698523725131435,0.0,1137.24177410462,0.95,3060325.7748199105,1171.232558941713,2612.9104347859998
TN,CT,ML,5,1460.4473877281634,1653.9383618458028,0.6329870093619424,0.24523601168163744,0.2,2175.409240017736,0.95,5275429.087582918,2018.9858088323572,2612.9104347859998
TN,MT,Bayes,5,1858.956456322933,2230.0786205894824,3.7784264673182912,1.334925915487254,0.0,905.4148010381643,0.95,2331556.595064101,3950.3607933392254,590.213582262
TN,MT,ML,5,719.9266481893673,792.4260566482834,1.3426089816694862,0.474346540682743,0.0,801.64573416118,0.95,1450508.6685451122,2457.5996082401593,590.213582262
TN,ST,Bayes,5,1963.4637454305,2465.331513340064,2.658182932345938,1.5287662644486786,0.2,996.0954466084459,0.95,2759148.3638690924,2974.983708665779,927.44990698
TN,ST,ML,5,691.1488741086721,753.2081555251792,0.8121281266584048,0.4670687134950335,0.2,939.3630334482135,0.95,1792229.0944759138,1932.4268415874262,927.44990698
TP,CT,Bayes,12,561.3934896848823,716.8955400116131,1.0113570059001251,0.19170221223042233,0.5,1003.1055071054531,0.95,1102450.4105245855,1555.276723193796,708.8451811075
TP,CT,ML,12,880.9020991588667,1270.8310402168322,1.7928189033200244,0.3398279221777682,0.0,804.9992256197316,0.95,414552.00400841143,584.8272867718663,708.8451811075
TP,MT,Bayes,11,541.1305722893431,848.7002619904931,1.5617636931870127,0.2727003459132774,0.5454545454545454,928.133670180874,0.95,963977.5237555013,1773.8949368517185,543.424248939091
TP,MT,ML,11,1173.7991216141354,2333.6475564653792,4.294338283617785,0.7498365729206198,0.0,811.7774646857234,0.95,262749.0414076618,483.50628798883747,543.424248939091
TP,ST,Bayes,12,337.62231990473055,451.75805352687894,0.4885987199363763,0.07634446048921106,0.8333333333333334,935.4613913281592,0.95,911326.1359301292,985.6443730970082,924.5993390766666
TP,ST,ML,12,764.5706664615218,1583.3731178919838,1.7124964846645778,0.26758076695004884,0.08333333333333333,783.49369653051,0.95,310716.7482640342,336.0555595619672,924.5993390766666
TSP,CT,Bayes,3,51.00912441130197,61.849814023941796,1.4410505425370104,0.7401339349390961,0.6666666666666666,104.64860018283406,0.95,78119.82006006362,1820.1284976680959,42.919947773
TSP,CT,ML,3,524.8173610262608,587.9507255438432,13.69877541914695,7.035789693379057,0.0,377.5207576222356,0.95,82394.18404866435,1919.7177145797166,42.919947773
TSP,MT,Bayes,3,36.547979001299815,44.147276253825446,10.746336419821507,6.099571353129417,0.3333333333333333,60.825623610146046,0.95,31490.950364705015,7665.531727332709,4.108123413333334
TSP,MT,ML,3,148.93802779164585,169.24738816495847,41.198223893578465,23.383923268731706,0.0,134.022358625218,0.95,15163.966253785024,3691.214875524144,4.108123413333334
TSP,ST,Bayes,3,62.27665768832252,79.84178835867637,18.372586939348064,7.0254504209957345,0.3333333333333333,90.97569313789614,0.95,53452.38841301863,12300.058320615835,4.34570203
TSP,ST,ML,3,258.04529645230605,291.10016420372534,66.98576252908103,25.61452859710085,0.0,196.2841893575471,0.95,21733.213607960493,5001.082324082053,4.34570203
TSS,CT,Bayes,12,861222.1616534736,1118335.1655798536,0.944503466845419,0.2412083205636061,0.25,839636.7802601159,0.95,1394306336.4139216,1177.578251243366,1184045.590975988
TSS,CT,ML,12,217986.22941923855,315529.84528374014,0.2664845405350097,0.06805511121446622,0.4166666666666667,439598.02679989225,0.95,389215307.7194846,328.7164875118206,1184045.590975988
TSS,MT,Bayes,11,506756.2167305154,786092.9742653997,1.1837912476116836,0.24316152553964332,0.6363636363636364,768638.3056181155,0.95,1071907952.8333205,1614.2050550639224,664046.9557883233
TSS,MT,ML,11,388662.498293749,748659.8090413735,1.1274199851614441,0.23158235378816214,0.45454545454545453,337354.2967878448,0.95,213943450.51690552,322.1812081992343,664046.9557883233
TSS,ST,Bayes,12,445039.6968565444,681836.4322704226,0.5975701121406977,0.13812021874457925,0.5833333333333334,785514.8371677353,0.95,1063900123.0348387,932.4155849394161,1141014.951078886
TSS,ST,ML,12,333560.67508840497,795562.571324222,0.6972411453259033,0.16115782492056796,0.25,329409.40921325417,0.95,232193741.2784741,203.49754493481743,1141014.951078886
