Analyte,Treatment,method,n,MAE,RMSE,NRMSE_mean,NRMSE_range,Coverage,MeanWidth,IntervalProb,CRPS,CRPS_norm_mean
ICP,ALL,ML,9,25924.681369553517,29130.43138588067,1.4815424217940438,1.4152290494653863,0.0,453.3493900880619,,13495.1217244114,0.7570784369401626
NH4,ALL,Bayes,6,29797.161360284914,33039.847195697024,2.247851343535635,83.29695187614332,0.0,24507.630894856004,0.95,27052.554562264715,1.8493522632084174
NH4,ALL,ML,6,1971.3751779423183,2865.681029383603,0.1663969942645699,5.1443801901298585,0.5,0.0,,133806.29269567298,5.324472012771939
NO2,ALL,Bayes,9,147760.96657659067,258906.37332690568,0.3847023464683238,0.12909659232192408,0.6666666666666666,198823.28318502658,0.95,139041.90815594993,0.2369381847736452
NO2,ALL,ML,9,180169.79186082855,310261.1573428344,0.5190609318422711,0.17361706730163107,0.0,3957.9866224930042,,699302.0029245673,1.2319549372578145
NO3,ALL,Bayes,35,2936245.5515618795,3468133.732975502,1.1816475211730695,0.2916995826907877,0.11428571428571428,755791.9223803179,0.95,2719302.363583663,0.9356970449993629
NO3,ALL,ML,35,1213798.4829512648,1918470.3920435007,0.6053934633952348,0.14740089110522758,0.05714285714285714,534157.2283203157,,1920597.3234435609,0.6465568085146539
NPOC,ALL,ML,3,2.9103830456733704e-10,3.377382175051842e-10,2.7868249228847397e-16,,0.6666666666666666,0.0,,234677.5442604172,0.42226280028423796
OP,ALL,Bayes,32,51275.45043121727,81121.56223209458,0.727203552861114,0.19055070767756352,0.59375,87254.54026946702,0.95,44970.8931414532,0.42009242564394145
OP,ALL,ML,32,62311.121221751426,122201.94277256727,1.0637976864015477,0.2814426006288733,0.0625,1392.1304139436138,,72299.58119576576,0.6488548885774468
Se,ALL,Bayes,5,4061.5817683601526,4342.569814698544,5.274316588000561,15.50625797698458,0.0,835.1044819597253,0.95,4104.583167055991,5.062396071974982
Se,ALL,ML,5,12485.254019254991,20043.08522695421,22.07896558110383,47.46743828988251,0.0,407.4766991544362,,20688.5998260243,22.702537632755497
TDS,ALL,Bayes,9,384782793.11242867,504790812.7524454,0.34662612923840014,0.5964024796229561,0.2222222222222222,142900837.7951485,0.95,313346949.07989705,0.2197651216139761
TDS,ALL,ML,9,359009507.8895523,515176098.4577018,0.34117057750777385,0.5338682715288765,0.0,38878437.58505501,,1178169561.6606038,0.8073295819858768
TKN,ALL,Bayes,29,891053.0768555484,1137201.6238144166,0.9536582653171369,0.21522123642989185,0.27586206896551724,852890.4183842139,0.95,975724.5755152049,0.8430561444990411
TKN,ALL,ML,29,741416.3247750769,1066073.4749170651,0.8955736388510532,0.19640688055747527,0.10344827586206896,322127.72178582475,,599181.3585519007,0.5087973213745092
TN,ALL,Bayes,15,1705547.6477504426,2156823.262109973,2.3384727290669143,1.024927567506259,0.3333333333333333,2273736.019857474,0.95,1708758.0551454863,1.8415758305449124
TN,ALL,ML,15,355407.5402769357,425119.8128376271,0.4329020250211251,0.18077618327319217,0.13333333333333333,362856.47523479426,,2269385.18601539,1.5054014972152432
TP,ALL,Bayes,35,386162.7300832937,631869.0365546739,0.9219468741966174,0.16192626238025937,0.8571428571428571,1109268.2992071947,0.95,379942.1929521121,0.5692219153152723
TP,ALL,ML,35,463215.03303968685,1447576.2585193256,1.8607308847397084,0.32259930132654957,0.02857142857142857,42794.93558613375,,443889.89324630017,0.5946928344626025
TSP,ALL,ML,9,29134.194229665613,48072.24335218677,4.9437087287767865,2.3550399032444904,0.2222222222222222,228.70541988119416,,44846.94423049203,4.478686973520183
TSS,ALL,Bayes,35,553411629.2445595,861348820.3003814,0.8623665563512242,0.19861484100396481,0.5428571428571428,950190217.8305506,0.95,515890156.74876904,0.5297823884190329
TSS,ALL,ML,35,357061650.4297945,1004784632.5478736,1.0362875330256043,0.22150086426924687,0.05714285714285714,43797121.84963702,,815784126.6441071,0.813976988630646
