Analyte,Treatment,method,n,MAE,RMSE,NRMSE_mean,NRMSE_range,Coverage,MeanWidth,IntervalProb,CRPS,CRPS_norm_mean,mean_abs_obs
ICP,CT,ML,3,21540.14621021377,24059.286028586175,1.6551130382940185,1.4712983748694644,0.0,311.79149085398177,,18175.36991024545,1.2503401671405203,14536.3401
ICP,MT,ML,3,33459.80686683728,34218.16474234591,1.2180434323835692,0.7599054669169093,0.0,756.6797487011136,,11030.770486747977,0.3926557033868774,28092.729563333338
ICP,ST,ML,3,22774.0910316095,28213.721052758337,1.5714707947045443,2.0144833066097854,0.0,291.57693070909045,,11279.224776240777,0.6282394402930904,17953.70372
NH4,CT,Bayes,2,29623.011816163606,30069.772919002437,0.7139086579571964,2.0155312203426585,0.0,29005.154594631833,0.95,25526.38820114913,0.606040810227088,42119.9163
NH4,CT,ML,2,2622.7946875201706,3709.1918184111187,0.08806265881423699,0.24862149549266307,0.5,0.0,,301591.436706556,7.1603047489093905,42119.9163
NH4,MT,Bayes,2,29333.340690449542,31905.864525266632,2.825874821914572,2.0567988520439364,0.0,19942.368471719194,0.95,26143.89253708103,2.3155419471198346,11290.614955000001
NH4,MT,ML,2,1752.22597036564,2478.021731633445,0.21947624124194084,0.15974468420773827,0.5,0.0,,44871.2903027683,3.9742113677251245,11290.614955000001
NH4,ST,Bayes,2,28942.30069222326,34961.313708654634,3.0783505549271983,241.33065460381974,0.0,21177.203127600893,0.95,26073.993493748676,2.295820260346221,11357.158025
NH4,ST,ML,2,1539.1048759411442,2176.6229894705234,0.19165208273753181,15.024774390689174,0.5,0.0,,54956.151077694674,4.8388999216813025,11357.158025
NO2,CT,Bayes,3,72729.02102146656,99247.32781394337,0.1816508297885073,0.060924807029361795,0.6666666666666666,214835.739228287,0.95,55695.39281922611,0.10193840523319288,546363.19542
NO2,CT,ML,3,125231.54439183832,180678.4414330322,0.3306929217553557,0.11091280159511593,0.0,3184.1252429684027,,617220.0305460762,1.1296881556445382,546363.19542
NO2,MT,Bayes,3,120978.8152965784,188290.92604891796,0.3738016118110874,0.12460053727036248,0.6666666666666666,187996.16050868187,0.95,108517.49299321855,0.21543265329750916,503718.87145333336
NO2,MT,ML,3,292865.23389907344,465792.6368024949,0.9247075366832824,0.3082358455610942,0.0,5584.502373518558,,670125.0813901824,1.3303553219213975,503718.87145333336
NO2,ST,Bayes,3,250055.84689295408,396562.5860520786,0.6046189818726775,0.20376041785385338,0.6666666666666666,189778.9686729888,0.95,230097.02026594654,0.35081732623879797,655888.4155833333
NO2,ST,ML,3,122412.59729157394,197935.53892379874,0.3017823370881753,0.10170255474868313,0.0,3105.332250992053,,810560.8968374431,1.2358213342075075,655888.4155833333
