Analyte,Treatment,method,n,MAE,RMSE,NRMSE_mean,NRMSE_range,NRMSE_sd,Coverage,MeanWidth,IntervalProb,CRPS,mean_abs_obs,CRPS_norm_mean
ICP,CT,ML,3,21540.14621021377,24059.286028586175,1.6551130382940185,1.4712983748694644,3.506004770613487,0.0,311.79149085398177,,18175.36991024545,14536.3401,1.2503401671405203
ICP,MT,ML,3,33459.80686683728,34218.16474234591,1.2180434323835692,0.7599054669169093,1.7064361227038927,0.0,756.6797487011136,,11030.770486747977,28092.729563333338,0.3926557033868774
ICP,ST,ML,3,22774.0910316095,28213.721052758337,1.5714707947045443,2.0144833066097854,4.3667421865552605,0.0,291.57693070909045,,11279.224776240777,17953.70372,0.6282394402930904
NH4,CT,Bayes,2,27811.142055174627,28160.400085790367,0.6685768291944675,1.887548858554317,3.775097717108634,0.0,33315.71995073244,0.95,23145.713840250737,42119.9163,0.5495194642694657
NH4,CT,ML,2,2622.7946875201706,3709.1918184111187,0.08806265881423699,0.24862149549266307,0.49724299098532615,0.5,0.0,,301591.436706556,42119.9163,7.1603047489093905
NH4,MT,Bayes,2,27990.31338636513,29960.560515596102,2.6535809284974503,1.931395603659982,3.862791207319964,0.0,25124.36149909893,0.95,24312.08449299059,11290.614955000001,2.153300293198298
NH4,MT,ML,2,1752.22597036564,2478.021731633445,0.21947624124194084,0.15974468420773827,0.31948936841547654,0.5,0.0,,44871.2903027683,11290.614955000001,3.9742113677251245
NH4,ST,Bayes,2,28098.000700682678,33368.58526746015,2.938110502117465,230.33638246282652,460.67276492565304,0.0,25565.459588677,0.95,24798.280689245017,11357.158025,2.1834934967584037
NH4,ST,ML,2,1539.1048759411442,2176.6229894705234,0.19165208273753181,15.024774390689174,30.04954878137835,0.5,0.0,,54956.151077694674,11357.158025,4.8388999216813025
NO2,CT,Bayes,3,1088304.9525459034,1319030.8704076663,2.4142015448051946,0.809711485592946,1.722961291821775,0.3333333333333333,748697.8270065751,0.95,990141.3763412737,546363.19542,1.812240254543743
NO2,CT,ML,3,125231.54439183832,180678.4414330322,0.3306929217553557,0.11091280159511593,0.2360080933963202,0.0,3184.1252429684027,,617220.0305460762,546363.19542,1.1296881556445382
