Analyte,Treatment,method,n,MAE,RMSE,NRMSE_mean,NRMSE_range,NRMSE_sd,Coverage,MeanWidth,IntervalProb,CRPS,CRPS_norm_mean
ICP,ALL,ML,9,102645.23473813261,104167.22300046174,5.35058976754048,5.035017073797304,11.40739591235215,0.0,138639.8645540283,,38208.03745366064,2.051207640669485
NH4,ALL,Bayes,6,18684.71442045256,21480.051462805426,2.7826587006155736,8.886881700588367,17.773763401176733,0.0,17604.10398527079,0.95,15361.467256436545,2.0166808036356323
NH4,ALL,ML,6,20347.817913845385,24246.958683413424,2.524019974806547,7.516803288899567,15.033606577799134,0.0,17640.99344897563,,58248.06020776808,4.856126467761883
NO2,ALL,Bayes,9,112623.6208991622,244289.51876728883,0.3194414082660146,0.1072120727768889,0.2274467701782248,0.4444444444444444,146369.98826381273,0.95,1074574.931579527,1.9075491349569969
NO2,ALL,ML,9,296337.5756780409,474104.25263820356,0.8061414481466341,0.269679928667004,0.5724952238911933,0.0,312402.3966632194,,488348.60010706406,0.8627897014970105
NO3,ALL,Bayes,35,2982480.442148633,3624942.9013701943,1.3128937078847465,0.3065732839567886,0.9953298575070456,0.11428571428571428,1371930.9843982584,0.95,2781723.100498087,1.0156880878386416
NO3,ALL,ML,35,1681544.7182740308,2580869.822791706,0.884076958437694,0.20284521934995717,0.6595567096681363,0.0,1374253.5489122448,,2163533.430485865,0.7846229409372971
NPOC,ALL,ML,3,486302.99740000005,573050.0546965298,0.913457571613051,,,0.0,0.0,,128058.69268946668,0.3749756050892028
OP,ALL,Bayes,32,66650.02396566138,99461.41942187393,0.9247783010929045,0.23327453730092207,0.6426260207322877,0.5,107722.8741893966,0.95,62208.33755914908,0.5822437045977775
OP,ALL,ML,32,133303.80517992968,211671.4362715638,1.9331830540558854,0.4954577081188319,1.3502013889676636,0.03125,152686.33540407364,,95871.28881528392,0.8753592359026291
Se,ALL,Bayes,5,4510.798749646245,4832.870865505263,5.844494281780953,17.090185375045095,34.18037075009019,0.0,1552.6899222053355,0.95,4279.600461105078,5.444005620883788
Se,ALL,ML,5,34428.85591730378,51963.428361953134,57.585187016851634,202.5556862504253,405.1113725008506,0.0,59336.379480468735,,46342.64845722636,54.3055715853488
TDS,ALL,Bayes,9,394101519.17505515,518749436.6025638,0.35883405204039787,0.626999353105942,1.516691178824014,0.2222222222222222,293488364.4601009,0.95,357068770.0465141,0.2512405796426355
TDS,ALL,ML,9,526901123.30966145,737127057.1648186,0.4926288923312066,0.786800341561828,1.8976940786868137,0.0,439511755.4800012,,841459333.7235761,0.5773064104771027
TKN,ALL,Bayes,29,967452.489095977,1205351.8814850177,1.0542349868979075,0.2399883164013821,0.7995727377661874,0.20689655172413793,898351.1148706381,0.95,1043959.4682065843,0.9387264219658543
TKN,ALL,ML,29,1232543.5988940094,1990669.038433309,1.8472290898299069,0.4073900479562329,1.361976590780835,0.0,1377041.7987616428,,676906.5434377078,0.6050127984000424
TN,ALL,Bayes,15,2122973.1108956425,2494879.2998642926,4.076741609958969,1.9917687268542648,5.526588307812696,0.2,1948303.8991969533,0.95,1864350.199685913,3.1822401630320196
TN,ALL,ML,15,770582.8048138411,950043.9114483544,1.121374054362724,0.5195944607822902,1.4332276467691616,0.0,405388.68532032514,,1231924.4158683212,1.3964947363344768
TP,ALL,Bayes,35,381271.2887795949,591830.7426365998,0.8756353188066858,0.15257518333740902,0.537671279911895,0.5714285714285714,848427.0249112208,0.95,281784.44736953825,0.42419141076388217
TP,ALL,ML,35,723156.4196806415,2290693.829825955,2.9572901520460615,0.5082910918630404,1.752861139200181,0.0,821340.8651027043,,375579.1749161891,0.49750288513101243
TSP,ALL,ML,9,128060.80211579437,209519.92737502433,19.183830259623804,8.361960255289516,19.223210454713527,0.0,108261.00914451235,,19669.27827359463,2.8324708967838563
TSS,ALL,Bayes,35,551071400.3051356,858143561.9448614,0.8881739779384484,0.19866926358716658,0.6250912035200865,0.4857142857142857,815828853.7227468,0.95,472262759.9881957,0.4993810210822213
TSS,ALL,ML,35,565409670.8204176,1555375089.8483443,1.6200711929097076,0.3423881248722148,1.0662166609298187,0.05714285714285714,594192029.9120945,,734368248.7183672,0.7499072970590633
