Analyte,Treatment,n_years,year_min,year_max,spearman_rho,p_value,significant_0_05,significance_marker
NH4,CT,15,2011,2025,0.9214285714285713,1.0713172981620745e-06,True,*
NH4,MT,15,2011,2025,0.8714285714285712,2.3236477821632676e-05,True,*
NH4,ST,15,2011,2025,0.8178571428571428,0.0001951365470631984,True,*
NO3,CT,15,2011,2025,0.8607142857142854,3.8055250226647814e-05,True,*
NO3,MT,15,2011,2025,0.9571428571428571,2.2736751556259742e-08,True,*
NO3,ST,15,2011,2025,0.9249999999999998,7.987462113818468e-07,True,*
NO2,CT,15,2011,2025,0.7774802032168221,0.0006458774730976208,True,*
NO2,MT,15,2011,2025,0.5397678652217937,0.037816537591955565,True,*
NO2,ST,15,2011,2025,0.7345847437289974,0.0018141614276498254,True,*
OP,CT,15,2011,2025,0.6035714285714285,0.01720013806879533,True,*
OP,MT,15,2011,2025,0.5785714285714285,0.02384665876299661,True,*
OP,ST,15,2011,2025,0.6928571428571427,0.0041902329602981365,True,*
Se,CT,15,2011,2025,0.6642857142857141,0.006910682984519185,True,*
Se,MT,15,2011,2025,0.6857142857142856,0.004772245222691258,True,*
Se,ST,15,2011,2025,0.657142857142857,0.007770251358668445,True,*
TDS,CT,15,2011,2025,0.9214285714285713,1.0713172981620745e-06,True,*
TDS,MT,15,2011,2025,0.8678571428571429,2.7518063955129248e-05,True,*
TDS,ST,15,2011,2025,0.7964285714285713,0.00038046767853463354,True,*
TKN,CT,15,2011,2025,0.6642857142857141,0.006910682984519185,True,*
TKN,MT,15,2011,2025,0.7,0.0036660678988013817,True,*
TKN,ST,15,2011,2025,0.6642857142857141,0.006910682984519185,True,*
TN,CT,15,2011,2025,0.7249999999999999,0.0022270323137542148,True,*
TN,MT,15,2011,2025,0.7749999999999999,0.0006896453939514363,True,*
TN,ST,15,2011,2025,0.8571428571428571,4.446004447004746e-05,True,*
TP,CT,15,2011,2025,0.6785714285714285,0.005416550219591705,True,*
TP,MT,15,2011,2025,0.7035714285714285,0.0034243370890839537,True,*
TP,ST,15,2011,2025,0.7178571428571427,0.002581165308218854,True,*
TSS,CT,15,2011,2025,0.6321428571428571,0.011457541540078888,True,*
TSS,MT,15,2011,2025,0.46071428571428563,0.08393338135031411,False,
TSS,ST,15,2011,2025,0.5428571428571428,0.036521822554837366,True,*
