response,analyte,method,n_paired_annual_values,rmse_mg_L,mae_mg_L,mean_absolute_observed_mg_L,nrmse_mean,nrmse_mean_percent,performance_scope,provisional_qc_flag
Annual flow-weighted concentration,NH4,Bayes,6,0.03169881719663122,0.024899943574509267,0.09797902371864499,0.3235265671523432,32.35265671523432,Annual central-estimate diagnostic against observed subtotals; not a common sample-level predictive validation design.,True
Annual flow-weighted concentration,NO3,Bayes,35,0.643858959742608,0.4732717908225838,7.1441627520094375,0.09012378106328973,9.012378106328974,Annual central-estimate diagnostic against observed subtotals; not a common sample-level predictive validation design.,True
Annual flow-weighted concentration,NO2,Bayes,9,0.026720663046306933,0.016674488125345693,0.27587043561875496,0.0968594658806938,9.68594658806938,Annual central-estimate diagnostic against observed subtotals; not a common sample-level predictive validation design.,True
Annual flow-weighted concentration,OP,Bayes,32,0.10376012874942975,0.056945772364772405,0.16056725111472864,0.6462097845549525,64.62097845549525,Annual central-estimate diagnostic against observed subtotals; not a common sample-level predictive validation design.,True
Annual flow-weighted concentration,Se,Bayes,5,0.000557528707672963,0.00040099550311772003,0.0067699035041304395,0.08235401100367307,8.235401100367307,Annual central-estimate diagnostic against observed subtotals; not a common sample-level predictive validation design.,True
Annual flow-weighted concentration,TDS,Bayes,9,60.537932879658754,47.306138332522806,942.8056401516365,0.06421040594318264,6.4210405943182645,Annual central-estimate diagnostic against observed subtotals; not a common sample-level predictive validation design.,True
Annual flow-weighted concentration,TKN,Bayes,29,0.9721269655472491,0.716185468432093,2.173685774556827,0.44722515872628704,44.722515872628705,Annual central-estimate diagnostic against observed subtotals; not a common sample-level predictive validation design.,True
Annual flow-weighted concentration,TN,Bayes,15,1.5774651013251588,1.3258959834674817,5.6569281200380575,0.2788554260990939,27.88554260990939,Annual central-estimate diagnostic against observed subtotals; not a common sample-level predictive validation design.,True
Annual flow-weighted concentration,TP,Bayes,35,0.7423767005777907,0.5494492971694712,1.0707798354955833,0.6933047074370806,69.33047074370806,Annual central-estimate diagnostic against observed subtotals; not a common sample-level predictive validation design.,True
Annual flow-weighted concentration,TSS,Bayes,35,764.8402673685923,582.9948467747183,1191.5958077226362,0.6418621670298975,64.18621670298975,Annual central-estimate diagnostic against observed subtotals; not a common sample-level predictive validation design.,True
Annual flow-weighted concentration,NH4,ML,6,0.012347634778221445,0.008622351773562143,0.09797902371864499,0.12602324772778628,12.602324772778628,Annual central-estimate diagnostic against observed subtotals; not a common sample-level predictive validation design.,True
Annual flow-weighted concentration,NO3,ML,35,1.3536242922114643,0.9678395689225947,7.1441627520094375,0.18947276807638944,18.947276807638946,Annual central-estimate diagnostic against observed subtotals; not a common sample-level predictive validation design.,True
Annual flow-weighted concentration,NO2,ML,9,0.04712433952500483,0.03239802662123075,0.27587043561875496,0.1708205499415288,17.082054994152877,Annual central-estimate diagnostic against observed subtotals; not a common sample-level predictive validation design.,True
Annual flow-weighted concentration,OP,ML,32,0.08444443633237575,0.0478227184297358,0.16056725111472864,0.5259131967828138,52.59131967828138,Annual central-estimate diagnostic against observed subtotals; not a common sample-level predictive validation design.,True
Annual flow-weighted concentration,Se,ML,5,0.005588090711166733,0.004252858453493641,0.0067699035041304395,0.8254313680774531,82.54313680774531,Annual central-estimate diagnostic against observed subtotals; not a common sample-level predictive validation design.,True
Annual flow-weighted concentration,TDS,ML,9,75.58304114520178,68.86531828846722,942.8056401516365,0.08016821063251738,8.016821063251738,Annual central-estimate diagnostic against observed subtotals; not a common sample-level predictive validation design.,True
Annual flow-weighted concentration,TKN,ML,29,0.6963308275201472,0.4071271872300249,2.173685774556827,0.32034567078220666,32.03456707822066,Annual central-estimate diagnostic against observed subtotals; not a common sample-level predictive validation design.,True
Annual flow-weighted concentration,TN,ML,15,1.0265978938083733,0.700842700167698,5.6569281200380575,0.1814762132422971,18.147621324229707,Annual central-estimate diagnostic against observed subtotals; not a common sample-level predictive validation design.,True
Annual flow-weighted concentration,TP,ML,35,0.5095368170392642,0.258339632829289,1.0707798354955833,0.4758558203549267,47.58558203549266,Annual central-estimate diagnostic against observed subtotals; not a common sample-level predictive validation design.,True
Annual flow-weighted concentration,TSS,ML,35,385.21569079004485,201.5405377326576,1191.5958077226362,0.32327714506336214,32.327714506336214,Annual central-estimate diagnostic against observed subtotals; not a common sample-level predictive validation design.,True
