Response,Feature,"Importance, mean (SD)"
Concentration model,Analyte identity,49.15 (12.68)
Concentration model,Inflow concentration,17.34 (5.82)
Concentration model,Reporting limit,5.22 (3.07)
Concentration model,Result detection limit,4.99 (3.65)
Concentration model,Method detection limit,4.29 (3.13)
Concentration model,Residue proportion,2.02 (0.63)
Concentration model,Days until harvest,1.27 (0.30)
Concentration model,Year,1.09 (0.61)
Concentration model,Measured runoff volume,1.03 (0.22)
Concentration model,Reporting/detection-limit method,0.99 (0.49)
Volume model,Days until harvest,15.28 (5.04)
Volume model,Cumulative STIR to date,10.52 (3.28)
Volume model,Days since planting,9.60 (5.56)
Volume model,Day of year,5.49 (2.40)
Volume model,Same-event nitrate concentration,5.48 (2.63)
Volume model,Same-event concentration count,4.89 (3.49)
Volume model,Inflow volume,4.00 (2.04)
Volume model,Flume method,3.99 (1.98)
Volume model,Same-event total phosphorus concentration,3.51 (1.72)
Volume model,Volume measurement method,3.22 (1.16)
