response,feature,importance_mean,importance_sd,feature_label,importance_unit,interpretation_warning
Concentration model,Analyte,49.14793207423297,12.67896863169362,Analyte identity,CatBoost importance,"Descriptive, noncausal model-use measure; not a management effect or environmental mechanism."
Concentration model,Inflow_Result_mg_L,17.343236049114964,5.818679535684597,Inflow concentration,CatBoost importance,"Descriptive, noncausal model-use measure; not a management effect or environmental mechanism."
Concentration model,RL_mg_L,5.222123211713107,3.071024290832353,Reporting limit,CatBoost importance,"Descriptive, noncausal model-use measure; not a management effect or environmental mechanism."
Concentration model,Result_lod_mg_L,4.990815179842117,3.652203649422653,Result detection limit,CatBoost importance,"Descriptive, noncausal model-use measure; not a management effect or environmental mechanism."
Concentration model,MDL_mg_L,4.289314394358548,3.1340631760667863,Method detection limit,CatBoost importance,"Descriptive, noncausal model-use measure; not a management effect or environmental mechanism."
Concentration model,residue_prop,2.021870865348782,0.6341692286467263,Residue proportion,CatBoost importance,"Descriptive, noncausal model-use measure; not a management effect or environmental mechanism."
Concentration model,DaysUntilHarvest,1.266578203838131,0.2977463872687289,Days until harvest,CatBoost importance,"Descriptive, noncausal model-use measure; not a management effect or environmental mechanism."
Concentration model,Year,1.0930574772842487,0.6059908562970959,Year,CatBoost importance,"Descriptive, noncausal model-use measure; not a management effect or environmental mechanism."
Concentration model,Volume,1.0271722126063414,0.2170363775939573,Measured runoff volume,CatBoost importance,"Descriptive, noncausal model-use measure; not a management effect or environmental mechanism."
Concentration model,RLMDL_Method,0.9862671500405716,0.4856346475177121,Reporting/detection-limit method,CatBoost importance,"Descriptive, noncausal model-use measure; not a management effect or environmental mechanism."
Concentration model,SeasonYear,0.9118685696192708,0.6713895716188683,SeasonYear,CatBoost importance,"Descriptive, noncausal model-use measure; not a management effect or environmental mechanism."
Concentration model,DaysSincePlant,0.8835805815978737,0.1657895627119558,Days since planting,CatBoost importance,"Descriptive, noncausal model-use measure; not a management effect or environmental mechanism."
Concentration model,Season_STIR_toDate,0.8832715407227709,0.1753443852340836,Season STIR to date,CatBoost importance,"Descriptive, noncausal model-use measure; not a management effect or environmental mechanism."
Concentration model,MeasureMethod,0.8492364147345891,0.1894713117219673,Volume measurement method,CatBoost importance,"Descriptive, noncausal model-use measure; not a management effect or environmental mechanism."
Concentration model,Residue_DryMass_kg_m2,0.8123494037304378,0.2800323234691583,Residue dry mass,CatBoost importance,"Descriptive, noncausal model-use measure; not a management effect or environmental mechanism."
Concentration model,CumAll_STIR_toDate,0.7731169435220842,0.2668112395649192,Cumulative STIR to date,CatBoost importance,"Descriptive, noncausal model-use measure; not a management effect or environmental mechanism."
Concentration model,SampleMethod,0.7397869561602641,0.2320147017560989,SampleMethod,CatBoost importance,"Descriptive, noncausal model-use measure; not a management effect or environmental mechanism."
Concentration model,RLMDL_Assumed,0.6482361924790442,0.4125666546662231,RLMDL Assumed,CatBoost importance,"Descriptive, noncausal model-use measure; not a management effect or environmental mechanism."
Concentration model,Irrigation,0.6369329212229272,0.1713833627197205,Irrigation,CatBoost importance,"Descriptive, noncausal model-use measure; not a management effect or environmental mechanism."
Concentration model,DayOfYear,0.54589355242514,0.1115289000949371,Day of year,CatBoost importance,"Descriptive, noncausal model-use measure; not a management effect or environmental mechanism."
Concentration model,Inflow_Volume,0.5374712208289687,0.1992792955657391,Inflow volume,CatBoost importance,"Descriptive, noncausal model-use measure; not a management effect or environmental mechanism."
Concentration model,previous_crop,0.5169226563856827,0.1707113587307206,previous crop,CatBoost importance,"Descriptive, noncausal model-use measure; not a management effect or environmental mechanism."
Concentration model,RLMDL_Source,0.5005119734423664,0.3918419968862744,RLMDL Source,CatBoost importance,"Descriptive, noncausal model-use measure; not a management effect or environmental mechanism."
Concentration model,IrrMethod,0.4657201144821015,0.3092467676636486,IrrMethod,CatBoost importance,"Descriptive, noncausal model-use measure; not a management effect or environmental mechanism."
Concentration model,Rep,0.463145135224729,0.0993783762536032,Rep,CatBoost importance,"Descriptive, noncausal model-use measure; not a management effect or environmental mechanism."
Concentration model,Crop,0.3938687804784611,0.1549387791629956,Crop,CatBoost importance,"Descriptive, noncausal model-use measure; not a management effect or environmental mechanism."
Concentration model,FF,0.3561728747234586,0.283476879583749,FF,CatBoost importance,"Descriptive, noncausal model-use measure; not a management effect or environmental mechanism."
