Analyte,"Observed CT subtotal, kg (years)","Bayes CT, kg [95% interval]","ML CT, kg [95% interval]","Observed MT subtotal, kg (years)","Bayes MT, kg [95% interval]","ML MT, kg [95% interval]","Observed ST subtotal, kg (years)","Bayes ST, kg [95% interval]","ML ST, kg [95% interval]","Bayes MT vs CT, percent difference [95% interval]","ML MT vs CT, percent difference [95% interval]","Bayes ST vs CT, percent difference [95% interval]","ML ST vs CT, percent difference [95% interval]",QC status
NH4,0.0419 (2),"1.5 [0.728, 2.4]","9.31 [8.28, 10.4]",0.0113 (2),"1.19 [0.534, 1.94]","8.59 [7.49, 9.77]",0.0128 (2),"1.26 [0.611, 2.05]","7.32 [6.5, 8.21]","20.5% [1.8, 39.5]; P(T<CT)=0.98","7.4% [-10.3, 22.8]; P(T<CT)=0.82","15.1% [-3.5, 31.2]; P(T<CT)=0.94","21.1% [7.2, 32.7]; P(T<CT)=1.00",PROVISIONAL: unresolved upstream physical-event aggregation
NO3,37.1 (12),"87.5 [79.7, 95.4]","70.9 [66.4, 75.9]",27.5 (11),"76.9 [71.7, 82.5]","57.2 [52.9, 61.7]",31.9 (12),"78.8 [73.4, 84.2]","50 [47.3, 53.1]","12.0% [5.6, 18.8]; P(T<CT)=1.00","19.2% [10.5, 27.1]; P(T<CT)=1.00","9.8% [2.6, 17.3]; P(T<CT)=1.00","29.4% [22.6, 35.6]; P(T<CT)=1.00",PROVISIONAL: unresolved upstream physical-event aggregation
NO2,1.64 (3),"3.95 [1.64, 8.69]","6.33 [5.7, 6.98]",1.51 (3),"2.99 [1.28, 6.91]","5.12 [4.53, 5.71]",1.97 (3),"3.25 [1.37, 7.49]","4.73 [4.32, 5.17]","23.0% [-7.2, 47.0]; P(T<CT)=0.94","18.8% [5.6, 30.8]; P(T<CT)=0.99","17.1% [-7.1, 39.4]; P(T<CT)=0.92","25.0% [14.9, 34.4]; P(T<CT)=1.00",PROVISIONAL: unresolved upstream physical-event aggregation
OP,1.21 (11),"1.9 [1.47, 2.37]","3.24 [2.87, 3.67]",0.926 (10),"1.81 [1.5, 2.17]","3.36 [2.92, 3.87]",1.37 (11),"1.84 [1.53, 2.2]","2.79 [2.53, 3.08]","3.9% [-15.1, 19.0]; P(T<CT)=0.70","-4.0% [-25.1, 14.6]; P(T<CT)=0.36","2.5% [-14.2, 17.1]; P(T<CT)=0.66","13.6% [-0.9, 26.8]; P(T<CT)=0.96",PROVISIONAL: unresolved upstream physical-event aggregation
Se,0.00135 (2),"0.0905 [0.0743, 0.105]","7.11 [6.33, 7.95]",0.000686 (1),"0.0739 [0.0605, 0.0866]","6.79 [5.89, 7.72]",0.00285 (2),"0.0762 [0.0632, 0.0887]","5.83 [5.16, 6.52]","18.3% [12.3, 24.4]; P(T<CT)=1.00","4.2% [-13.7, 20.3]; P(T<CT)=0.70","15.7% [9.7, 21.9]; P(T<CT)=1.00","17.7% [4.0, 30.4]; P(T<CT)=1.00",PROVISIONAL: unresolved upstream physical-event aggregation
TDS,3.87e+03 (3),"1.24e+04 [1.08e+04, 1.4e+04]","5.41e+03 [4.95e+03, 5.98e+03]",4.41e+03 (3),"1.11e+04 [9.95e+03, 1.23e+04]","6.76e+03 [6.16e+03, 7.41e+03]",4.71e+03 (3),"1.13e+04 [1.01e+04, 1.26e+04]","5.6e+03 [5.27e+03, 5.99e+03]","10.6% [3.4, 17.4]; P(T<CT)=1.00","-25.1% [-42.3, -9.3]; P(T<CT)=0.00","9.1% [2.6, 16.0]; P(T<CT)=1.00","-3.7% [-15.6, 7.8]; P(T<CT)=0.28",PROVISIONAL: unresolved upstream physical-event aggregation
TKN,13.8 (10),"25 [20.3, 29.7]","32.5 [29, 37]",8.74 (9),"17.4 [13.5, 21.6]","24.6 [21.1, 29.4]",9.45 (10),"18.2 [14.6, 22]","22.5 [18.8, 27.3]","30.2% [18.0, 41.4]; P(T<CT)=1.00","24.0% [6.2, 38.2]; P(T<CT)=1.00","27.3% [15.8, 37.3]; P(T<CT)=1.00","30.3% [12.7, 45.5]; P(T<CT)=1.00",PROVISIONAL: unresolved upstream physical-event aggregation
TN,9.13 (5),"92.6 [59.2, 131]","50.6 [47.1, 54.3]",1.99 (5),"74.9 [44.2, 113]","34.8 [31.5, 38.6]",3.2 (5),"76.4 [45.8, 112]","31.6 [29.1, 34.2]","19.3% [10.1, 30.5]; P(T<CT)=1.00","31.1% [22.3, 39.1]; P(T<CT)=1.00","17.6% [9.4, 25.8]; P(T<CT)=1.00","37.5% [30.7, 44.1]; P(T<CT)=1.00",PROVISIONAL: unresolved upstream physical-event aggregation
TP,8.31 (12),"13 [9.74, 17.1]","13.5 [12.5, 14.7]",5.93 (11),"10.8 [8.52, 13.6]","22 [16, 29.8]",11 (12),"10.9 [8.79, 13.3]","17 [14.7, 20.3]","15.8% [-2.6, 33.4]; P(T<CT)=0.92","-62.8% [-121.6, -16.5]; P(T<CT)=0.00","15.4% [-4.7, 32.7]; P(T<CT)=0.94","-25.7% [-51.6, -5.3]; P(T<CT)=0.00",PROVISIONAL: unresolved upstream physical-event aggregation
TSS,1.34e+04 (12),"1.81e+04 [1.41e+04, 2.21e+04]","1.86e+04 [1.77e+04, 1.98e+04]",7.28e+03 (11),"1.33e+04 [1.09e+04, 1.59e+04]","1.89e+04 [1.49e+04, 2.41e+04]",1.35e+04 (12),"1.41e+04 [1.21e+04, 1.63e+04]","1.78e+04 [1.64e+04, 1.97e+04]","26.2% [11.3, 39.8]; P(T<CT)=1.00","-1.4% [-31.0, 20.6]; P(T<CT)=0.49","21.6% [7.8, 33.6]; P(T<CT)=1.00","4.3% [-7.8, 13.9]; P(T<CT)=0.79",PROVISIONAL: unresolved upstream physical-event aggregation
