Analyte,"Observed CT subtotal, kg (years)","Bayes CT, kg [95% interval]","ML CT, kg [95% interval]","Observed MT subtotal, kg (years)","Bayes MT, kg [95% interval]","ML MT, kg [95% interval]","Observed ST subtotal, kg (years)","Bayes ST, kg [95% interval]","ML ST, kg [95% interval]","Bayes MT vs CT, percent difference [95% interval]","ML MT vs CT, percent difference [95% interval]","Bayes ST vs CT, percent difference [95% interval]","ML ST vs CT, percent difference [95% interval]",QC status
NH4,0.0419 (2),"1.47 [0.632, 2.4]","9.31 [8.28, 10.4]",0.0113 (2),"1.15 [0.301, 1.94]","8.59 [7.49, 9.77]",0.0128 (2),"1.23 [0.427, 2.05]","7.32 [6.5, 8.21]","21.9% [0.7, 47.5]; P(T<CT)=0.98","7.4% [-10.3, 22.8]; P(T<CT)=0.82","13.8% [-4.7, 34.3]; P(T<CT)=0.94","21.1% [7.2, 32.7]; P(T<CT)=1.00",PROVISIONAL: unresolved upstream physical-event aggregation
NO3,37.1 (12),"87.5 [79.7, 95.4]","70.9 [66.4, 75.9]",27.5 (11),"76.9 [71.7, 82.5]","57.2 [52.9, 61.7]",31.9 (12),"78.8 [73.4, 84.2]","50 [47.3, 53.1]","12.0% [5.6, 18.8]; P(T<CT)=1.00","19.2% [10.5, 27.1]; P(T<CT)=1.00","9.8% [2.6, 17.3]; P(T<CT)=1.00","29.4% [22.6, 35.6]; P(T<CT)=1.00",PROVISIONAL: unresolved upstream physical-event aggregation
NO2,1.64 (3),"-0.631 [0, 4.77]","6.33 [5.7, 6.98]",1.51 (3),"-1.5 [0, 2.73]","5.12 [4.53, 5.71]",1.97 (3),"-1.04 [0, 3.94]","4.73 [4.32, 5.17]","214.4% [-0.1, 1388.7]; P(T<CT)=0.97","18.8% [5.6, 30.8]; P(T<CT)=0.99","120.9% [-146.0, 882.7]; P(T<CT)=0.91","25.0% [14.9, 34.4]; P(T<CT)=1.00",PROVISIONAL: unresolved upstream physical-event aggregation
OP,1.21 (11),"1.8 [1.27, 2.31]","3.24 [2.87, 3.67]",0.926 (10),"1.73 [1.37, 2.11]","3.36 [2.92, 3.87]",1.37 (11),"1.76 [1.39, 2.15]","2.79 [2.53, 3.08]","2.4% [-21.9, 20.4]; P(T<CT)=0.64","-4.0% [-25.1, 14.6]; P(T<CT)=0.36","1.2% [-18.3, 18.2]; P(T<CT)=0.59","13.6% [-0.9, 26.8]; P(T<CT)=0.96",PROVISIONAL: unresolved upstream physical-event aggregation
Se,0.00135 (2),"0.0905 [0.0743, 0.105]","7.11 [6.33, 7.95]",0.000686 (1),"0.0739 [0.0605, 0.0866]","6.79 [5.89, 7.72]",0.00285 (2),"0.0762 [0.0632, 0.0887]","5.83 [5.16, 6.52]","18.3% [12.3, 24.4]; P(T<CT)=1.00","4.2% [-13.7, 20.3]; P(T<CT)=0.70","15.7% [9.7, 21.9]; P(T<CT)=1.00","17.7% [4.0, 30.4]; P(T<CT)=1.00",PROVISIONAL: unresolved upstream physical-event aggregation
TDS,3.87e+03 (3),"1.24e+04 [1.08e+04, 1.4e+04]","5.41e+03 [4.95e+03, 5.98e+03]",4.41e+03 (3),"1.11e+04 [9.95e+03, 1.23e+04]","6.76e+03 [6.16e+03, 7.41e+03]",4.71e+03 (3),"1.13e+04 [1.01e+04, 1.26e+04]","5.6e+03 [5.27e+03, 5.99e+03]","10.6% [3.4, 17.4]; P(T<CT)=1.00","-25.1% [-42.3, -9.3]; P(T<CT)=0.00","9.1% [2.6, 16.0]; P(T<CT)=1.00","-3.7% [-15.6, 7.8]; P(T<CT)=0.28",PROVISIONAL: unresolved upstream physical-event aggregation
TKN,13.8 (10),"22.7 [17.7, 27.8]","32.5 [29, 37]",8.74 (9),"15.6 [11.8, 19.7]","24.6 [21.1, 29.4]",9.45 (10),"16.6 [13, 20.5]","22.5 [18.8, 27.3]","31.3% [17.6, 43.7]; P(T<CT)=1.00","24.0% [6.2, 38.2]; P(T<CT)=1.00","26.9% [14.1, 38.4]; P(T<CT)=1.00","30.3% [12.7, 45.5]; P(T<CT)=1.00",PROVISIONAL: unresolved upstream physical-event aggregation
TN,9.13 (5),"92.3 [58.5, 131]","50.6 [47.1, 54.3]",1.99 (5),"74.5 [42.4, 111]","34.8 [31.5, 38.6]",3.2 (5),"76 [45, 112]","31.6 [29.1, 34.2]","19.6% [10.1, 31.0]; P(T<CT)=1.00","31.1% [22.3, 39.1]; P(T<CT)=1.00","17.8% [9.4, 26.3]; P(T<CT)=1.00","37.5% [30.7, 44.1]; P(T<CT)=1.00",PROVISIONAL: unresolved upstream physical-event aggregation
TP,8.31 (12),"12.2 [8.14, 16.7]","13.5 [12.5, 14.7]",5.93 (11),"10.1 [7.03, 13.5]","22 [16, 29.8]",11 (12),"10.1 [7.19, 13]","17 [14.7, 20.3]","15.9% [-11.3, 37.6]; P(T<CT)=0.88","-62.8% [-121.6, -16.5]; P(T<CT)=0.00","16.6% [-9.6, 35.4]; P(T<CT)=0.90","-25.7% [-51.6, -5.3]; P(T<CT)=0.00",PROVISIONAL: unresolved upstream physical-event aggregation
TSS,1.34e+04 (12),"1.79e+04 [1.38e+04, 2.21e+04]","1.86e+04 [1.77e+04, 1.98e+04]",7.28e+03 (11),"1.26e+04 [9.48e+03, 1.54e+04]","1.89e+04 [1.49e+04, 2.41e+04]",1.35e+04 (12),"1.35e+04 [1.09e+04, 1.63e+04]","1.78e+04 [1.64e+04, 1.97e+04]","29.4% [15.9, 42.4]; P(T<CT)=1.00","-1.4% [-31.0, 20.6]; P(T<CT)=0.49","24.2% [11.3, 35.3]; P(T<CT)=1.00","4.3% [-7.8, 13.9]; P(T<CT)=0.79",PROVISIONAL: unresolved upstream physical-event aggregation
