method,sensitivity_variant,analyte,reference_treatment,comparison_treatment,n_aligned_draws,n_finite_absolute_difference_draws,n_valid_percent_draws,fraction_valid_percent_draws,n_invalid_missing_or_nonfinite_ct_draws,n_invalid_zero_ct_draws,n_invalid_negative_ct_draws,n_invalid_tiny_positive_ct_draws,ct_tiny_threshold_kg,mean_absolute_difference_kg,median_absolute_difference_kg,lower_95_absolute_difference_kg,upper_95_absolute_difference_kg,mean_percent_difference_relative_to_ct,median_percent_difference_relative_to_ct,lower_95_percent_difference_relative_to_ct,upper_95_percent_difference_relative_to_ct,probability_treatment_load_lower_than_ct,percent_difference_formula,provisional_qc_flag,provisional_qc_reason
Bayes,annual_draw_truncation,NH4,CT,MT,400,400,400,1.0,0,0,0,0,1e-12,0.30712701894401123,0.2974532103824092,0.014422454213147671,0.6443237026762628,20.520593318802913,20.25324553253392,1.7880149556218932,39.4708334408913,0.9825,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
Bayes,annual_draw_truncation,NH4,CT,ST,400,400,400,1.0,0,0,0,0,1e-12,0.23072129889086362,0.2274081546064861,-0.04436615648897765,0.5507295364376043,15.079562708647327,15.014968928801384,-3.5196716966705894,31.224266469783686,0.945,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
Bayes,raw_draws_bound_floor,NH4,CT,MT,400,400,400,1.0,0,0,0,0,1e-12,0.3124884638307032,0.30389752019532434,0.00882330128700966,0.6620614890524208,21.898461550374076,21.038251670652244,0.7297232625552207,47.459020481905235,0.9775,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
Bayes,raw_draws_bound_floor,NH4,CT,ST,400,400,400,1.0,0,0,0,0,1e-12,0.23205359927204883,0.22869445626815849,-0.05864872376334666,0.5506806150678496,13.81658994430496,15.435822797162714,-4.659065391931368,34.2962723848602,0.9425,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
ML,saved_imputed_row_draws,NH4,CT,MT,2000,2000,2000,1.0,0,0,0,0,1e-12,0.7187953335908347,0.7238816101829171,-0.8746515679141311,2.271776076302448,7.402297670121299,7.920715237059423,-10.259316089008522,22.768873122862583,0.8235,100 * (CT - T) / CT,True,Saved imputed rows contain repeated analyte-event rows; see postprocessing_validation_report.md.
ML,saved_imputed_row_draws,NH4,CT,ST,2000,2000,2000,1.0,0,0,0,0,1e-12,1.9899598701139747,2.0033649873177723,0.6313566610293998,3.2718419496301268,21.10915649699213,21.515412508524793,7.1657411768640635,32.705637531991485,0.997,100 * (CT - T) / CT,True,Saved imputed rows contain repeated analyte-event rows; see postprocessing_validation_report.md.
Bayes,annual_draw_truncation,NO2,CT,MT,400,400,400,1.0,0,0,0,0,1e-12,0.9619225850157624,0.8315675638930923,-0.15982505618341283,2.7007623590749215,22.961368642329614,24.087349511380665,-7.197279806041428,47.00758236904684,0.945,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
Bayes,annual_draw_truncation,NO2,CT,ST,400,400,400,1.0,0,0,0,0,1e-12,0.7085600882703664,0.5911145020438178,-0.2006613431140278,2.119390657473834,17.08977630826119,17.125851047140312,-7.120088137840585,39.42992666136349,0.92,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
Bayes,raw_draws_bound_floor,NO2,CT,MT,400,400,157,0.3925,0,0,243,0,1e-12,0.8727207599391995,0.9010680284492045,-1.2718191077784413,3.2138446322695438,214.35351412692768,99.80172159218014,-0.1226284747157873,1388.675353079866,0.9745222929936306,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
Bayes,raw_draws_bound_floor,NO2,CT,ST,400,400,157,0.3925,0,0,243,0,1e-12,0.4134225741926197,0.41111489549679464,-1.5516667424429897,2.4154275864899755,120.88688530134425,61.40252641665107,-145.96660602104012,882.7206503468486,0.910828025477707,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
ML,saved_imputed_row_draws,NO2,CT,MT,2000,2000,2000,1.0,0,0,0,0,1e-12,1.205099315985152,1.203318571200207,0.3216708546216923,2.066205169728042,18.83444677035347,19.066811252734468,5.590426639004585,30.797667078801606,0.9945,100 * (CT - T) / CT,True,Saved imputed rows contain repeated analyte-event rows; see postprocessing_validation_report.md.
ML,saved_imputed_row_draws,NO2,CT,ST,2000,2000,2000,1.0,0,0,0,0,1e-12,1.5944754371941772,1.58609318782239,0.8723808435582171,2.3779663406839355,25.018658210505677,25.19481010871737,14.89641416809641,34.43581800423235,1.0,100 * (CT - T) / CT,True,Saved imputed rows contain repeated analyte-event rows; see postprocessing_validation_report.md.
Bayes,annual_draw_truncation,NO3,CT,MT,400,400,400,1.0,0,0,0,0,1e-12,10.642587310257131,10.65498395593778,4.46766193451559,17.292448015139346,12.038760120274521,12.153775100138294,5.637284992895528,18.813224829152187,1.0,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
Bayes,annual_draw_truncation,NO3,CT,ST,400,400,400,1.0,0,0,0,0,1e-12,8.70242351444518,8.639369370750451,2.097527014328403,15.984359017688247,9.814732320226305,9.90825858769131,2.6031278964803155,17.286100911727086,0.9975,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
Bayes,raw_draws_bound_floor,NO3,CT,MT,400,400,400,1.0,0,0,0,0,1e-12,10.642587310257131,10.65498395593778,4.46766193451559,17.292448015139346,12.038760120274521,12.153775100138294,5.637284992895528,18.813224829152187,1.0,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
Bayes,raw_draws_bound_floor,NO3,CT,ST,400,400,400,1.0,0,0,0,0,1e-12,8.70242351444518,8.639369370750451,2.097527014328403,15.984359017688247,9.814732320226305,9.90825858769131,2.6031278964803155,17.286100911727086,0.9975,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
ML,saved_imputed_row_draws,NO3,CT,MT,2000,2000,2000,1.0,0,0,0,0,1e-12,13.65427301311617,13.665608507554595,7.1397880379573815,20.209452069248506,19.16529658177047,19.32459012185882,10.546437720890266,27.13423714961933,1.0,100 * (CT - T) / CT,True,Saved imputed rows contain repeated analyte-event rows; see postprocessing_validation_report.md.
ML,saved_imputed_row_draws,NO3,CT,ST,2000,2000,2000,1.0,0,0,0,0,1e-12,20.871688439668237,20.83704649310398,15.393882496150976,26.680769976265367,29.360361909191962,29.44002414701486,22.612811674089368,35.59766198225269,1.0,100 * (CT - T) / CT,True,Saved imputed rows contain repeated analyte-event rows; see postprocessing_validation_report.md.
Bayes,annual_draw_truncation,OP,CT,MT,400,400,400,1.0,0,0,0,0,1e-12,0.0877236249020584,0.09391670960235998,-0.24273600788256774,0.41254568800884506,3.853226881104679,5.189844203624797,-15.113337021677303,18.980339311632598,0.6975,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
Bayes,annual_draw_truncation,OP,CT,ST,400,400,400,1.0,0,0,0,0,1e-12,0.05949164080870862,0.06156644854347382,-0.20374172609479105,0.3587583205692982,2.485931019329637,3.0430442790989627,-14.193623965757068,17.12091230850755,0.66,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
Bayes,raw_draws_bound_floor,OP,CT,MT,400,400,400,1.0,0,0,0,0,1e-12,0.0648313015108638,0.0726306476387838,-0.2957639153511951,0.41438966925749265,2.4081976626864154,4.0185645440080195,-21.907207509917658,20.358367001559404,0.6375,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
