event_vol_id,Date,Year,Irrigation,Rep,Treatment,SampleID,MeasureMethod,E_rep_row,VOL_event,VIN_E,n_vin_event_ids,row_count
581,2022-08-11,2022,5,2,CT,NA,Etape,2153,NA,398,1,30
588,2022-08-18,2022,6,1,CT,NA,Etape,2183,NA,401,1,30
589,2022-08-18,2022,6,1,MT,NA,Etape,5650,NA,402,1,30
590,2022-08-18,2022,6,1,ST,NA,Etape,9335,NA,403,1,30
591,2022-08-19,2022,6,2,CT,NA,Etape,2213,NA,404,1,30
592,2022-08-19,2022,6,2,MT,NA,Etape,5680,NA,405,1,30
593,2022-08-19,2022,6,2,ST,NA,Etape,9365,NA,406,1,30
612,2022-09-06,2022,8,1,CT,NA,Etape,2303,NA,416,1,30
613,2022-09-06,2022,8,1,MT,NA,Etape,5770,NA,417,1,30
614,2022-09-06,2022,8,1,ST,NA,Etape,9455,NA,418,1,30
139,2014-07-01,2014,1,1,CT,CT1-01-OT,Bubbler,434,0.5243920060998523,139,1,20
144,2014-07-01,2014,1,1,ST,ST1-01-OT,Bubbler,7606,-0.0469815005618238,141,1,20
147,2014-07-02,2014,1,2,CT,CT2-01-OT,Bubbler,474,1.549066696668022,142,1,20
152,2014-07-02,2014,1,2,ST,ST2-01-OT,Bubbler,7646,-1.1383940749369523,144,1,20
161,2014-08-04,2014,3,1,CT,CT1-03-OT,Bubbler,534,-0.4489820843708392,151,1,20
165,2014-08-04,2014,3,1,ST,ST1-03-OT,Bubbler,7706,0.08844203130092616,153,1,20
168,2014-08-05,2014,3,2,CT,CT2-03-OT,Bubbler,574,0.1101300275198645,154,1,20
172,2014-08-05,2014,3,2,ST,ST2-03-OT,Bubbler,7746,-1.279282355602544,156,1,20
175,2014-08-17,2014,4,1,CT,CT1-04-OT,Transducer,613,-0.7465889112648102,157,1,20
178,2014-08-17,2014,4,1,ST,ST1-04-OT,Transducer,7785,-0.6966378045350078,159,1,20
