Year_Test,Target,n_test,MAE,RMSE,R2,q_conformal
2011,logC,126,0.37768840781667046,0.49618528529601574,0.9667361551831227,0.7540361178121646
2012,logC,174,0.41654413485502334,0.5873880161269239,0.9494594709828299,0.8185698627923028
2013,logC,90,0.4220617310454173,0.6055181569386058,0.9314596176975412,0.7567096853576147
2014,logC,222,0.4894257752639026,0.7842558124357053,0.8760392751757137,0.8247421329264067
2015,logC,397,0.34085820929045674,0.7287141279913629,0.8646495822074283,0.7645480917326882
2016,logC,216,0.5292783195874343,0.700680795008759,0.8618797146220936,0.7636020817794382
2017,logC,324,0.4404763053084496,0.643427651452624,0.9430573854929447,0.8331606643383171
2018,logC,0,,,,0.6819475522066358
2019,logC,0,,,,0.7741874258298006
2020,logC,246,0.2473354228803105,0.44210408455227135,0.9435415538706419,0.69366913406317
2021,logC,539,0.2605071601308023,0.4367053819450246,0.9618601404553492,0.7329086937229831
2022,logC,577,0.4778966975151228,0.6899631669907808,0.8705332896707325,0.7681994588437489
2023,logC,928,0.589376998374333,0.8557303263074295,0.9122921103671555,0.6961484075966184
2024,logC,646,0.6283963737590583,0.8193602896855082,0.9216878746680638,0.7642349629870019
2025,logC,1003,0.7552054617281797,1.0130946322861387,0.8791225265701706,0.8396658222509985
2011,logV,378,0.463579840673229,0.5768765634123469,0.21303914335924712,0.02748293635590964
2012,logV,546,0.5008600603024328,0.6478104859843548,0.10146697224991907,0.019547345124635296
2013,logV,448,0.5966502552062164,0.7099642751270447,0.09012539262328667,0.020302383431085147
2014,logV,686,0.7905258314415672,0.9567339011276706,-0.2714753005087176,0.019626210562313062
2015,logV,924,0.6495043101876344,0.9528738222228876,-0.33825448337810315,0.021830742604859725
2016,logV,336,0.6442112920440118,0.813792975531089,0.3731811260873764,0.02577315264410236
2017,logV,1148,0.7286901509188833,0.9301060906461279,0.37583231602621137,0.018192450983312014
2018,logV,0,,,,0.022114981601841777
2019,logV,0,,,,0.018433595836961567
2020,logV,196,0.9113532958448847,1.1020205098758216,-0.0322571475387492,0.02052775997031552
2021,logV,490,1.2726501471707885,1.596382551269167,-1.448556294447826,0.036112647749148685
2022,logV,0,,,,0.017264423800455123
2023,logV,1806,0.7259369592739742,0.8262020155754052,-2.402372874459544,0.02063642802450083
2024,logV,756,0.6656302293390178,0.7498828952823805,-1.0826516842163252,0.01873809829154779
2025,logV,2016,0.7827829938383025,0.9569665966718036,-1.2317820682363179,0.02247936636267944
