EventVolumeID,Date,Year,Irrigation,Rep,Treatment,SampleID,MeasureMethod,_event_n_analyte_rows,_event_n_volume_nonmissing,_event_n_unique_volume,Volume,NoRunoff,CumAll_STIR_toDate,Season_STIR_toDate,residue_prop,Residue_PercentCover,Residue_DryMass_kg_m2,Inflow_Volume,DayOfYear,DaysSincePlant,DaysUntilHarvest,Crop,previous_crop,SeasonYear,FlumeMethod,IrrMethod,IrrigationInfrastructure,event_mean_logC_all,event_max_logC_all,event_n_conc_obs,event_logC_ICP,event_logC_NH4,event_logC_NO2,event_logC_NO3,event_logC_NOx,event_logC_NPOC,event_logC_OP,event_logC_Se,event_logC_TDS,event_logC_TKN,event_logC_TN,event_logC_TP,event_logC_TSP,event_logC_TSS,y_logV
Date=2011-06-30T00:00:00|Year=2011|Irrigation=1.0|Rep=1|Treatment=CT|SampleID=CT1-01-OT|MeasureMethod=Transducer,2011-06-30,2011,1.0,1,CT,CT1-01-OT,Transducer,14,14,1,11576.43,False,204.1975,204.1975,,,0.03242,55761.14,181.0,57.0,138.0,grain corn,grain corn,2011,Weir,Siphon,Siphon,2.2214096002728065,7.391538531636244,6.0,0.11064652008706366,,,2.25831967669603,,,0.06203539091945264,,,,2.617614786964064,0.8883026953339863,,7.391538531636244,9.356812792126307
Date=2011-07-01T00:00:00|Year=2011|Irrigation=1.0|Rep=2|Treatment=CT|SampleID=CT2-01-0T|MeasureMethod=Transducer,2011-07-01,2011,1.0,2,CT,CT2-01-0T,Transducer,14,14,1,7426.17,False,204.1975,204.1975,,,0.0418833333333333,52493.88,182.0,58.0,137.0,grain corn,grain corn,2011,Weir,Siphon,Siphon,2.2047478261750086,7.0476215637395265,6.0,0.08892620919440151,,,2.0794415416798357,,,0.07696104113612832,,,,2.468353736446932,1.467182864853229,,7.0476215637395265,8.912900176864722
Date=2011-07-18T00:00:00|Year=2011|Irrigation=2.0|Rep=1|Treatment=CT|SampleID=CT1-02-OT|MeasureMethod=Transducer,2011-07-18,2011,2.0,1,CT,CT1-02-OT,Transducer,14,14,1,28720.58,False,204.1975,204.1975,,,0.03242,105994.38,199.0,75.0,120.0,grain corn,grain corn,2011,Weir,Siphon,Siphon,2.1777660267425554,7.017864501662167,6.0,0.3228078744271551,,,2.2035379393928114,,,0.3045391895182038,,,,1.8860084801311625,1.3318381753238318,,7.017864501662167,10.265404035576527
Date=2011-07-19T00:00:00|Year=2011|Irrigation=2.0|Rep=2|Treatment=CT|SampleID=CT2-02-OT|MeasureMethod=Transducer,2011-07-19,2011,2.0,2,CT,CT2-02-OT,Transducer,14,14,1,13281.57,False,204.1975,204.1975,,,0.0418833333333333,129724.88,200.0,76.0,119.0,grain corn,grain corn,2011,Weir,Siphon,Siphon,2.0605362119062605,7.304731121694316,6.0,0.14323416808590783,,,2.1057182647580555,,,0.11955923505763925,,,,1.410986973710262,1.2789875081313817,,7.304731121694316,9.494207928403439
Date=2011-07-28T00:00:00|Year=2011|Irrigation=3.0|Rep=1|Treatment=CT|SampleID=<MISSING>|MeasureMethod=Transducer,2011-07-28,2011,3.0,1,CT,,Transducer,14,14,1,14140.76,False,204.1975,204.1975,,,0.03242,101295.36,209.0,85.0,110.0,grain corn,grain corn,2011,Weir,Siphon,Siphon,6.8361948283689165,6.8361948283689165,1.0,,,,,,,,,,,,,,6.8361948283689165,9.556887401294683
Date=2011-07-29T00:00:00|Year=2011|Irrigation=3.0|Rep=2|Treatment=CT|SampleID=<MISSING>|MeasureMethod=Transducer,2011-07-29,2011,3.0,2,CT,,Transducer,14,14,1,30783.41,False,204.1975,204.1975,,,0.0418833333333333,101612.04,210.0,86.0,109.0,grain corn,grain corn,2011,Weir,Siphon,Siphon,7.0055469228607805,7.0055469228607805,1.0,,,,,,,,,,,,,,7.0055469228607805,10.33476367198381
Date=2011-08-09T00:00:00|Year=2011|Irrigation=4.0|Rep=1|Treatment=CT|SampleID=CT1-04-OT|MeasureMethod=Transducer,2011-08-09,2011,4.0,1,CT,CT1-04-OT,Transducer,14,14,1,17607.82,False,204.1975,204.1975,,,0.03242,118514.59,221.0,97.0,98.0,grain corn,grain corn,2011,Weir,Siphon,Siphon,1.9284090252693649,7.209665647444549,6.0,0.07788653865707124,,,2.2086040295231517,,,0.07325046173959267,,,,0.6097655716208943,1.3912819026309295,,7.209665647444549,9.776155191862987
Date=2011-08-10T00:00:00|Year=2011|Irrigation=4.0|Rep=2|Treatment=CT|SampleID=CT2-04-OT|MeasureMethod=Ruler,2011-08-10,2011,4.0,2,CT,CT2-04-OT,Ruler,14,14,1,4102.0,False,204.1975,204.1975,,,0.0418833333333333,115634.34,222.0,98.0,97.0,grain corn,grain corn,2011,Weir,Siphon,Siphon,1.925211471811097,6.9228803167272055,6.0,0.07603468627599762,,,2.2107986973633373,,,0.06765864847381481,,,,1.2325602611778486,1.0413362208483796,,6.9228803167272055,8.319473692442186
Date=2011-08-18T00:00:00|Year=2011|Irrigation=5.0|Rep=1|Treatment=CT|SampleID=<MISSING>|MeasureMethod=Transducer,2011-08-18,2011,5.0,1,CT,,Transducer,14,0,0,,False,204.1975,204.1975,,,0.03242,117423.21,230.0,106.0,89.0,grain corn,grain corn,2011,Weir,Siphon,Siphon,7.327149590401331,7.327149590401331,1.0,,,,,,,,,,,,,,7.327149590401331,
Date=2011-08-19T00:00:00|Year=2011|Irrigation=5.0|Rep=2|Treatment=CT|SampleID=<MISSING>|MeasureMethod=Transducer,2011-08-19,2011,5.0,2,CT,,Transducer,14,14,1,23467.0,False,204.1975,204.1975,,,0.0418833333333333,116630.57,231.0,107.0,88.0,grain corn,grain corn,2011,Weir,Siphon,Siphon,7.234292613202592,7.234292613202592,1.0,,,,,,,,,,,,,,7.234292613202592,10.06339307004575
Date=2011-08-28T00:00:00|Year=2011|Irrigation=6.0|Rep=1|Treatment=CT|SampleID=<MISSING>|MeasureMethod=Transducer,2011-08-28,2011,6.0,1,CT,,Transducer,14,0,0,,False,204.1975,204.1975,,,0.03242,109255.42,240.0,116.0,79.0,grain corn,grain corn,2011,Weir,Siphon,Siphon,6.906133965363237,6.906133965363237,1.0,,,,,,,,,,,,,,6.906133965363237,
Date=2011-08-29T00:00:00|Year=2011|Irrigation=6.0|Rep=2|Treatment=CT|SampleID=<MISSING>|MeasureMethod=Transducer,2011-08-29,2011,6.0,2,CT,,Transducer,14,14,1,16597.23,False,204.1975,204.1975,,,0.0418833333333333,102616.02,241.0,117.0,78.0,grain corn,grain corn,2011,Weir,Siphon,Siphon,7.104604135056629,7.104604135056629,1.0,,,,,,,,,,,,,,7.104604135056629,9.717051342153601
Date=2012-05-15T00:00:00|Year=2012|Irrigation=1.0|Rep=1|Treatment=CT|SampleID=CT1-01-OT|MeasureMethod=Transducer,2012-05-15,2012,1.0,1,CT,CT1-01-OT,Transducer,5,5,1,0.0,True,465.74125,185.33125,,,0.0355209043333333,478986.27,136.0,12.0,170.0,grain corn,grain corn,2012,7 V,Siphon,Siphon,2.1912437140008634,7.104604135056629,5.0,0.08250122151174369,,,2.3774142336146946,,,,,,,1.3064391358704261,0.08525984395082342,,7.104604135056629,0.0
