Target,feature,included,reason,missing_fraction,n_unique_nonmissing
logC,Year,True,selected,0.0,15
logC,Irrigation,True,selected,0.016399843811011325,10
logC,Rep,True,selected,0.0,2
logC,Treatment,True,selected,0.0,3
logC,Analyte,True,selected,0.0,14
logC,Volume,True,selected,0.3643758948327476,358
logC,Inflow_Result_mg_L,True,selected,0.6501366653650917,158
logC,Inflow_Volume,True,selected,0.3999088897566055,107
logC,Flag,True,selected,0.8660679422100742,6
logC,Inflow_Flag,True,selected,0.8032018742678642,2
logC,FlumeMethod,True,selected,0.0,5
logC,MeasureMethod,True,selected,0.002733307301835221,5
logC,IrrMethod,True,selected,0.0,2
logC,TSSMethod,True,selected,0.1585969022517246,2
logC,Lab,True,selected,0.14395418456332162,21
logC,SeasonYear,True,selected,0.0,13
logC,Crop,True,selected,0.0,5
logC,previous_crop,True,selected,0.0,5
logC,CumAll_STIR_toDate,True,selected,0.0,55
logC,Season_STIR_toDate,True,selected,0.0,55
logC,DaysSincePlant,True,selected,0.0,87
logC,DaysUntilHarvest,True,selected,0.0,94
logC,DayOfYear,True,selected,0.0,88
logC,SampleMethod,True,selected,0.0,6
logC,FF,True,selected,0.1744110373551998,2
logC,Composite,True,selected,0.1728491474684368,3
logC,Duplicate,True,selected,0.0,2
logC,RLMDL_Method,True,selected,0.5090459455941689,15
logC,RLMDL_Source,True,selected,0.0,3
logC,RLMDL_Assumed,True,selected,0.0,2
logC,MDL_mg_L,True,selected,0.553559807366914,12
logC,RL_mg_L,True,selected,0.5090459455941689,10
logC,Result_lod_mg_L,True,selected,0.5090459455941689,10
logC,residue_prop,True,selected,0.26389431211766234,44
logC,Residue_DryMass_kg_m2,True,selected,0.28712742418326176,54
logC,Result_is_nd,False,target_or_target_derived_leakage,0.0,2
logC,Result_mg_L,False,target_or_target_derived_leakage,0.640700247299232,2041
logC,Result_mg_L_cens,False,target_or_target_derived_leakage,0.6950409996095275,2041
logC,cout_z,False,target_or_target_derived_leakage,0.640700247299232,2595
logC,y_logC,False,target_or_target_derived_leakage,0.640700247299232,2041
logV,Year,True,selected,0.0,15
logV,Irrigation,True,selected,0.01768172888015717,10
logV,Rep,True,selected,0.0,2
logV,Treatment,True,selected,0.0,3
logV,Crop,True,selected,0.0,5
logV,SeasonYear,True,selected,0.0,13
logV,previous_crop,True,selected,0.0,5
logV,CumAll_STIR_toDate,True,selected,0.0,55
logV,Season_STIR_toDate,True,selected,0.0,55
logV,Inflow_Volume,True,selected,0.4037328094302554,107
logV,MeasureMethod,True,selected,0.0029469548133595285,5
logV,FlumeMethod,True,selected,0.0,4
logV,IrrMethod,True,selected,0.0,2
logV,DayOfYear,True,selected,0.0,88
logV,DaysSincePlant,True,selected,0.0,87
logV,DaysUntilHarvest,True,selected,0.0,94
logV,residue_prop,True,selected,0.28388998035363455,44
logV,Residue_DryMass_kg_m2,True,selected,0.29960707269155207,54
logV,event_mean_logC_all,True,selected,0.15029469548133595,860
logV,event_max_logC_all,True,selected,0.15029469548133595,605
logV,event_n_conc_obs,True,selected,0.15029469548133595,11
logV,event_logC_ICP,True,selected,0.93713163064833,58
logV,event_logC_NH4,True,selected,0.9587426326129665,34
logV,event_logC_NO2,True,selected,0.568762278978389,113
logV,event_logC_NO3,True,selected,0.23280943025540274,379
logV,event_logC_NOx,True,selected,0.9970530451866405,3
logV,event_logC_NPOC,True,selected,0.9882121807465619,12
logV,event_logC_OP,True,selected,0.25245579567779963,298
logV,event_logC_Se,True,selected,0.7888015717092338,51
logV,event_logC_TDS,True,selected,0.6394891944990176,155
logV,event_logC_TKN,True,selected,0.2868369351669941,194
logV,event_logC_TN,True,selected,0.8791748526522594,121
logV,event_logC_TP,True,selected,0.2200392927308448,455
logV,event_logC_TSP,True,selected,0.949901768172888,44
logV,event_logC_TSS,True,selected,0.1738703339882122,597
logV,Volume,False,target_or_target_derived_leakage,0.36738703339882123,358
logV,y_logV,False,target_or_target_derived_leakage,0.36738703339882123,358
