feature,importance_mean,importance_sd
Analyte,66.83619629805564,7.701845875839835
Inflow_Result_mg_L,15.780344083007224,8.977593882990908
CumAll_STIR_toDate,1.9805481516818861,0.486608749713812
MeasureMethod,1.5233104360339562,0.23518916354914554
SeasonYear,1.4287476362515377,0.5144631289885425
DaysUntilHarvest,1.399407171642738,0.2563143494832135
Season_STIR_toDate,1.340273800661136,0.21424314763864988
IrrMethod,1.3314717204908608,0.5501076859986
Year,1.2780705313306495,0.5660602845000876
DaysSincePlant,1.2471221430409287,0.3186538740375105
Irrigation,0.8856706709951001,0.2613451129764225
Crop,0.8705988238030227,0.3823644522341605
Lab,0.7717259095241332,0.17306771742721333
Rep,0.7033445816314469,0.11361862163059143
FlumeMethod,0.6911216373056125,0.24591586683394182
Inflow_Flag,0.6031926135202911,0.26529408104914676
Treatment,0.5493289705186932,0.17058049040237863
TSSMethod,0.5255524945714423,0.22087531948932057
Flag,0.25397232593367336,0.09293362730694037
