feature,importance_mean,importance_sd
CumAll_STIR_toDate,21.151011298142308,2.6673851571788387
MeasureMethod,9.8708534638212,1.666129687134307
Rep,9.80051453476301,0.7608613640877876
Treatment,7.880725742238637,1.0631342058525732
DaysSincePlant,6.431893699464509,1.24562030899109
Irrigation,6.113406034304457,1.2216684148488486
DayOfYear,5.608287421567369,0.8967964241353481
DaysUntilHarvest,5.50968606193406,0.7894982477442885
Lab,4.874862224443174,2.046582745065
Inflow_Volume,4.430975488050719,0.8253175543390242
FlumeMethod,4.39389955499052,1.2523933167978336
Season_STIR_toDate,3.716637928487066,0.992189385050925
SeasonYear,2.6016538700522718,1.672034799662577
Year,2.441211006612535,1.1450308652181034
Flag,1.3010070825503839,0.4916161101590632
Inflow_Flag,1.2421546365395102,0.5375891650315443
IrrMethod,0.9775587882218271,0.7161670149923468
Crop,0.8607374033111987,0.39564830693397757
TSSMethod,0.7616401575505792,0.5814659950204986
Analyte,0.02800172571794285,0.012098463970095043
Inflow_Result_mg_L,0.003281877236723678,0.004122490902688918
