_wq_idx,Date,Year,Irrigation,Rep,Treatment,InflowOutflow,SampleID,FF,Composite,Duplicate,Flag,NoRunoff,Volume,SampleMethod,MeasureMethod,IrrMethod,FlumeMethod,TSSMethod,Lab,Notes,Analyte,Result_mg_L,Inflow_Result_mg_L,Inflow_Flag,Inflow_Volume,Has_Inflow,MDL_Provided,RL_Provided,RLMDL_Provided_Units,RLMDL_Method,MDL_mg_L,RL_mg_L,RLMDL_Source,RLMDL_Assumed,PlantDate,HarvestDate,SeasonYear,Crop,previous_crop,CumAll_STIR_toDate,Season_STIR_toDate,Residue_PercentCover,Residue_DryMass_kg_m2,Residue_n,Result_is_nd,Result_mg_L_cens,Result_lod_mg_L,Inflow_is_nd,Inflow_Result_mg_L_cens,Inflow_lod_mg_L,analyte_abbr,cout_z,cin_z,stir_season_z,stir_cumall_z,volume_z,IRR_z,inflow_volume_z,residue_prop,residue_obs,DayOfYear,DaysSincePlant,DaysUntilHarvest,IrrigationInfrastructure,EventVolumeID,y_logC,y_logV,Result_mg_L_model_pred,Result_mg_L_model_pi_low,Result_mg_L_model_pi_high,Volume_model_pred,Volume_model_pi_low,Volume_model_pi_high,Result_mg_L_pred,Result_mg_L_pi_low,Result_mg_L_pi_high,q_conformal_logC,Volume_pred,Volume_pi_low,Volume_pi_high,q_conformal_logV,Result_mg_L_filled,Volume_filled
0,2011-06-30,2011,1.0,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",OrthoP,0.064,0.01,,55761.14,True,0.34,0.75,MG/L,EPA300.0 [300OPHOS]_W,0.34,0.75,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.03242,0,0,0.064,0.75,0,0.01,0.75,OP,-0.3723332997387324,-0.2704658744587053,2.62718420703775,-1.1837220442008272,-0.954727170345288,-1.3151477727398646,-1.4059628623185925,,1,181,57,138,Siphon,Date=2011-06-30T00:00:00|Year=2011|Irrigation=1.0|Rep=1|Treatment=CT|SampleID=CT1-01-OT|MeasureMethod=Transducer,0.06203539091945264,9.356812792126307,0.1714951171006913,0.0,1.3549837322306928,12859.383879071109,3198.4676653109236,51691.80981028435,,,,,,,,,0.064,11576.43
1111,2011-06-30,2011,1.0,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TotalP,1.431,0.077,,55761.14,True,0.033,0.05,MG/L,EPA365.2 [365.2TPHOS]_W,0.033,0.05,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.03242,0,0,1.431,0.05,0,0.077,0.05,TP,0.1033295072466362,0.5754085287933446,2.62718420703775,-1.1837220442008272,-0.954727170345288,-1.3151477727398646,-1.4059628623185925,,1,181,57,138,Siphon,Date=2011-06-30T00:00:00|Year=2011|Irrigation=1.0|Rep=1|Treatment=CT|SampleID=CT1-01-OT|MeasureMethod=Transducer,0.8883026953339863,9.356812792126307,2.2017250757399642,0.5927096400684533,5.436228677677558,12859.383879071109,3198.4676653109236,51691.80981028435,,,,,,,,,1.431,11576.43
2222,2011-06-30,2011,1.0,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",ICP,0.117,0.033,,55761.14,True,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.03242,0,0,0.117,,0,0.033,,ICP,-0.3240401738550796,2.191986497404764,2.62718420703775,-1.1837220442008272,-0.954727170345288,-1.3151477727398646,-1.4059628623185925,,1,181,57,138,Siphon,Date=2011-06-30T00:00:00|Year=2011|Irrigation=1.0|Rep=1|Treatment=CT|SampleID=CT1-01-OT|MeasureMethod=Transducer,0.11064652008706366,9.356812792126307,0.29678391144263383,0.0,1.6068439988242846,12859.383879071109,3198.4676653109236,51691.80981028435,,,,,,,,,0.117,11576.43
3333,2011-06-30,2011,1.0,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TKN,,,,55761.14,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.03242,0,0,,,0,,,TKN,,,2.62718420703775,-1.1837220442008272,-0.954727170345288,-1.3151477727398646,-1.4059628623185925,,1,181,57,138,Siphon,Date=2011-06-30T00:00:00|Year=2011|Irrigation=1.0|Rep=1|Treatment=CT|SampleID=CT1-01-OT|MeasureMethod=Transducer,,9.356812792126307,6.804973252632001,2.8826119813146116,14.689852029374023,12859.383879071109,3198.4676653109236,51691.80981028435,6.804973252632001,2.8826119813146116,14.689852029374023,0.6982530088043551,,,,,6.804973252632001,11576.43
4444,2011-06-30,2011,1.0,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",Nitrate,8.567,6.4,,55761.14,True,0.19,0.2,MG/L,EPA300.0 [300Nitrate]_W,0.19,0.2,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.03242,0,0,8.567,0.2,0,6.4,0.2,NO3,0.6314727908766592,0.1077516680296207,2.62718420703775,-1.1837220442008272,-0.954727170345288,-1.3151477727398646,-1.4059628623185925,,1,181,57,138,Siphon,Date=2011-06-30T00:00:00|Year=2011|Irrigation=1.0|Rep=1|Treatment=CT|SampleID=CT1-01-OT|MeasureMethod=Transducer,2.25831967669603,9.356812792126307,8.072994655384244,3.513393783062491,17.23887654685753,12859.383879071109,3198.4676653109236,51691.80981028435,,,,,,,,,8.567,11576.43
5555,2011-06-30,2011,1.0,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",Nitrite,,,,55761.14,False,0.11,0.15,MG/L,EPA300.0 [300Nitrite]_W,0.11,0.15,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.03242,0,0,,0.15,0,,0.15,NO2,,,2.62718420703775,-1.1837220442008272,-0.954727170345288,-1.3151477727398646,-1.4059628623185925,,1,181,57,138,Siphon,Date=2011-06-30T00:00:00|Year=2011|Irrigation=1.0|Rep=1|Treatment=CT|SampleID=CT1-01-OT|MeasureMethod=Transducer,,9.356812792126307,0.6006238441936584,0.0,2.217634507795078,12859.383879071109,3198.4676653109236,51691.80981028435,0.6006238441936584,0.0,2.217634507795078,0.6982530088043551,,,,,0.6006238441936584,11576.43
6666,2011-06-30,2011,1.0,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",NitrateNitrite,,,,55761.14,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.03242,0,0,,,0,,,NOx,,,2.62718420703775,-1.1837220442008272,-0.954727170345288,-1.3151477727398646,-1.4059628623185925,,1,181,57,138,Siphon,Date=2011-06-30T00:00:00|Year=2011|Irrigation=1.0|Rep=1|Treatment=CT|SampleID=CT1-01-OT|MeasureMethod=Transducer,,9.356812792126307,4.079964435911421,1.5270465567413214,9.211936381339276,12859.383879071109,3198.4676653109236,51691.80981028435,4.079964435911421,1.5270465567413214,9.211936381339276,0.6982530088043551,,,,,4.079964435911421,11576.43
7777,2011-06-30,2011,1.0,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TotalN,12.703,7.36,,55761.14,True,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.03242,0,0,12.703,,0,7.36,,TN,1.6886665960088894,0.4953991785653859,2.62718420703775,-1.1837220442008272,-0.954727170345288,-1.3151477727398646,-1.4059628623185925,,1,181,57,138,Siphon,Date=2011-06-30T00:00:00|Year=2011|Irrigation=1.0|Rep=1|Treatment=CT|SampleID=CT1-01-OT|MeasureMethod=Transducer,2.617614786964064,9.356812792126307,11.942662816314964,5.438374110224374,25.017829642860608,12859.383879071109,3198.4676653109236,51691.80981028435,,,,,,,,,12.703,11576.43
8888,2011-06-30,2011,1.0,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",Ammonium(NH4),,,,55761.14,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.03242,0,0,,,0,,,NH4,,,2.62718420703775,-1.1837220442008272,-0.954727170345288,-1.3151477727398646,-1.4059628623185925,,1,181,57,138,Siphon,Date=2011-06-30T00:00:00|Year=2011|Irrigation=1.0|Rep=1|Treatment=CT|SampleID=CT1-01-OT|MeasureMethod=Transducer,,9.356812792126307,0.5495686073032782,0.0,2.1150013422215035,12859.383879071109,3198.4676653109236,51691.80981028435,0.5495686073032782,0.0,2.1150013422215035,0.6982530088043551,,,,,0.5495686073032782,11576.43
9999,2011-06-30,2011,1.0,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TSP,,,,55761.14,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.03242,0,0,,,0,,,TSP,,,2.62718420703775,-1.1837220442008272,-0.954727170345288,-1.3151477727398646,-1.4059628623185925,,1,181,57,138,Siphon,Date=2011-06-30T00:00:00|Year=2011|Irrigation=1.0|Rep=1|Treatment=CT|SampleID=CT1-01-OT|MeasureMethod=Transducer,,9.356812792126307,0.546845451171091,0.0,2.109527150909894,12859.383879071109,3198.4676653109236,51691.80981028435,0.546845451171091,0.0,2.109527150909894,0.6982530088043551,,,,,0.546845451171091,11576.43
