draw,draw_id,Year,analyte,treatment,volume_L,conc_fw_mg_L,load_g
1,1017,2011,NH4,CT,398694.90772219177,0.07163442007259807,28.56027850057721
2,3908,2011,NH4,CT,393298.0459555257,0.06486157909523967,25.509932315747534
3,679,2011,NH4,CT,405693.4664096311,0.07525639805147592,30.531028995006274
4,2177,2011,NH4,CT,400023.327523408,0.043471718992229666,17.389701684434243
5,930,2011,NH4,CT,407234.86067293445,0.05075161589763264,20.667827228998714
6,1533,2011,NH4,CT,388932.20771284867,0.05109068041266147,19.870811126448018
7,471,2011,NH4,CT,385952.0341329888,-0.007832255533936636,-3.0228749551722025
8,2347,2011,NH4,CT,395420.8015674185,0.057684292030305305,22.809568992472375
9,270,2011,NH4,CT,410231.17457229143,0.11119997529082268,45.617696475963974
10,1211,2011,NH4,CT,402566.56523955456,0.048333212900220184,19.457335504233768
11,3379,2011,NH4,CT,394629.99806941696,0.10377868497956957,40.95418225313418
12,597,2011,NH4,CT,401787.8617286915,0.13989157055288576,56.20673500631235
13,1301,2011,NH4,CT,396785.5167025982,0.08458113412748715,33.56056900806675
14,3946,2011,NH4,CT,414367.6766031692,0.006201863591033743,2.5698518068264393
15,1974,2011,NH4,CT,415106.4392140504,0.03928208920013415,16.306248172756394
16,3566,2011,NH4,CT,407396.2107315382,0.11964679943186442,48.74365271469792
17,330,2011,NH4,CT,401875.3284115653,0.10211946586208903,41.03929388054066
18,1799,2011,NH4,CT,412904.6032399399,0.020500727244232964,8.464844648910239
19,3913,2011,NH4,CT,396564.01384686126,0.08738020760323321,34.65184585791019
20,1615,2011,NH4,CT,402537.5615018793,0.055869560581227114,22.489596678548683
21,1749,2011,NH4,CT,394931.81677702063,0.052512606750673485,20.738899187740717
22,37,2011,NH4,CT,374235.5324214884,0.04666292244887443,17.462923626997146
23,1129,2011,NH4,CT,390284.8842088876,0.09261284560921816,36.14539372484929
24,729,2011,NH4,CT,413762.23296661297,0.11200997731611964,46.345498328857325
25,878,2011,NH4,CT,377893.0221040412,0.028188766799855845,10.652338275383586
26,485,2011,NH4,CT,409482.0810020274,0.1401968538814375,57.40809947730818
27,3749,2011,NH4,CT,413551.1861923616,0.10276209961169533,42.49738819003422
28,1826,2011,NH4,CT,411098.7245085832,0.11412553592705928,46.91686225347256
29,2922,2011,NH4,CT,391281.36145679967,0.06583959089340631,25.76180476253073
30,2430,2011,NH4,CT,383145.87198856403,0.1021936611422401,39.155079410047414
31,3673,2011,NH4,CT,402390.94552514155,0.044300802660017624,17.8262418698872
32,975,2011,NH4,CT,413016.0129995532,0.09171823317441556,37.88109898506047
33,2849,2011,NH4,CT,411985.32279802836,0.09285602157637715,38.25531802288443
34,2900,2011,NH4,CT,404793.3889276774,0.11280870021190978,45.66421605930536
35,2979,2011,NH4,CT,399591.71990760183,0.10381974567096339,41.48551073303006
36,2374,2011,NH4,CT,422488.1935370801,0.18686913322512302,78.95000252412217
37,2378,2011,NH4,CT,406147.29971700103,-0.01354811632218423,-5.502530860506952
38,554,2011,NH4,CT,398930.8107917683,0.09996945728066628,39.88089664738924
39,1446,2011,NH4,CT,412239.17820048117,0.09377909521064978,38.659417142022946
40,2159,2011,NH4,CT,398166.88011370716,0.08632218023972789,34.37063319066555
