Year,Treatment,Rep,Residue_PercentCover,Residue_DryMass_kg_m2,Residue_n
2011,CT,1,,0.03242,0
2011,CT,2,,0.04188333333333333,0
2011,MT,1,,0.469572,0
2011,MT,2,,0.567345,0
2011,ST,1,,0.10716666666666667,0
2011,ST,2,,0.17724333333333334,0
2012,CT,1,,0.03552090433333333,0
2012,CT,2,,0.15500031016666668,0
2012,MT,1,,1.9089795124444444,0
2012,MT,2,,1.7652813083333332,0
2012,ST,1,,0.8029877171111112,0
2012,ST,2,,0.9590644183333333,0
2013,CT,1,,,0
2013,CT,2,,,0
2013,MT,1,,,0
2013,MT,2,,,0
2013,ST,1,,,0
2013,ST,2,,,0
2014,CT,1,,,0
2014,CT,2,,,0
2014,MT,1,,,0
2014,MT,2,,,0
2014,ST,1,,,0
2014,ST,2,,,0
2015,CT,1,4.0,0.052894736500000004,2
2015,CT,2,3.0,0.035526316,2
2015,MT,1,43.0,0.2460526315,2
2015,MT,2,36.0,0.19429824550000002,2
2015,ST,1,47.0,0.380175439,2
2015,ST,2,51.0,0.4594736845,2
2016,CT,1,26.0,0.005672515,2
2016,CT,2,25.0,0.015847953333333335,2
2016,MT,1,57.0,0.10871345033333334,2
2016,MT,2,50.0,0.08783625733333333,2
2016,ST,1,58.0,0.19900584799999999,2
2016,ST,2,52.0,0.13543859633333333,2
2017,CT,1,3.0,,2
2017,CT,2,1.0,,2
2017,MT,1,56.5,,2
2017,MT,2,58.5,,2
2017,ST,1,65.5,,2
2017,ST,2,65.0,,2
2018,CT,1,0.0,,2
2018,CT,2,2.0,,2
2018,MT,1,18.0,,2
2018,MT,2,21.0,,2
2018,ST,1,16.0,,2
2018,ST,2,26.0,,2
2019,CT,1,,,0
2019,CT,2,,,0
2019,MT,1,,,0
2019,MT,2,,,0
2019,ST,1,,,0
2019,ST,2,,,0
2020,CT,1,0.0,0.00022222233333333335,3
2020,CT,2,0.0,0.0,3
2020,MT,1,56.0,0.077888889,3
2020,MT,2,54.666666666666664,0.12066666666666666,3
2020,ST,1,56.666666666666664,0.07666666666666666,3
2020,ST,2,50.0,0.065777778,3
2021,CT,1,4.0,0.002111111,3
2021,CT,2,4.0,0.000888889,3
2021,MT,1,77.66666666666667,0.06555555533333333,3
2021,MT,2,82.66666666666667,0.047111111000000004,3
2021,ST,1,69.33333333333333,0.06722222233333333,3
2021,ST,2,69.33333333333333,0.05077777766666667,3
2022,CT,1,5.666666666666667,0.008166666666666668,3
2022,CT,2,8.0,0.017666666666666667,3
2022,MT,1,26.666666666666668,0.07816666666666666,3
2022,MT,2,42.0,0.13283333333333333,3
2022,ST,1,27.333333333333332,0.07516666666666667,3
2022,ST,2,30.666666666666668,0.09366666666666668,3
2023,CT,1,10.333333333333334,0.025666666666666667,3
2023,CT,2,2.3333333333333335,0.002166666666666667,3
2023,MT,1,17.666666666666668,0.06799999999999999,3
2023,MT,2,26.0,0.16233333333333333,3
2023,ST,1,36.333333333333336,0.137,3
2023,ST,2,28.666666666666668,0.10583333333333333,3
2024,CT,1,,,0
2024,CT,2,,,0
2024,MT,1,,,0
2024,MT,2,,,0
2024,ST,1,,,0
2024,ST,2,,,0
2025,CT,1,4.666666666666667,0.011523333333333335,3
2025,CT,2,2.6666666666666665,0.012386666666666666,3
2025,MT,1,51.0,0.34173000000000003,3
2025,MT,2,53.666666666666664,0.38397333333333333,3
2025,ST,1,39.666666666666664,0.20323666666666665,3
2025,ST,2,40.333333333333336,0.09736,3
