Treatment,PlantDate,HarvestDate,SeasonYear,Crop,PreviousHarvestDate,previous_crop,PlantCalendarYear,ResidueAssignmentEligible,ResidueMeasurementDate,ResidueModelDate,ResidueModelDateSource,Residue_STIR_toMeasurement,Residue_STIR_LeftCensored,Residue_STIR_StartDate,Residue_STIR_BoundaryDayCarryover,Rep,ResidueYear,Residue_PercentCover,Residue_DryMass_kg_m2,Residue_n
CT,2011-05-04,2011-11-15,2011,grain corn,,grain corn,2011,True,,2011-05-04,PlantDate proxy,186.3225,True,,0.0,1,2011.0,,0.03242,0.0
CT,2011-05-04,2011-11-15,2011,grain corn,,grain corn,2011,True,,2011-05-04,PlantDate proxy,186.3225,True,,0.0,2,2011.0,,0.04188333333333333,0.0
MT,2011-05-04,2011-11-15,2011,grain corn,,grain corn,2011,True,,2011-05-04,PlantDate proxy,6.5,True,,0.0,1,2011.0,,0.469572,0.0
MT,2011-05-04,2011-11-15,2011,grain corn,,grain corn,2011,True,,2011-05-04,PlantDate proxy,6.5,True,,0.0,2,2011.0,,0.567345,0.0
ST,2011-05-04,2011-11-15,2011,grain corn,,grain corn,2011,True,,2011-05-04,PlantDate proxy,11.375,True,,0.0,1,2011.0,,0.10716666666666667,0.0
ST,2011-05-04,2011-11-15,2011,grain corn,,grain corn,2011,True,,2011-05-04,PlantDate proxy,11.375,True,,0.0,2,2011.0,,0.17724333333333334,0.0
CT,2012-05-03,2012-11-01,2012,grain corn,2011-11-15,grain corn,2012,True,,2012-05-03,PlantDate proxy,253.58125,False,2011-11-15,0.0,1,2012.0,,0.03552090433333333,0.0
CT,2012-05-03,2012-11-01,2012,grain corn,2011-11-15,grain corn,2012,True,,2012-05-03,PlantDate proxy,253.58125,False,2011-11-15,0.0,2,2012.0,,0.15500031016666668,0.0
MT,2012-05-03,2012-11-01,2012,grain corn,2011-11-15,grain corn,2012,True,,2012-05-03,PlantDate proxy,51.837500000000006,False,2011-11-15,0.0,1,2012.0,,1.9089795124444444,0.0
MT,2012-05-03,2012-11-01,2012,grain corn,2011-11-15,grain corn,2012,True,,2012-05-03,PlantDate proxy,51.837500000000006,False,2011-11-15,0.0,2,2012.0,,1.7652813083333332,0.0
ST,2012-05-03,2012-11-01,2012,grain corn,2011-11-15,grain corn,2012,True,,2012-05-03,PlantDate proxy,56.712500000000006,False,2011-11-15,0.0,1,2012.0,,0.8029877171111112,0.0
ST,2012-05-03,2012-11-01,2012,grain corn,2011-11-15,grain corn,2012,True,,2012-05-03,PlantDate proxy,56.712500000000006,False,2011-11-15,0.0,2,2012.0,,0.9590644183333333,0.0
CT,2013-05-14,2013-09-30,2013,silage corn,2012-11-01,grain corn,2013,True,,2013-05-14,PlantDate proxy,172.98124999999993,False,2012-11-01,0.0,1,2013.0,,,0.0
CT,2013-05-14,2013-09-30,2013,silage corn,2012-11-01,grain corn,2013,True,,2013-05-14,PlantDate proxy,172.98124999999993,False,2012-11-01,0.0,2,2013.0,,,0.0
MT,2013-05-14,2013-09-30,2013,silage corn,2012-11-01,grain corn,2013,True,,2013-05-14,PlantDate proxy,60.20624999999998,False,2012-11-01,0.0,1,2013.0,,,0.0
MT,2013-05-14,2013-09-30,2013,silage corn,2012-11-01,grain corn,2013,True,,2013-05-14,PlantDate proxy,60.20624999999998,False,2012-11-01,0.0,2,2013.0,,,0.0
ST,2013-05-14,2013-09-30,2013,silage corn,2012-11-01,grain corn,2013,True,,2013-05-14,PlantDate proxy,65.08124999999998,False,2012-11-01,0.0,1,2013.0,,,0.0
ST,2013-05-14,2013-09-30,2013,silage corn,2012-11-01,grain corn,2013,True,,2013-05-14,PlantDate proxy,65.08124999999998,False,2012-11-01,0.0,2,2013.0,,,0.0
CT,2014-05-06,2014-12-02,2014,grain corn,2013-09-30,silage corn,2014,True,,2014-05-06,PlantDate proxy,172.12,False,2013-09-30,0.0,1,2014.0,,,0.0
CT,2014-05-06,2014-12-02,2014,grain corn,2013-09-30,silage corn,2014,True,,2014-05-06,PlantDate proxy,172.12,False,2013-09-30,0.0,2,2014.0,,,0.0
MT,2014-05-06,2014-12-02,2014,grain corn,2013-09-30,silage corn,2014,True,,2014-05-06,PlantDate proxy,24.310000000000002,False,2013-09-30,0.0,1,2014.0,,,0.0
MT,2014-05-06,2014-12-02,2014,grain corn,2013-09-30,silage corn,2014,True,,2014-05-06,PlantDate proxy,24.310000000000002,False,2013-09-30,0.0,2,2014.0,,,0.0
ST,2014-05-06,2014-12-02,2014,grain corn,2013-09-30,silage corn,2014,True,,2014-05-06,PlantDate proxy,24.310000000000002,False,2013-09-30,0.0,1,2014.0,,,0.0
ST,2014-05-06,2014-12-02,2014,grain corn,2013-09-30,silage corn,2014,True,,2014-05-06,PlantDate proxy,24.310000000000002,False,2013-09-30,0.0,2,2014.0,,,0.0
CT,2015-04-30,2015-11-16,2015,grain corn,2014-12-02,grain corn,2015,True,,2015-04-30,PlantDate proxy,203.77499999999986,False,2014-12-02,30.7125,1,2015.0,4.0,0.052894736500000004,2.0
CT,2015-04-30,2015-11-16,2015,grain corn,2014-12-02,grain corn,2015,True,,2015-04-30,PlantDate proxy,203.77499999999986,False,2014-12-02,30.7125,2,2015.0,3.0,0.035526316,2.0
MT,2015-04-30,2015-11-16,2015,grain corn,2014-12-02,grain corn,2015,True,,2015-04-30,PlantDate proxy,51.85374999999999,False,2014-12-02,30.7125,1,2015.0,43.0,0.2460526315,2.0
MT,2015-04-30,2015-11-16,2015,grain corn,2014-12-02,grain corn,2015,True,,2015-04-30,PlantDate proxy,51.85374999999999,False,2014-12-02,30.7125,2,2015.0,36.0,0.19429824550000002,2.0
ST,2015-04-30,2015-11-16,2015,grain corn,2014-12-02,grain corn,2015,True,,2015-04-30,PlantDate proxy,46.393749999999955,False,2014-12-02,30.7125,1,2015.0,47.0,0.380175439,2.0
ST,2015-04-30,2015-11-16,2015,grain corn,2014-12-02,grain corn,2015,True,,2015-04-30,PlantDate proxy,46.393749999999955,False,2014-12-02,30.7125,2,2015.0,51.0,0.4594736845,2.0
CT,2016-03-03,2016-07-25,2016,barley,2015-11-16,grain corn,2016,True,,2016-03-03,PlantDate proxy,245.97625000000016,False,2015-11-16,0.0,1,2016.0,26.0,0.005672515,2.0
CT,2016-03-03,2016-07-25,2016,barley,2015-11-16,grain corn,2016,True,,2016-03-03,PlantDate proxy,245.97625000000016,False,2015-11-16,0.0,2,2016.0,25.0,0.015847953333333335,2.0
MT,2016-03-03,2016-07-25,2016,barley,2015-11-16,grain corn,2016,True,,2016-03-03,PlantDate proxy,95.27375,False,2015-11-16,0.0,1,2016.0,57.0,0.10871345033333334,2.0
MT,2016-03-03,2016-07-25,2016,barley,2015-11-16,grain corn,2016,True,,2016-03-03,PlantDate proxy,95.27375,False,2015-11-16,0.0,2,2016.0,50.0,0.08783625733333333,2.0
ST,2016-03-03,2016-07-25,2016,barley,2015-11-16,grain corn,2016,True,,2016-03-03,PlantDate proxy,91.92624999999998,False,2015-11-16,0.0,1,2016.0,58.0,0.19900584799999999,2.0
ST,2016-03-03,2016-07-25,2016,barley,2015-11-16,grain corn,2016,True,,2016-03-03,PlantDate proxy,91.92624999999998,False,2015-11-16,0.0,2,2016.0,52.0,0.13543859633333333,2.0
CT,2017-04-19,2017-10-13,2017,silage corn,2016-07-25,barley,2017,True,,2017-04-19,PlantDate proxy,162.01249999999982,False,2016-07-25,0.0,1,2017.0,3.0,,2.0
