Date,Year,Irrigation,Rep,Treatment,PlantDate,HarvestDate,PreviousHarvestDate,SeasonYear,Crop,previous_crop,Season_STIR_PostHarvest,Season_STIR_StartDate,Season_STIR_LeftCensored,Season_STIR_BoundaryDayCarryover,Season_STIR_CalendarLegacy,Season_STIR_PlantLegacy,PostHarvest_minus_CalendarLegacy,PostHarvest_minus_PlantLegacy
2011-06-30,2011,1,1,CT,2011-05-04,2011-11-15,,2011,grain corn,grain corn,204.1975,,True,0.0,204.1975,24.375,0.0,179.8225
2011-06-30,2011,1,1,MT,2011-05-04,2011-11-15,,2011,grain corn,grain corn,39.0,,True,0.0,39.0,39.0,0.0,0.0
2011-06-30,2011,1,1,ST,2011-05-04,2011-11-15,,2011,grain corn,grain corn,29.25,,True,0.0,29.25,24.375,0.0,4.875
2011-07-01,2011,1,2,CT,2011-05-04,2011-11-15,,2011,grain corn,grain corn,204.1975,,True,0.0,204.1975,24.375,0.0,179.8225
2011-07-01,2011,1,2,MT,2011-05-04,2011-11-15,,2011,grain corn,grain corn,39.0,,True,0.0,39.0,39.0,0.0,0.0
2011-07-01,2011,1,2,ST,2011-05-04,2011-11-15,,2011,grain corn,grain corn,29.25,,True,0.0,29.25,24.375,0.0,4.875
2011-07-18,2011,2,1,CT,2011-05-04,2011-11-15,,2011,grain corn,grain corn,204.1975,,True,0.0,204.1975,24.375,0.0,179.8225
2011-07-18,2011,2,1,MT,2011-05-04,2011-11-15,,2011,grain corn,grain corn,39.0,,True,0.0,39.0,39.0,0.0,0.0
2011-07-18,2011,2,1,ST,2011-05-04,2011-11-15,,2011,grain corn,grain corn,29.25,,True,0.0,29.25,24.375,0.0,4.875
2011-07-19,2011,2,2,CT,2011-05-04,2011-11-15,,2011,grain corn,grain corn,204.1975,,True,0.0,204.1975,24.375,0.0,179.8225
2011-07-19,2011,2,2,MT,2011-05-04,2011-11-15,,2011,grain corn,grain corn,39.0,,True,0.0,39.0,39.0,0.0,0.0
2011-07-19,2011,2,2,ST,2011-05-04,2011-11-15,,2011,grain corn,grain corn,29.25,,True,0.0,29.25,24.375,0.0,4.875
2011-07-28,2011,3,1,CT,2011-05-04,2011-11-15,,2011,grain corn,grain corn,204.1975,,True,0.0,204.1975,24.375,0.0,179.8225
2011-07-28,2011,3,1,MT,2011-05-04,2011-11-15,,2011,grain corn,grain corn,39.0,,True,0.0,39.0,39.0,0.0,0.0
2011-07-28,2011,3,1,ST,2011-05-04,2011-11-15,,2011,grain corn,grain corn,29.25,,True,0.0,29.25,24.375,0.0,4.875
2011-07-29,2011,3,2,CT,2011-05-04,2011-11-15,,2011,grain corn,grain corn,204.1975,,True,0.0,204.1975,24.375,0.0,179.8225
2011-07-29,2011,3,2,MT,2011-05-04,2011-11-15,,2011,grain corn,grain corn,39.0,,True,0.0,39.0,39.0,0.0,0.0
2011-07-29,2011,3,2,ST,2011-05-04,2011-11-15,,2011,grain corn,grain corn,29.25,,True,0.0,29.25,24.375,0.0,4.875
2011-08-09,2011,4,1,CT,2011-05-04,2011-11-15,,2011,grain corn,grain corn,204.1975,,True,0.0,204.1975,24.375,0.0,179.8225
2011-08-09,2011,4,1,MT,2011-05-04,2011-11-15,,2011,grain corn,grain corn,39.0,,True,0.0,39.0,39.0,0.0,0.0
2011-08-09,2011,4,1,ST,2011-05-04,2011-11-15,,2011,grain corn,grain corn,29.25,,True,0.0,29.25,24.375,0.0,4.875
2011-08-10,2011,4,2,CT,2011-05-04,2011-11-15,,2011,grain corn,grain corn,204.1975,,True,0.0,204.1975,24.375,0.0,179.8225
2011-08-10,2011,4,2,MT,2011-05-04,2011-11-15,,2011,grain corn,grain corn,39.0,,True,0.0,39.0,39.0,0.0,0.0
2011-08-10,2011,4,2,ST,2011-05-04,2011-11-15,,2011,grain corn,grain corn,29.25,,True,0.0,29.25,24.375,0.0,4.875
2011-08-18,2011,5,1,CT,2011-05-04,2011-11-15,,2011,grain corn,grain corn,204.1975,,True,0.0,204.1975,24.375,0.0,179.8225
2011-08-18,2011,5,1,MT,2011-05-04,2011-11-15,,2011,grain corn,grain corn,39.0,,True,0.0,39.0,39.0,0.0,0.0
2011-08-18,2011,5,1,ST,2011-05-04,2011-11-15,,2011,grain corn,grain corn,29.25,,True,0.0,29.25,24.375,0.0,4.875
2011-08-19,2011,5,2,CT,2011-05-04,2011-11-15,,2011,grain corn,grain corn,204.1975,,True,0.0,204.1975,24.375,0.0,179.8225
2011-08-19,2011,5,2,MT,2011-05-04,2011-11-15,,2011,grain corn,grain corn,39.0,,True,0.0,39.0,39.0,0.0,0.0
2011-08-19,2011,5,2,ST,2011-05-04,2011-11-15,,2011,grain corn,grain corn,29.25,,True,0.0,29.25,24.375,0.0,4.875
2011-08-28,2011,6,1,CT,2011-05-04,2011-11-15,,2011,grain corn,grain corn,204.1975,,True,0.0,204.1975,24.375,0.0,179.8225
2011-08-28,2011,6,1,MT,2011-05-04,2011-11-15,,2011,grain corn,grain corn,39.0,,True,0.0,39.0,39.0,0.0,0.0
2011-08-28,2011,6,1,ST,2011-05-04,2011-11-15,,2011,grain corn,grain corn,29.25,,True,0.0,29.25,24.375,0.0,4.875
2011-08-29,2011,6,2,CT,2011-05-04,2011-11-15,,2011,grain corn,grain corn,204.1975,,True,0.0,204.1975,24.375,0.0,179.8225
2011-08-29,2011,6,2,MT,2011-05-04,2011-11-15,,2011,grain corn,grain corn,39.0,,True,0.0,39.0,39.0,0.0,0.0
2011-08-29,2011,6,2,ST,2011-05-04,2011-11-15,,2011,grain corn,grain corn,29.25,,True,0.0,29.25,24.375,0.0,4.875
2012-05-15,2012,1,1,CT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,255.04375,2011-11-15,False,0.0,185.33125,7.962499999999977,69.71249999999998,247.08125
2012-05-15,2012,1,1,MT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,51.837500000000006,2011-11-15,False,0.0,21.125,6.5,30.712500000000006,45.337500000000006
2012-05-15,2012,1,1,ST,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,56.712500000000006,2011-11-15,False,0.0,26.0,6.5,30.712500000000006,50.212500000000006
2012-05-16,2012,1,2,CT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,255.04375,2011-11-15,False,0.0,185.33125,7.962499999999977,69.71249999999998,247.08125
2012-05-16,2012,1,2,MT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,51.837500000000006,2011-11-15,False,0.0,21.125,6.5,30.712500000000006,45.337500000000006
2012-05-16,2012,1,2,ST,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,56.712500000000006,2011-11-15,False,0.0,26.0,6.5,30.712500000000006,50.212500000000006
2012-08-30,2012,10,1,CT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,274.38125,2011-11-15,False,0.0,204.66875000000005,27.30000000000001,69.71249999999998,247.08125
2012-08-30,2012,10,1,MT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,84.3375,2011-11-15,False,0.0,53.625,39.0,30.712500000000006,45.337500000000006
2012-08-30,2012,10,1,ST,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,90.675,2011-11-15,False,0.0,59.96249999999999,40.46249999999999,30.712500000000006,50.212500000000006
2012-08-31,2012,10,2,CT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,274.38125,2011-11-15,False,0.0,204.66875000000005,27.30000000000001,69.71249999999998,247.08125
2012-08-31,2012,10,2,MT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,84.3375,2011-11-15,False,0.0,53.625,39.0,30.712500000000006,45.337500000000006
2012-08-31,2012,10,2,ST,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,90.675,2011-11-15,False,0.0,59.96249999999999,40.46249999999999,30.712500000000006,50.212500000000006
2012-06-03,2012,2,1,CT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,255.04375,2011-11-15,False,0.0,185.33125,7.962499999999977,69.71249999999998,247.08125
2012-06-03,2012,2,1,MT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,51.837500000000006,2011-11-15,False,0.0,21.125,6.5,30.712500000000006,45.337500000000006
2012-06-03,2012,2,1,ST,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,56.712500000000006,2011-11-15,False,0.0,26.0,6.5,30.712500000000006,50.212500000000006
2012-06-04,2012,2,2,CT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,256.50625,2011-11-15,False,0.0,186.79375000000005,9.425000000000011,69.71249999999998,247.08125
