Date,CT_STIR,MT_STIR,ST_STIR,CT_Diesel_l_ha,MT_Diesel_l_ha,ST_Diesel_l_ha,CT_Speed_kmh_mean,MT_Speed_kmh_mean,ST_Speed_kmh_mean,CT_Depth_cm_mean,MT_Depth_cm_mean,ST_Depth_cm_mean,CT_SurfDist_pct_mean,MT_SurfDist_pct_mean,ST_SurfDist_pct_mean,CT_TTM_mean,MT_TTM_mean,ST_TTM_mean,Year,CT_STIR_Sum_Year,CT_STIR_Sum_All,ST_STIR_Sum_Year,ST_STIR_Sum_All,MT_STIR_Sum_Year,MT_STIR_Sum_All
2011-01-01,123.43499999999999,0.0,4.875,56.4494,0.0,2.96128,6.0337499999999995,,8.045,68.58,,6.35,65.0,,30.0,0.55,,0.8,2011,123.43499999999999,123.43499999999999,4.875,4.875,0.0,0.0
2011-03-03,31.200000000000003,0.0,0.0,6.29272,0.0,0.0,9.654,,,5.08,,,100.0,,,0.8,,,2011,154.635,154.635,4.875,4.875,0.0,0.0
2011-03-15,20.8,0.0,0.0,16.6572,0.0,0.0,6.436,,,5.08,,,100.0,,,0.8,,,2011,175.435,175.435,4.875,4.875,0.0,0.0
2011-04-02,2.19375,0.0,0.0,3.2389,0.0,0.0,8.045,,,7.62,,,60.0,,,0.15,,,2011,177.62875,177.62875,4.875,4.875,0.0,0.0
2011-04-05,2.1937499999999996,0.0,0.0,5.73748,0.0,0.0,9.654,,,3.81,,,100.0,,,0.15,,,2011,179.8225,179.8225,4.875,4.875,0.0,0.0
2011-05-04,6.5,6.5,6.5,12.0302,12.0302,12.0302,8.045,8.045,8.045,6.35,6.35,6.35,20.0,20.0,20.0,0.8,0.8,0.8,2011,186.3225,186.3225,11.375,11.375,6.5,6.5
2011-05-09,0.0,14.625,0.0,0.0,5.73748,0.0,,8.045,,,7.62,,,75.0,,,0.8,,2011,186.3225,186.3225,11.375,11.375,21.125,21.125
2011-05-16,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2011,186.3225,186.3225,11.375,11.375,21.125,21.125
2011-06-23,3.25,3.25,3.25,6.0151,6.0151,6.0151,8.045,8.045,8.045,6.35,6.35,6.35,20.0,20.0,20.0,0.8,0.8,0.8,2011,189.5725,189.5725,14.625,14.625,24.375,24.375
2011-06-27,14.625,14.625,14.625,5.73748,5.73748,5.73748,8.045,8.045,8.045,7.62,7.62,7.62,75.0,75.0,75.0,0.8,0.8,0.8,2011,204.1975,204.1975,29.25,29.25,39.0,39.0
2011-11-15,6.5,6.5,6.5,31.4636,31.4636,31.4636,8.045,8.045,8.045,5.08,5.08,5.08,100.0,100.0,100.0,0.4,0.4,0.4,2011,210.6975,210.6975,35.75,35.75,45.5,45.5
2011-11-29,30.7125,30.7125,30.7125,13.51084,13.51084,13.51084,14.481,14.481,14.481,3.81,3.81,3.81,100.0,100.0,100.0,0.7,0.7,0.7,2011,241.41,241.41,66.4625,66.4625,76.2125,76.2125
2011-11-30,39.0,0.0,0.0,6.9405,0.0,0.0,8.045,,,15.24,,,100.0,,,0.8,,,2011,280.40999999999997,280.40999999999997,66.4625,66.4625,76.2125,76.2125
2012-03-05,102.37499999999999,0.0,0.0,33.3144,0.0,0.0,4.827,,,76.2,,,100.0,,,0.7,,,2012,102.37499999999999,382.78499999999997,0.0,66.4625,0.0,76.2125
2012-03-08,31.200000000000003,0.0,0.0,6.29272,0.0,0.0,9.654,,,5.08,,,100.0,,,0.8,,,2012,133.575,413.98499999999996,0.0,66.4625,0.0,76.2125
2012-03-14,20.8,0.0,14.625,16.6572,0.0,5.73748,6.436,,8.045,5.08,,7.62,100.0,,75.0,0.8,,0.8,2012,154.375,434.78499999999997,14.625,81.0875,0.0,76.2125
