analyte,CT,MT,ST
NH4,"1.36 (0.08, 2.65)","1.15 (-0.01, 2.31)","1.22 (0.04, 2.41)"
NO3,"90.52 (83.27, 98.39)","79.26 (73.17, 86.05)","82.65 (76.35, 89.60)"
NO2,"4.16 (1.11, 6.87)","3.08 (0.66, 5.33)","3.36 (0.70, 5.75)"
OP,"1.89 (1.12, 2.72)","1.79 (1.11, 2.50)","1.83 (1.14, 2.55)"
Se,"0.09 (0.07, 0.12)","0.08 (0.06, 0.10)","0.08 (0.06, 0.10)"
TDS,"12862.87 (10841.97, 14921.18)","11520.20 (9804.60, 13211.61)","11844.75 (10031.38, 13656.20)"
TKN,"25.98 (17.66, 34.68)","18.89 (11.72, 26.38)","20.20 (12.75, 28.03)"
TN,"79.24 (5.60, 153.56)","71.44 (5.40, 141.97)","73.64 (6.96, 145.21)"
TP,"12.83 (3.41, 22.72)","10.58 (2.61, 19.12)","10.76 (2.64, 19.41)"
TSS,"18197.19 (10233.60, 26641.16)","13138.18 (6332.08, 20260.24)","14107.63 (7230.71, 21454.99)"
