_wq_idx,Date,Year,Irrigation,Rep,Treatment,InflowOutflow,SampleID,FF,Composite,Duplicate,Flag,NoRunoff,Volume,SampleMethod,MeasureMethod,IrrMethod,FlumeMethod,TSSMethod,Lab,Notes,Analyte,Result_mg_L,Inflow_Result_mg_L,Inflow_Flag,Inflow_Volume,Has_Inflow,MDL_Provided,RL_Provided,RLMDL_Provided_Units,RLMDL_Method,MDL_mg_L,RL_mg_L,RLMDL_Source,RLMDL_Assumed,PlantDate,HarvestDate,SeasonYear,Crop,PreviousHarvestDate,previous_crop,CumAll_STIR_toDate,Season_STIR_toDate,Season_STIR_StartDate,Season_STIR_LeftCensored,Season_STIR_BoundaryDayCarryover,Residue_PercentCover,Residue_DryMass_kg_m2,Residue_n,Result_is_nd,Result_mg_L_cens,Result_lod_mg_L,Inflow_is_nd,Inflow_Result_mg_L_cens,Inflow_lod_mg_L,analyte_abbr,cout_z,cin_z,stir_season_z,stir_cumall_z,volume_z,IRR_z,inflow_volume_z,residue_prop,residue_obs
0,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",OrthoP,0.064,0.01,,55761.14,True,0.34,0.75,MG/L,EPA300.0 [300OPHOS]_W,0.34,0.75,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.03242,0,0,0.064,0.75,0,0.01,0.75,OP,-0.3723332997387324,-0.2704658744587053,1.260271787488646,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1
1111,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TotalP,1.431,0.077,,55761.14,True,0.033,0.05,MG/L,EPA365.2 [365.2TPHOS]_W,0.033,0.05,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.03242,0,0,1.431,0.05,0,0.077,0.05,TP,0.10332950724663624,0.5754085287933446,1.260271787488646,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1
2222,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",ICP,0.117,0.033,,55761.14,True,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.03242,0,0,0.117,,0,0.033,,ICP,-0.3240401738550796,2.1919864974047636,1.260271787488646,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1
3333,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TKN,,,,55761.14,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.03242,0,0,,,0,,,TKN,,,1.260271787488646,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1
4444,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",Nitrate,8.567,6.4,,55761.14,True,0.19,0.2,MG/L,EPA300.0 [300Nitrate]_W,0.19,0.2,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.03242,0,0,8.567,0.2,0,6.4,0.2,NO3,0.6314727908766592,0.10775166802962073,1.260271787488646,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1
5555,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",Nitrite,,,,55761.14,False,0.11,0.15,MG/L,EPA300.0 [300Nitrite]_W,0.11,0.15,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.03242,0,0,,0.15,0,,0.15,NO2,,,1.260271787488646,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1
6666,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",NitrateNitrite,,,,55761.14,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.03242,0,0,,,0,,,NOx,,,1.260271787488646,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1
7777,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TotalN,12.703,7.36,,55761.14,True,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.03242,0,0,12.703,,0,7.36,,TN,1.6886665960088894,0.4953991785653859,1.260271787488646,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1
8888,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",Ammonium(NH4),,,,55761.14,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.03242,0,0,,,0,,,NH4,,,1.260271787488646,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1
9999,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TSP,,,,55761.14,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.03242,0,0,,,0,,,TSP,,,1.260271787488646,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1
11110,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",Selenium,,,,55761.14,False,,1.5,UG/L,EPA200.8 [SE200.8]_W,,0.0015,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.03242,0,0,,0.0015,0,,0.0015,Se,,,1.260271787488646,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1
12221,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",NPOC,,,,55761.14,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.03242,0,0,,,0,,,NPOC,,,1.260271787488646,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1
13332,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TDS,,,,55761.14,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.03242,0,0,,,0,,,TDS,,,1.260271787488646,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1
14443,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TSS,1621.2,,,55761.14,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.03242,0,0,1621.2,,0,,,TSS,0.13444017420877752,,1.260271787488646,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1
3,2011-07-01,2011,1,2,CT,OUT,CT2-01-0T,False,AC,False,,False,7426.17,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT2-T1, CT2-T2, CT2-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",OrthoP,0.08,0.01,,52493.88,True,0.34,0.75,MG/L,EPA300.0 [300OPHOS]_W,0.34,0.75,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.04188333333333333,0,0,0.08,0.75,0,0.01,0.75,OP,-0.29965339154151854,-0.2704658744587053,1.260271787488646,-1.1837220442008272,-1.1419802245933706,-1.3151477727398646,-1.5005142995239609,,1
