Year,CT,MT,ST
2011,"353 (270, 441)","398 (308, 480)","400 (308, 484)"
2012,"504 (388, 630)","593 (451, 721)","541 (426, 643)"
2013,"493 (369, 601)","497 (368, 604)","497 (368, 604)"
2014,"322 (256, 384)","291 (225, 352)","330 (255, 400)"
2015,"352 (277, 432)","340 (292, 390)","327 (281, 374)"
2016,"111 (53, 161)","99 (44, 147)","98 (43, 146)"
2017,"391 (304, 485)","340 (283, 399)","329 (271, 390)"
2018,"360 (232, 531)","364 (239, 517)","362 (237, 516)"
2019,"92 (71, 112)","92 (71, 112)","92 (71, 112)"
2020,"533 (410, 645)","396 (343, 451)","404 (345, 463)"
2021,"349 (268, 435)","270 (217, 338)","284 (237, 340)"
2022,"535 (439, 626)","481 (424, 538)","491 (429, 552)"
2023,"512 (433, 586)","491 (430, 554)","479 (424, 535)"
2024,"368 (285, 449)","368 (285, 449)","368 (285, 449)"
2025,"512 (413, 606)","413 (366, 459)","428 (379, 478)"
Total,"5787 (4468, 7124)","5432 (4347, 6512)","5430 (4361, 6487)"
Total,"5787 (4468, 7124)","5432 (4347, 6512)","5430 (4361, 6487)"
