Year,CT,MT,ST
2011,"97 (60, 140)","102 (75, 125)","149 (76, 224)"
2012,"105 (66, 146)","153 (111, 202)","101 (63, 140)"
2013,"84 (49, 122)","101 (91, 112)","109 (63, 161)"
2014,"256 (163, 353)","7 (3, 14)","109 (58, 161)"
2015,"229 (179, 274)","105 (67, 149)","90 (60, 124)"
2016,"153 (118, 205)","21 (11, 33)","78 (35, 121)"
2017,"595 (408, 813)","192 (104, 290)","149 (88, 224)"
2020,"42 (42, 42)",NA,"161 (76, 259)"
2021,"71 (49, 93)","63 (30, 105)","93 (30, 168)"
2023,"412 (297, 534)","461 (362, 558)","371 (289, 455)"
2024,"226 (161, 279)","394 (259, 552)","383 (323, 443)"
2025,"551 (496, 611)","673 (602, 741)","667 (584, 755)"
