Year,CT_obs_volume_kL_mean,MT_obs_volume_kL_mean,ST_obs_volume_kL_mean,CT_obs_volume_kL_low,MT_obs_volume_kL_low,ST_obs_volume_kL_low,CT_obs_volume_kL_high,MT_obs_volume_kL_high,ST_obs_volume_kL_high
2011,96.87930333333334,101.62622333333333,149.45602,60.33735195833334,74.98022166666667,76.34611270833332,139.71091191666667,125.34195908333335,224.0441792916666
2012,105.28233333333333,152.82133333333334,101.4395,65.86413333333333,111.16562500000002,62.75496250000001,146.23775833333332,202.0887958333333,139.64178333333334
2013,84.14,100.647,109.085,48.661955,91.0744,63.016275,122.375,111.8592,160.74173
2014,255.79143,6.58817,108.69461,163.26326110714288,2.823501428571429,57.74765092857143,353.3053404285714,14.117507142857145,160.78325385714282
2015,229.2092225,105.33368875000001,90.38647750000001,179.02138315625,67.00306693750001,59.644466218750004,273.724334875,149.32624118749996,124.4441696875
2016,153.22589,20.6415,78.19962,117.8529111111111,11.12841888888889,34.939962500000014,204.96065888888887,33.34319555555555,121.16322874999997
2017,595.055,192.42943,149.21987,408.46116445,103.65603490000002,87.62328005000002,813.2927442999999,289.58048734999994,223.67525824999996
2020,41.50876,NA,160.77781666666664,41.50876,NA,75.67772195833335,41.50876,NA,259.0256300416666
2021,70.70313,62.78479,92.60923000000001,49.012800000000006,30.29868316666667,29.980608958333345,93.47979274999999,105.02602408333333,167.86516054166668
2023,412.13534000000004,461.21205,370.5715,296.8113547857143,362.2496393214286,288.8366549285714,533.6016741428571,558.1908288214285,454.5656921071428
2024,225.71972499999998,394.081515,383.07076,161.293475625,259.20356301785716,322.5429992857143,278.7369459821428,551.8368384642857,443.07294967857143
2025,551.085505,672.65724,667.135665,496.38078125,601.8485378214285,583.9758612678572,610.6587143749999,740.8097249464286,755.3078718035715
