physical_event_index,PhysicalEventID,Date,Year,Irrigation,Rep,Treatment,E_rep_row,VIN_E,row_count
40,PE_103d31d87b8989b078fc,2023-08-16,2023,2,1,MT,5930,40,60
173,PE_4f8bc0d68bb7e3bfe83d,2023-07-17,2023,1,1,MT,5830,173,60
29,PE_0d0deda9b3de41b974d7,2023-09-26,2023,5,2,ST,9839,29,50
31,PE_0d57e30e5b4c926d1e83,2023-08-23,2023,3,1,MT,6030,31,50
78,PE_1d9a7d3ce1625dbc2d50,2023-08-23,2023,3,2,MT,6035,78,50
192,PE_5a19bce816f839946c65,2023-09-20,2023,4,2,CT,2607,192,50
193,PE_5a4fce34a0e108e52dfa,2023-09-20,2023,4,1,MT,6130,193,50
2,PE_013bf97cfac8f24b53cf,2023-08-16,2023,2,1,ST,9595,2,40
4,PE_02f279769c003d107924,2024-05-30,2024,2,2,MT,6384,4,40
10,PE_052d656fa1c2325091a7,2023-09-26,2023,5,2,MT,6224,10,40
11,PE_058c1d507f970942d15e,2021-08-26,2021,5,2,MT,5261,11,40
13,PE_0642607ffbb8979c70de,2025-09-14,2025,7,2,MT,7104,13,40
14,PE_06c1fb6867da5c07238a,2024-06-20,2024,4,1,MT,6540,14,40
19,PE_086c1f530ca53302a88b,2025-07-31,2025,3,2,MT,6784,19,40
38,PE_0fad74322d462907ef22,2025-08-19,2025,5,1,CT,3413,38,40
44,PE_1113e745950469cef1a0,2024-06-12,2024,3,1,CT,2933,44,40
46,PE_11a9aa9ee4b790243512,2025-08-11,2025,4,2,ST,10489,46,40
50,PE_1328229770dda7dc9c97,2024-05-15,2024,1,1,CT,2773,50,40
64,PE_19a314399778b0f2177a,2025-09-14,2025,7,1,MT,7100,64,40
66,PE_1a63e3b4586af009f14e,2025-08-19,2025,5,1,ST,10565,66,40
