model_version,source,interval_prob,interval_type,Year,analyte,treatment,n_events,n_rows,volume_mean,volume_low,volume_high,conc_mean,conc_low,conc_high,load_mean,load_low,load_high
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2011,NH4,CT,12,12,151137.2260446697,103010.96867819886,191961.9029975874,0.11346241697805953,0.029257160262646662,0.22792930887506557,17.095894500042213,4.13736190007096,33.63090848976288
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2011,NH4,MT,12,12,146346.83530550444,102875.68604063804,194176.23274410795,0.11537058908323693,0.02911210936545094,0.2277896916573659,16.8712887223606,4.092367507219371,33.76550520148511
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2011,NH4,ST,12,12,141384.5814893776,100134.79895893676,184134.49173221295,0.11140362669864148,0.02559099856962572,0.22467999628288812,15.730400203113263,3.3751595465534487,33.51433185817193
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2012,NH4,CT,20,20,221162.06070010277,135070.22603977376,304810.2733570377,0.09356232428656343,0.01738815647568316,0.20591465247566593,20.689430542778716,3.5257690414130867,47.07727516910337
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2012,NH4,MT,20,20,205112.9291047372,144852.62514510143,267845.3759914493,0.10563586886319858,0.019902805306418647,0.2399938472543503,21.675172799335222,3.877339756743848,49.92532284017557
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2012,NH4,ST,20,20,186661.68719114095,128108.60908219047,248543.5961205928,0.0935063216610178,0.0172993843226623,0.21110385553345035,17.459405740472402,2.9640928107390874,41.60929886702567
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2013,NH4,CT,14,14,190983.1533558173,137453.97130257357,240143.25225275662,0.10873623170880808,0.017684527628869053,0.24868514249658621,20.802833008541565,3.0410743635057105,48.306747270067035
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2013,NH4,MT,14,14,193104.37929627745,145653.42775791354,243551.86342235276,0.11045641180521605,0.01623203814935744,0.2433607160833804,21.387966804588093,3.219914782277204,47.814481347314526
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2013,NH4,ST,14,14,169429.57186765925,122769.91028966528,215371.7963782447,0.10587537170603482,0.01644854880714027,0.2323389284121427,18.00577594836027,2.6090943033160805,40.86896530522781
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2014,NH4,CT,10,10,152335.83174205667,116734.97314139664,190220.86473354237,0.12759628578354004,0.03898127763811349,0.24100283682925694,19.481808570563093,5.902740164656149,38.27861337067766
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2014,NH4,MT,10,10,102940.70584653116,61881.852791097204,146722.67729970516,0.1181734582003159,0.024996084442736544,0.23951832369359755,12.154548073741724,2.2431038476151794,27.18545001532351
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2014,NH4,ST,10,10,106259.33937140861,68656.21759579857,142762.11205472093,0.119205943714701,0.03163483891287196,0.23895323393224938,12.646301274455054,3.260906955789511,27.019338891468927
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2015,NH4,CT,12,12,167237.88968380616,123595.29345629163,213293.9329038577,0.09103881912293128,0.04169079011900481,0.15052910623863097,15.23997298918139,6.45860827687491,26.542872027801813
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2015,NH4,MT,12,12,122825.75942610118,78776.12739067139,163235.12927808135,0.09719716735492448,0.043949303829935185,0.1557744000576593,11.933034589724643,4.6070439998458035,20.76150015299978
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2015,NH4,ST,12,12,120736.33823896911,77809.67815074172,159478.59535869583,0.12791937579276144,0.06938683498717865,0.18909004916159056,15.479071254760882,7.004080221706284,25.108323323788085
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2016,NH4,CT,4,4,54112.056932422616,30050.693028198286,79424.58014825925,0.18318397312964568,0.109438801600519,0.25226867645395945,9.937836873530609,4.128359399618152,16.538184450584172
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2016,NH4,MT,4,4,30716.955783358528,9693.919429301124,51270.76448205554,0.09586897408224343,0.03220813988242902,0.154674198504214,2.9367287900627037,0.6396467468987439,6.025869541392318
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2016,NH4,ST,4,4,37594.50277492942,16997.29732639044,58392.36591972651,0.090843854655387,0.034469931961068734,0.1481766648987088,3.4203942041297912,0.9099163126614394,6.793242953096416
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2017,NH4,CT,12,12,222584.8779290495,172005.1683700611,271669.2227710728,0.12683753783700757,0.023272455745716174,0.26948386422233916,28.350559029147693,5.0559124708581855,62.209816341883574
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2017,NH4,MT,12,12,140595.58007993773,102534.10430517694,177154.34857940496,0.11590893534405465,0.01927533771250379,0.25026881830689146,16.313059588149205,2.6002504667244293,35.95711074827292
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2017,NH4,ST,12,12,134367.03125826217,93217.43080411112,174795.1384201066,0.11032681691677194,0.017478968644877833,0.24306595863413194,14.887703199261704,2.5267083337239944,34.79285566270418
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2018,NH4,CT,10,10,195184.58254943683,100558.62656465429,300793.3542041449,0.12325302437524743,0.023583140382729316,0.2474542536052562,24.40271768902915,3.8090171840903135,57.17623458693764
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2018,NH4,MT,10,10,182910.06469350934,95643.0701905461,281566.4976569713,0.12081056559653412,0.025798099445698608,0.2451801937456346,22.310091786519052,3.357534898746633,51.48803875092527
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2018,NH4,ST,10,10,182710.2876195573,96802.50334790425,281786.719877522,0.12153529904512118,0.019204220054415716,0.24406947634191486,22.359555378949388,3.387805063776254,50.82566741243316
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2019,NH4,CT,2,2,45521.5029891098,27700.601655031387,64760.54735511522,0.1489406673286197,0,0.33198381828145807,6.844276784557694,0,17.046052017564826
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2019,NH4,MT,2,2,44909.551177299516,24999.1211939371,65315.19283440706,0.14847447451172618,0,0.3426048391171428,6.771304179522168,0,17.28859547228012
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2019,NH4,ST,2,2,45121.44241348826,24953.736777237278,65276.2459157626,0.15330756417840682,0,0.3555745317518014,6.9692584679453775,0,18.045389357673308
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2020,NH4,CT,14,14,203395.72415625447,142958.01600181483,264983.7436059621,0.10607585274254482,0.030136417069980055,0.20918661160709284,21.640345645052086,5.892294569725957,43.94533095464176
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2020,NH4,MT,14,14,164852.53578781293,116120.66170335689,209595.812930162,0.10942214267176692,0.026345465679257708,0.2122176730247753,18.083508018620737,4.103494266659423,37.58441228470452
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2020,NH4,ST,14,14,162558.153713379,118783.88687868629,202847.43210803525,0.10888096232762494,0.0258327625487646,0.20782048748879478,17.73583508838152,3.868282256440867,35.28615211620591
