Year,CT_mod_volume_kL_mean,MT_mod_volume_kL_mean,ST_mod_volume_kL_mean,CT_mod_volume_kL_low,MT_mod_volume_kL_low,ST_mod_volume_kL_low,CT_mod_volume_kL_high,MT_mod_volume_kL_high,ST_mod_volume_kL_high
2011,151.1372260446697,146.34683530550444,141.3845814893776,103.01096867819885,102.87568604063804,100.13479895893677,191.9619029975874,194.17623274410795,184.13449173221295
2012,221.16206070010276,205.11292910473722,186.66168719114094,135.07022603977376,144.85262514510143,128.10860908219047,304.8102733570377,267.84537599144926,248.54359612059278
2013,190.9831533558173,193.10437929627744,169.42957186765926,137.45397130257356,145.65342775791353,122.76991028966528,240.1432522527566,243.55186342235277,215.3717963782447
2014,152.33583174205668,102.94070584653116,106.25933937140861,116.73497314139664,61.8818527910972,68.65621759579858,190.22086473354238,146.72267729970517,142.76211205472092
2015,167.23788968380617,122.82575942610119,120.73633823896911,123.59529345629163,78.77612739067139,77.80967815074172,213.2939329038577,163.23512927808136,159.47859535869583
2016,54.11205693242262,30.71695578335853,37.59450277492942,30.050693028198285,9.693919429301124,16.997297326390438,79.42458014825925,51.27076448205554,58.39236591972651
2017,222.5848779290495,140.59558007993772,134.36703125826216,172.00516837006109,102.53410430517694,93.21743080411112,271.66922277107284,177.15434857940497,174.7951384201066
2018,195.18458254943684,182.91006469350933,182.71028761955728,100.55862656465429,95.6430701905461,96.80250334790425,300.7933542041449,281.56649765697125,281.786719877522
2019,45.521502989109806,44.90955117729952,45.12144241348826,27.700601655031388,24.9991211939371,24.95373677723728,64.76054735511522,65.31519283440706,65.2762459157626
2020,203.39572415625446,164.85253578781294,162.558153713379,142.95801600181483,116.12066170335689,118.78388687868629,264.9837436059621,209.595812930162,202.84743210803526
2021,185.05936596087946,143.03985128028066,144.68639752711792,133.02921465121963,90.39330587378215,94.8152110677681,238.01933682448336,203.55980011493375,198.0667725520251
2022,247.63619804491162,214.20549886105525,219.40520722516302,185.3214539641537,165.46982418928428,166.9491990005723,309.47151201023826,259.37758974362464,266.5655867427715
2023,256.2500159256672,256.6728902414498,237.43376107702238,207.86688041678946,206.04762364569467,192.90665916728264,307.5491527843118,311.82770726089643,283.1295963769149
2024,177.75240544183356,189.2333063071768,199.9537050056471,143.8048217870137,147.34853348904667,168.03374527291095,212.87000509031944,232.51299895476117,231.7101102964571
2025,276.0399121493964,287.81946768096407,281.7969159122469,217.86339724868267,229.33120648287294,228.27010776342686,332.9840228634976,347.18715965522915,349.42018965282506
Total,2746.392803605414,2425.286310871996,2370.098922685369,1977.0243063058535,1721.6210896284206,1699.208991483623,3522.9557039021865,3154.8991509481425,3062.2807495066136
