Year,analyte,treatment,Rep,n_expected_events,expected_irrigation_labels,n_observed_events,observed_irrigation_labels,load_plot_total_g,missing_irrigation_labels,plot_complete,incomplete_observed_subtotal_g
2011,ICP,CT,1,6,1;2;3;4;5;6,3,1;2;4,NA,3;5;6,FALSE,13.723216710000003
2011,ICP,CT,2,6,1;2;3;4;5;6,3,1;2;4,NA,3;5;6,FALSE,3.06005359
2011,ICP,MT,1,6,1;2;3;4;5;6,2,1;2,NA,3;4;5;6,FALSE,7.193563620000001
2011,ICP,MT,2,6,1;2;3;4;5;6,1,2,NA,1;3;4;5;6,FALSE,9.57161907
2011,ICP,ST,1,6,1;2;3;4;5;6,2,1;4,NA,2;3;5;6,FALSE,3.56454594
2011,ICP,ST,2,6,1;2;3;4;5;6,3,1;2;4,NA,3;5;6,FALSE,18.64428722
2011,NH4,CT,1,6,1;2;3;4;5;6,0,,NA,1;2;3;4;5;6,FALSE,NA
2011,NH4,CT,2,6,1;2;3;4;5;6,0,,NA,1;2;3;4;5;6,FALSE,NA
2011,NH4,MT,1,6,1;2;3;4;5;6,0,,NA,1;2;3;4;5;6,FALSE,NA
2011,NH4,MT,2,6,1;2;3;4;5;6,0,,NA,1;2;3;4;5;6,FALSE,NA
2011,NH4,ST,1,6,1;2;3;4;5;6,0,,NA,1;2;3;4;5;6,FALSE,NA
2011,NH4,ST,2,6,1;2;3;4;5;6,0,,NA,1;2;3;4;5;6,FALSE,NA
2011,NO2,CT,1,6,1;2;3;4;5;6,0,,NA,1;2;3;4;5;6,FALSE,NA
2011,NO2,CT,2,6,1;2;3;4;5;6,0,,NA,1;2;3;4;5;6,FALSE,NA
2011,NO2,MT,1,6,1;2;3;4;5;6,0,,NA,1;2;3;4;5;6,FALSE,NA
2011,NO2,MT,2,6,1;2;3;4;5;6,0,,NA,1;2;3;4;5;6,FALSE,NA
2011,NO2,ST,1,6,1;2;3;4;5;6,0,,NA,1;2;3;4;5;6,FALSE,NA
2011,NO2,ST,2,6,1;2;3;4;5;6,0,,NA,1;2;3;4;5;6,FALSE,NA
2011,NO3,CT,1,6,1;2;3;4;5;6,3,1;2;4,NA,3;5;6,FALSE,473.25315433000003
2011,NO3,CT,2,6,1;2;3;4;5;6,3,1;2;4,NA,3;5;6,FALSE,181.10370041
2011,NO3,MT,1,6,1;2;3;4;5;6,2,1;2,NA,3;4;5;6,FALSE,391.13338675
2011,NO3,MT,2,6,1;2;3;4;5;6,1,2,NA,1;3;4;5;6,FALSE,267.711951
2011,NO3,ST,1,6,1;2;3;4;5;6,2,1;4,NA,2;3;5;6,FALSE,427.35190800000004
2011,NO3,ST,2,6,1;2;3;4;5;6,3,1;2;4,NA,3;5;6,FALSE,541.94859328
2011,NOx,CT,1,6,1;2;3;4;5;6,0,,NA,1;2;3;4;5;6,FALSE,NA
2011,NOx,CT,2,6,1;2;3;4;5;6,0,,NA,1;2;3;4;5;6,FALSE,NA
2011,NOx,MT,1,6,1;2;3;4;5;6,0,,NA,1;2;3;4;5;6,FALSE,NA
2011,NOx,MT,2,6,1;2;3;4;5;6,0,,NA,1;2;3;4;5;6,FALSE,NA
2011,NOx,ST,1,6,1;2;3;4;5;6,0,,NA,1;2;3;4;5;6,FALSE,NA
2011,NOx,ST,2,6,1;2;3;4;5;6,0,,NA,1;2;3;4;5;6,FALSE,NA
2011,NPOC,CT,1,6,1;2;3;4;5;6,0,,NA,1;2;3;4;5;6,FALSE,NA
