Year,analyte,treatment,n_complete_plots,load_mean,load_low,load_high,load_sample_sd,load_se,load_minimum,load_maximum,n_events,n_complete_volume_plots,volume_mean,volume_low,volume_high,volume_sample_sd,volume_se,volume_minimum,volume_maximum,conc_mean,conc_low,conc_high,interval_type,volume_interval_type,completeness_definition,prob_ci
2011,ICP,CT,0,NA,NA,NA,NA,NA,NA,NA,12,1,95657.38,NA,NA,NA,NA,95657.38,95657.38,NA,NA,NA,none,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",NA
2011,ICP,MT,0,NA,NA,NA,NA,NA,NA,NA,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",NA
2011,ICP,ST,0,NA,NA,NA,NA,NA,NA,NA,12,1,145384.37,NA,NA,NA,NA,145384.37,145384.37,NA,NA,NA,none,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",NA
2011,NH4,CT,0,NA,NA,NA,NA,NA,NA,NA,12,1,95657.38,NA,NA,NA,NA,95657.38,95657.38,NA,NA,NA,none,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",NA
2011,NH4,MT,0,NA,NA,NA,NA,NA,NA,NA,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",NA
2011,NH4,ST,0,NA,NA,NA,NA,NA,NA,NA,12,1,145384.37,NA,NA,NA,NA,145384.37,145384.37,NA,NA,NA,none,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",NA
2011,NO2,CT,0,NA,NA,NA,NA,NA,NA,NA,12,1,95657.38,NA,NA,NA,NA,95657.38,95657.38,NA,NA,NA,none,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",NA
2011,NO2,MT,0,NA,NA,NA,NA,NA,NA,NA,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",NA
2011,NO2,ST,0,NA,NA,NA,NA,NA,NA,NA,12,1,145384.37,NA,NA,NA,NA,145384.37,145384.37,NA,NA,NA,none,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",NA
2011,NO3,CT,0,NA,NA,NA,NA,NA,NA,NA,12,1,95657.38,NA,NA,NA,NA,95657.38,95657.38,NA,NA,NA,none,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",NA
2011,NO3,MT,0,NA,NA,NA,NA,NA,NA,NA,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",NA
2011,NO3,ST,0,NA,NA,NA,NA,NA,NA,NA,12,1,145384.37,NA,NA,NA,NA,145384.37,145384.37,NA,NA,NA,none,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",NA
2011,NOx,CT,0,NA,NA,NA,NA,NA,NA,NA,12,1,95657.38,NA,NA,NA,NA,95657.38,95657.38,NA,NA,NA,none,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",NA
2011,NOx,MT,0,NA,NA,NA,NA,NA,NA,NA,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",NA
2011,NOx,ST,0,NA,NA,NA,NA,NA,NA,NA,12,1,145384.37,NA,NA,NA,NA,145384.37,145384.37,NA,NA,NA,none,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",NA
2011,NPOC,CT,0,NA,NA,NA,NA,NA,NA,NA,12,1,95657.38,NA,NA,NA,NA,95657.38,95657.38,NA,NA,NA,none,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",NA
2011,NPOC,MT,0,NA,NA,NA,NA,NA,NA,NA,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",NA
2011,NPOC,ST,0,NA,NA,NA,NA,NA,NA,NA,12,1,145384.37,NA,NA,NA,NA,145384.37,145384.37,NA,NA,NA,none,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",NA
2011,OP,CT,0,NA,NA,NA,NA,NA,NA,NA,12,1,95657.38,NA,NA,NA,NA,95657.38,95657.38,NA,NA,NA,none,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",NA
2011,OP,MT,0,NA,NA,NA,NA,NA,NA,NA,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",NA
2011,OP,ST,0,NA,NA,NA,NA,NA,NA,NA,12,1,145384.37,NA,NA,NA,NA,145384.37,145384.37,NA,NA,NA,none,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",NA
2011,Se,CT,0,NA,NA,NA,NA,NA,NA,NA,12,1,95657.38,NA,NA,NA,NA,95657.38,95657.38,NA,NA,NA,none,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",NA
2011,Se,MT,0,NA,NA,NA,NA,NA,NA,NA,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",NA
2011,Se,ST,0,NA,NA,NA,NA,NA,NA,NA,12,1,145384.37,NA,NA,NA,NA,145384.37,145384.37,NA,NA,NA,none,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",NA
2011,TDS,CT,0,NA,NA,NA,NA,NA,NA,NA,12,1,95657.38,NA,NA,NA,NA,95657.38,95657.38,NA,NA,NA,none,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",NA
2011,TDS,MT,0,NA,NA,NA,NA,NA,NA,NA,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",NA
2011,TDS,ST,0,NA,NA,NA,NA,NA,NA,NA,12,1,145384.37,NA,NA,NA,NA,145384.37,145384.37,NA,NA,NA,none,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",NA
2011,TKN,CT,0,NA,NA,NA,NA,NA,NA,NA,12,1,95657.38,NA,NA,NA,NA,95657.38,95657.38,NA,NA,NA,none,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",NA
2011,TKN,MT,0,NA,NA,NA,NA,NA,NA,NA,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",NA
