Year,Treatment,Rep,n_expected_volume_events,expected_irrigation_labels,n_observed_volume_events,observed_irrigation_labels,volume_plot_total_L,missing_irrigation_labels,plot_complete,incomplete_observed_subtotal_L
2011,CT,1,6,1;2;3;4;5;6,4,1;2;3;4,NA,5;6,FALSE,72045.59
2011,CT,2,6,1;2;3;4;5;6,6,1;2;3;4;5;6,95657.38,,TRUE,95657.38
2011,MT,1,6,1;2;3;4;5;6,3,1;2;3,NA,4;5;6,FALSE,90742.94
2011,MT,2,6,1;2;3;4;5;6,3,2;5;6,NA,1;3;4,FALSE,79689.4
2011,ST,1,6,1;2;3;4;5;6,5,1;3;4;5;6,NA,2,FALSE,134455.45
2011,ST,2,6,1;2;3;4;5;6,6,1;2;3;4;5;6,145384.37,,TRUE,145384.37
2012,CT,1,10,1;10;2;3;4;5;6;7;8;9,10,1;10;2;3;4;5;6;7;8;9,68231,,TRUE,68231
2012,CT,2,10,1;10;2;3;4;5;6;7;8;9,8,1;10;2;3;4;5;7;9,NA,6;8,FALSE,97526
2012,MT,1,10,1;10;2;3;4;5;6;7;8;9,7,2;3;4;5;7;8;9,NA,1;10;6,FALSE,164432
2012,MT,2,10,1;10;2;3;4;5;6;7;8;9,8,10;2;3;4;6;7;8;9,NA,1;5,FALSE,65662
2012,ST,1,10,1;10;2;3;4;5;6;7;8;9,7,1;10;2;4;5;8;9,NA,3;6;7,FALSE,84061
2012,ST,2,10,1;10;2;3;4;5;6;7;8;9,9,1;10;2;4;5;6;7;8;9,NA,3,FALSE,94096
2013,CT,1,7,1;2;3;4;5;6;7,5,3;4;5;6;7,NA,1;2,FALSE,78443
2013,CT,2,7,1;2;3;4;5;6;7,6,2;3;4;5;6;7,NA,1,FALSE,138635
2013,MT,1,7,1;2;3;4;5;6;7,4,2;3;6;7,NA,1;4;5,FALSE,120812
2013,MT,2,7,1;2;3;4;5;6;7,5,2;3;5;6;7,NA,1;4,FALSE,138376
2013,ST,1,7,1;2;3;4;5;6;7,6,2;3;4;5;6;7,NA,1,FALSE,168744
2013,ST,2,7,1;2;3;4;5;6;7,6,2;3;4;5;6;7,NA,1,FALSE,57914
2014,CT,1,5,1;2;3;4;5,4,1;2;3;4,NA,5,FALSE,93962.62
2014,CT,2,5,1;2;3;4;5,4,1;2;3;4,NA,5,FALSE,180324.59
2014,MT,1,5,1;2;3;4;5,3,1;2;4,NA,3;5,FALSE,29741.4
2014,MT,2,5,1;2;3;4;5,3,1;3;4,NA,2;5,FALSE,53190.6
