analyte,CT,MT,ST,MT reduction from CT,ST reduction from CT
NH4,"0.31 (0.18, 0.48)","0.28 (0.14, 0.43)","0.27 (0.14, 0.43)","11.4% (-20.7%, 36.5%)","13.5% (-13.7%, 38.0%)"
NO2,"1.02 (0.50, 1.81)","0.83 (0.41, 1.51)","0.79 (0.39, 1.43)","17.6% (-14.7%, 43.1%)","21.2% (-8.2%, 46.3%)"
NO3,"19.48 (16.52, 22.72)","17.41 (14.75, 20.36)","16.75 (14.02, 19.56)","10.4% (-3.7%, 22.8%)","13.8% (1.0%, 25.9%)"
OP,"0.46 (0.31, 0.63)","0.46 (0.33, 0.61)","0.44 (0.31, 0.57)","-1.2% (-27.9%, 19.6%)","3.4% (-19.5%, 23.1%)"
Se,"0.02 (0.01, 0.02)","0.01 (0.01, 0.02)","0.01 (0.01, 0.02)","18.3% (4.8%, 30.1%)","20.1% (7.9%, 31.7%)"
TDS,"2385.63 (1840.55, 2971.00)","2209.96 (1735.15, 2753.21)","2154.88 (1689.78, 2650.66)","7.0% (-8.8%, 20.0%)","9.3% (-4.8%, 22.3%)"
TKN,"9.46 (6.53, 12.94)","7.54 (5.13, 10.44)","7.66 (5.13, 10.78)","19.8% (-3.5%, 37.6%)","18.7% (-3.2%, 37.7%)"
TN,"16.78 (10.42, 24.66)","14.51 (8.69, 22.11)","14.01 (8.13, 21.03)","13.4% (-6.9%, 31.4%)","16.4% (-1.5%, 33.5%)"
TP,"2.15 (0.67, 4.51)","2.44 (1.04, 4.53)","2.07 (0.66, 3.98)","-21.4% (-91.4%, 19.9%)","-0.1% (-44.7%, 34.3%)"
TSS,"2893.12 (1258.29, 5275.43)","2460.72 (1074.94, 4415.72)","2210.90 (873.20, 4037.37)","13.9% (-13.7%, 38.3%)","23.2% (-1.6%, 46.6%)"
