model_version,source,interval_prob,Year,analyte,treatment,n_events,n_rows,volume_mean,volume_low,volume_high,conc_mean,conc_low,conc_high,load_mean,load_low,load_high
v1p7p4,Bayes_Modeled,0.95,2011,NH4,CT,12,12,405649.15824972437,387718.78745849244,422905.3422644907,0.09208952223943596,-0.007210703785247092,0.18593124262231348,37.360205569312974,-2.9108275833753434,76.36965390828728
v1p7p4,Bayes_Modeled,0.95,2011,NH4,MT,12,12,419618.6447208219,404096.7476804587,434340.2652161842,0.09856421737494199,-0.006424925068149626,0.19989219307086467,41.36786374190054,-2.6878218647597896,84.72423898526267
v1p7p4,Bayes_Modeled,0.95,2011,NH4,ST,12,12,420443.12749503576,404032.61556670576,435991.93963968835,0.09894635558872358,-0.007120574237397479,0.20286086118387553,41.609960777787485,-2.932972838308039,85.87714681471778
v1p7p4,Bayes_Modeled,0.95,2012,NH4,CT,16,16,541074.6423254262,517289.75892404374,564003.886894135,0.0790952942953484,-0.020965717960518496,0.1758986554402842,42.811940416937034,-11.45260031292584,95.82696475267892
v1p7p4,Bayes_Modeled,0.95,2012,NH4,MT,18,18,628282.8521170468,605723.8673380705,650029.9435865328,0.08427272180545736,-0.017141459364025044,0.17827137990289832,52.96374909619922,-11.087023254737625,112.8435835563428
v1p7p4,Bayes_Modeled,0.95,2012,NH4,ST,16,16,557379.9343004702,538165.8151127505,575943.6680976944,0.08413422375728012,-0.016041269710344454,0.1794265460815005,46.90699509780307,-9.024130177807452,100.5578829555175
v1p7p4,Bayes_Modeled,0.95,2013,NH4,CT,14,14,529136.6850017627,509392.5750140158,548345.8314174614,0.10372626428832518,-0.02545700495550125,0.23182783972388263,54.89345821891796,-13.511928964524037,122.95026772107084
v1p7p4,Bayes_Modeled,0.95,2013,NH4,MT,14,14,530162.7080096733,510368.7216626853,549506.2716337579,0.10081436315920682,-0.029676549245826044,0.2319347779225885,53.46017976062036,-15.735281904942246,122.79264438184181
v1p7p4,Bayes_Modeled,0.95,2013,NH4,ST,14,14,530162.7080096733,510368.7216626853,549506.2716337577,0.10413387838302554,-0.024609801215572914,0.2329191762739844,55.2158399398659,-13.14405767562971,124.64557370146332
v1p7p4,Bayes_Modeled,0.95,2014,NH4,CT,25,25,867560.9802553564,838764.0293364234,895715.8089387768,0.1056027332766796,0.028268657254532925,0.1729448360374679,91.63861301530815,24.15535015962841,151.07403078311802
v1p7p4,Bayes_Modeled,0.95,2014,NH4,MT,8,8,279749.4275151,269401.03072230326,289564.15442490246,0.10043809852631262,0.020941776103529368,0.1723902057846499,28.107087724238383,5.810634519277389,48.90305780452847
v1p7p4,Bayes_Modeled,0.95,2014,NH4,ST,24,24,839248.2825452999,808203.0921669097,868692.4632747073,0.10755448082785694,0.026084495518120168,0.17833005791171863,90.29025956280397,21.727466342380186,152.20511621407363
v1p7p4,Bayes_Modeled,0.95,2015,NH4,CT,22,22,736818.9542898783,707063.643104223,765332.910352341,0.09567789590474464,0.06625644724639568,0.12535095855138476,70.49793849191947,48.691491866224666,93.4594896909878
v1p7p4,Bayes_Modeled,0.95,2015,NH4,MT,22,22,662751.6129143982,643581.2454158489,681089.3802391224,0.09336702673503801,0.06865066487022856,0.11652558869167796,61.880859754765,45.542925002474206,77.50801441896274
v1p7p4,Bayes_Modeled,0.95,2015,NH4,ST,22,22,637927.0399787229,617875.5981586806,657320.7949576838,0.09553395699168048,0.06989663237762997,0.12151335306868001,60.94470700933297,44.600066684222654,77.72765073558776
v1p7p4,Bayes_Modeled,0.95,2016,NH4,CT,8,8,187715.76369038003,166015.52264682698,209006.4502233719,0.1312376908053615,0.10040973423612783,0.16441325229768244,24.64077284702315,18.30212593490804,32.03514326614081
v1p7p4,Bayes_Modeled,0.95,2016,NH4,MT,8,8,161035.9461907516,139115.39204391837,182355.89568654395,0.12476555717360313,0.0937088084625782,0.15606351674387203,20.09580877693321,14.61271751230393,26.27433605524967
v1p7p4,Bayes_Modeled,0.95,2016,NH4,ST,8,8,159442.9188133929,137552.6678716954,180818.12598255638,0.12778432823974462,0.09744103472506771,0.1587590646188073,20.380941855781973,14.803812385714888,26.594290588055628
v1p7p4,Bayes_Modeled,0.95,2017,NH4,CT,30,30,1103224.3126292403,1057789.6717316764,1148548.3631170958,0.11073546978543428,3.122072796958098e-5,0.21288074924889494,122.20789439280367,0.031401827822609474,237.6245184059128
v1p7p4,Bayes_Modeled,0.95,2017,NH4,MT,24,24,738030.6066739655,712498.0061983637,762678.6983188847,0.10572577451375631,-0.00606079362617043,0.20448429033677282,78.01560023743491,-4.455520915673479,150.92010886658736
v1p7p4,Bayes_Modeled,0.95,2017,NH4,ST,29,29,864783.2483551763,831724.6870982484,896437.3713042366,0.10829974373005546,-0.005515275082745921,0.20991992003198717,93.63558287851397,-4.858903975165691,182.91869970965567
v1p7p4,Bayes_Modeled,0.95,2018,NH4,CT,10,10,404392.2445026808,240112.56998569716,550009.6691093738,0.11663525389371275,0.0022778614702266874,0.21975391763293073,47.71412136095037,0.8221885078606093,103.5924697427234
v1p7p4,Bayes_Modeled,0.95,2018,NH4,MT,10,10,389782.62877167034,226611.8549248423,535346.0860535142,0.11547846282954903,-0.0023685812299039577,0.21714759118652682,45.464553906812846,-0.9860908896012139,97.89099168053215
v1p7p4,Bayes_Modeled,0.95,2018,NH4,ST,10,10,387940.20949531614,224559.25256600612,533534.902908766,0.11858211685308483,0.004034644154896264,0.21840989700743924,46.487780076087176,1.2241649763489995,99.5083881014564
v1p7p4,Bayes_Modeled,0.95,2019,NH4,CT,2,2,99833.36023354936,96421.22056570109,103166.5059842678,0.14407044733095492,0.025854747787861013,0.2697357484373393,14.381998032912616,2.5600716050984653,26.922263484803985
v1p7p4,Bayes_Modeled,0.95,2019,NH4,MT,2,2,99833.36023354936,96421.22056570109,103166.5059842678,0.1407509321071362,0.01904698765582785,0.26423458476997774,14.05103655941136,1.9293417869379885,26.897900949417785
v1p7p4,Bayes_Modeled,0.95,2019,NH4,ST,2,2,99833.36023354936,96421.22056570109,103166.5059842678,0.14407044733095492,0.025854747787861013,0.2697357484373393,14.381998032912616,2.5600716050984653,26.922263484803985
v1p7p4,Bayes_Modeled,0.95,2020,NH4,CT,20,20,700395.0113358038,673438.4846170978,725857.6506335139,0.09988205119500489,0.028978701398057274,0.1686821474742945,69.96273723304502,19.733110063119454,118.07173290529501
v1p7p4,Bayes_Modeled,0.95,2020,NH4,MT,20,20,563280.6972546937,545234.2553285726,580956.0729125333,0.08877873576951742,0.020589843067686124,0.15503124286735712,50.00153656038646,11.401872457553287,87.30589416341249
v1p7p4,Bayes_Modeled,0.95,2020,NH4,ST,20,20,568257.7884632539,549404.076061919,586701.0835346084,0.09274614976582707,0.024165777031067814,0.15943008662235925,52.696654432404856,13.772508039435653,90.71256038336486
v1p7p4,Bayes_Modeled,0.95,2021,NH4,CT,31,31,1032858.6477659189,987675.5002117107,1076424.9734392534,0.08878516249487933,0.0018337181236034237,0.16938526882092414,91.69616953736377,1.9395127662512281,176.80485355497945
v1p7p4,Bayes_Modeled,0.95,2021,NH4,MT,31,31,770084.7771049154,733487.4129041471,807240.5015330799,0.07979582889244352,-0.030426887396633486,0.17753584725470778,61.48058212310955,-23.355012507024572,138.1214931873058
v1p7p4,Bayes_Modeled,0.95,2021,NH4,ST,29,29,756434.934646085,727403.925702287,786282.8642576997,0.08530603472268151,-0.019696993871373872,0.1770991916844209,64.54965876443704,-15.014343647475666,134.63858586116308
v1p7p4,Bayes_Modeled,0.95,2022,NH4,CT,45,45,1524356.2578078539,1477773.4716641852,1569261.2112943619,0.09190007810339114,0.005807449186823827,0.17518581235090164,140.11650866722192,8.730102845753603,263.81864362180244
v1p7p4,Bayes_Modeled,0.95,2022,NH4,MT,47,47,1436878.4444847954,1401914.7500933283,1470962.269960918,0.08507352103740294,-0.001049843327396693,0.16830721937095708,122.26144318652399,-1.5050881391100122,243.02384937047154
v1p7p4,Bayes_Modeled,0.95,2022,NH4,ST,47,47,1465315.7379151592,1429214.2913231642,1499638.2663143328,0.08896648165731087,-7.802985397905351e-4,0.17340053486359766,130.38187562078704,-1.1482916410521316,256.9096282995729
v1p7p4,Bayes_Modeled,0.95,2023,NH4,CT,45,45,1856382.3157686682,1807016.6906154684,1906052.31516508,0.11151577516501021,0.0030913560601158446,0.21676860239010215,207.02022208225938,5.717922152188539,405.64461943754276
v1p7p4,Bayes_Modeled,0.95,2023,NH4,MT,51,51,1988228.58429156,1943722.148908148,2035458.1665055782,0.10917669441620181,6.929941256301323e-4,0.21318332034733026,217.05016137008425,1.3793626248422024,421.569171984297
v1p7p4,Bayes_Modeled,0.95,2023,NH4,ST,45,45,1723042.8043083188,1687149.8451179808,1759880.6467784392,0.10926345803613226,-0.0010713002268989869,0.21357160137660192,188.24137440486712,-1.8778570387180735,365.8858786556476
v1p7p4,Bayes_Modeled,0.95,2024,NH4,CT,32,32,1597333.7637367898,1542739.5290512175,1650664.0957482848,0.1317305771484204,-0.0010093666865064735,0.25686550500816296,210.4294557051916,-1.6171562020331243,414.0180138918319
v1p7p4,Bayes_Modeled,0.95,2024,NH4,MT,32,32,1597333.7637367898,1542739.5290512175,1650664.0957482848,0.13188898406826158,-7.208912349913654e-4,0.25736119256836976,210.68246957318962,-1.157698033326737,414.52845130402955
v1p7p4,Bayes_Modeled,0.95,2024,NH4,ST,32,32,1597333.7637367898,1542739.5290512175,1650664.0957482848,0.13186028744570194,-8.597765035326007e-4,0.25673751372331355,210.63662118253515,-1.380757873218852,414.0568676706276
v1p7p4,Bayes_Modeled,0.95,2025,NH4,CT,58,58,1989421.0283824287,1925049.2756682942,2051451.2920074165,0.09321534509974663,-0.007635231743495105,0.20066082468434318,185.48119908094853,-15.281413323324688,400.5473334289446
