model_version,source,interval_prob,Year,analyte,treatment,n_events,load_mean,load_low,load_high,volume_mean,volume_low,volume_high,conc_mean,conc_low,conc_high
v1p7p5,Observed,0.95,2011,ICP,CT,6,16.7832703,4.81005935,36.305246293749995,82714.57,47898.91625000001,120176.10199999997,0.20290585201615627,0.08755438213487873,0.318859064020855
v1p7p5,Observed,0.95,2011,ICP,MT,3,16.765182690000003,7.18948638,28.71485721,87865,63065.67,110018.61000000002,0.190806153644796,0.114,0.26099999999999995
v1p7p5,Observed,0.95,2011,ICP,ST,5,22.20883316,5.84064504,47.84592558,123379.26,52232.229999999996,208508.08000000002,0.1800045903987429,0.06898563972246084,0.40185428051844335
v1p7p5,Observed,0.95,2012,ICP,CT,10,21.589084,8.970898725000005,34.83012579999999,96259,58602.4,131020.25,0.2242811996800299,0.1047609026838765,0.34665545740901865
v1p7p5,Observed,0.95,2012,ICP,MT,7,56.271254000000006,18.188816,100.93979139999999,145992,110462,183074.05,0.38544066798180726,0.12070310961839133,0.6539077998956074
v1p7p5,Observed,0.95,2012,ICP,ST,5,22.828858,8.163863,42.545865,86096,54640.375000000015,118707,0.26515584928451963,0.10997710817565157,0.44192952757421355
v1p7p5,Observed,0.95,2013,ICP,CT,5,5.236666,2.1711995500000003,7.914457674999998,84140,48014,126551.37499999994,0.062237532683622525,0.042113639727041026,0.08165616994396808
v1p7p5,Observed,0.95,2013,ICP,MT,4,11.241752,6.705246,16.408494,100647,91176,114385,0.11169485429272606,0.06753856686444545,0.1600046605496952
v1p7p5,Observed,0.95,2013,ICP,ST,6,8.82342,3.300178750000001,14.444132,109085,64612,153558,0.08088573131044598,0.04077649185796316,0.1147430377964762
v1p7p5,Observed,0.95,2015,NH4,CT,20,34.66040076,20.579686340750005,48.22417233224999,436607.38,382523.43525000004,481698.4485,0.07938574185347028,0.04818760002758934,0.10776521134412219
v1p7p5,Observed,0.95,2015,NH4,MT,20,19.04680961,9.953828142000003,27.930333413749995,186492.58,138839.50575,240634.35874999998,0.1021317288333938,0.06814444137906822,0.12624934126935367
v1p7p5,Observed,0.95,2015,NH4,ST,18,11.429592490000001,5.822581178750001,17.935721803499998,150763.38999999998,115175.87400000001,189891.10975,0.07581145853777899,0.03579617938072091,0.11798756908746517
v1p7p5,Observed,0.95,2016,NH4,CT,8,49.57943184,22.9153089145,75.37009996449997,306451.77999999997,246738.09999999998,382527.25,0.16178542620963077,0.06329303698669006,0.30186168522105317
v1p7p5,Observed,0.95,2016,NH4,MT,8,3.5344203000000003,2.2318126705,5.245757357499997,41283,27077.22475000001,60205.34,0.08561442482377735,0.057462721409863284,0.12012252699321353
v1p7p5,Observed,0.95,2016,NH4,ST,8,11.28472356,8.3255124825,13.916835568499998,156399.24,90059.91,210567.9,0.07215331455574849,0.05483206190435638,0.11137847482181504
v1p7p5,Observed,0.95,2023,NO2,CT,40,0,0,0,1647312.4000000001,1415508.24425,1920255.0480000002,0,0,0
v1p7p5,Observed,0.95,2023,NO2,MT,45,0,0,0,2117365.43,1905914.69575,2310584.83275,0,0,0
v1p7p5,Observed,0.95,2023,NO2,ST,41,7.147506170000001,0,21.442518510000003,1541566.8599999999,1370642.0415,1696066.3514999999,0.004636520384201825,0,0.014197863782068538
v1p7p5,Observed,0.95,2024,NO2,CT,16,10.076173610000001,0,25.7452894,760759.5,649111.467,894726.5205,0.013244886997796284,0,0.03492634667674663
v1p7p5,Observed,0.95,2024,NO2,MT,14,0,0,0,852500.98,636711.0925,1085871.1024999998,0,0,0
v1p7p5,Observed,0.95,2024,NO2,ST,23,7.150305,0,21.450915000000002,1201750.75,997396.26875,1398264.86775,0.005949906833842209,0,0.019620153567226496
v1p7p5,Observed,0.95,2025,NO2,CT,44,1629.01341265,1509.9453551645,1736.57535509475,2008642.38,1885409.8417500001,2132618.0657499996,0.8110022116779195,0.7969029475331285,0.8248142502606778
v1p7p5,Observed,0.95,2025,NO2,MT,34,1511.15661436,1347.341944097,1674.022222853,1833373.02,1667644.0387499998,2011447.42525,0.8242494014447753,0.8039855664438286,0.8436028954465911
v1p7p5,Observed,0.95,2025,NO2,ST,44,1953.3674355800001,1796.2086783190002,2131.8338257777505,2371308.14,2204557.45725,2555049.2925,0.8237509932302598,0.8070226444778845,0.8368440975106932
v1p7p5,Observed,0.95,2011,NO3,CT,6,654.35685474,409.39948663,944.5388808000001,82714.57,52240.59,119219.94,7.911022867434358,7.552534776644847,8.253968538540622
v1p7p5,Observed,0.95,2011,NO3,MT,3,658.84533775,502.44419289,803.135853,87865,63065.67,110018.61000000002,7.498382037785238,7.299999999999999,7.9670000000000005
v1p7p5,Observed,0.95,2011,NO3,ST,5,969.30050128,401.83590401,1601.582197475,123379.26,52232.229999999996,199200.55999999997,7.856267749377003,7.540063742772495,8.017200353036262
v1p7p5,Observed,0.95,2012,NO3,CT,12,761.620846,389.99326270000006,1084.7397759249998,96259,50861.62500000001,137899.77500000002,7.912204012092376,7.131419322988627,8.85812104153792
