analyte,CT,MT,ST
NH4,"1.39 (0.20, 2.88)","1.17 (0.14, 2.51)","1.24 (0.17, 2.61)"
NO3,"88.83 (82.01, 96.78)","78.16 (72.07, 85.23)","81.49 (75.21, 88.78)"
NO2,"4.01 (1.25, 12.74)","2.98 (1.02, 9.70)","3.31 (1.09, 10.89)"
OP,"2.10 (1.26, 3.19)","2.00 (1.24, 2.95)","2.01 (1.26, 2.97)"
Se,"0.09 (0.06, 0.12)","0.07 (0.05, 0.10)","0.08 (0.05, 0.10)"
TDS,"12582.99 (10179.71, 15005.98)","11288.53 (9254.21, 13334.11)","11623.28 (9472.13, 13822.24)"
TKN,"24.62 (15.73, 34.48)","17.05 (10.08, 25.46)","18.02 (10.58, 26.89)"
TN,"78.99 (12.52, 159.44)","72.86 (10.47, 149.31)","74.85 (11.63, 151.92)"
TP,"14.01 (7.56, 22.41)","11.90 (6.81, 19.01)","11.98 (6.95, 19.19)"
TSS,"18609.14 (11623.52, 26631.15)","13600.51 (8538.83, 20174.73)","14578.10 (9143.74, 21531.04)"
