analyte,CT,MT,ST,MT reduction from CT,ST reduction from CT
NH4,"1.47 (0.63, 2.40)","1.15 (0.30, 1.94)","1.23 (0.43, 2.05)","21.9% (0.7%, 47.5%)","13.8% (-4.7%, 34.3%)"
NO3,"87.53 (79.75, 95.37)","76.89 (71.74, 82.49)","78.83 (73.44, 84.22)","12.0% (5.6%, 18.8%)","9.8% (2.6%, 17.3%)"
NO2,"-0.63 (-4.88, 4.77)","-1.50 (-4.83, 2.73)","-1.04 (-4.73, 3.94)","214.4% (-0.1%, 1388.7%)","120.9% (-146.0%, 882.7%)"
OP,"1.80 (1.27, 2.31)","1.73 (1.37, 2.11)","1.76 (1.39, 2.15)","2.4% (-21.9%, 20.4%)","1.2% (-18.3%, 18.2%)"
Se,"0.09 (0.07, 0.11)","0.07 (0.06, 0.09)","0.08 (0.06, 0.09)","18.3% (12.3%, 24.4%)","15.7% (9.7%, 21.9%)"
TDS,"12429.30 (10823.78, 13978.44)","11093.07 (9948.07, 12294.48)","11288.39 (10072.15, 12584.37)","10.6% (3.4%, 17.4%)","9.1% (2.6%, 16.0%)"
TKN,"22.74 (17.74, 27.84)","15.58 (11.82, 19.71)","16.57 (13.01, 20.52)","31.3% (17.6%, 43.7%)","26.9% (14.1%, 38.4%)"
TN,"92.34 (58.55, 131.30)","74.50 (42.45, 111.05)","76.01 (45.02, 111.86)","19.6% (10.1%, 31.0%)","17.8% (9.4%, 26.3%)"
TP,"12.25 (8.14, 16.70)","10.13 (7.03, 13.53)","10.06 (7.19, 12.96)","15.9% (-11.3%, 37.6%)","16.6% (-9.6%, 35.4%)"
TSS,"17927.24 (13832.95, 22092.88)","12588.11 (9478.57, 15414.33)","13525.35 (10877.62, 16316.99)","29.4% (15.9%, 42.4%)","24.2% (11.3%, 35.3%)"
