metric,value
N_concentration_rows,10804
E_n_physical_events,517
J_VOL_genuine_volume_observations,370
VIN_n_physical_event_units,517
nonmissing_raw_volume_rows,6965
copied_volume_rows_removed_by_preflight,9369
conflicting_VIN_event_groups,0
rows_per_event_min,1
rows_per_event_median,20
rows_per_event_mean,20.897485493230175
rows_per_event_max,60
missing_C_raw,5488
missing_CIN,5551
missing_VIN,4209
missing_VIN_event,193
events_without_volume_likelihood_row,186
missing_RES_unit,36
E_bounds_ok,1
E_rep_row_bounds_ok,1
VIN_E_bounds_ok,1
