model_version,source,interval_prob,interval_type,Year,analyte,treatment,n_events,n_rows,n_complete_plots,n_complete_volume_plots,volume_mean,volume_low,volume_high,conc_mean,conc_low,conc_high,load_mean,load_low,load_high
v3p2_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2011,NH4,CT,12,12,NA,NA,151524.46913860942,104661.86751567174,193438.44931069255,0.12132008203301324,0.01224576832727298,0.28208317578753234,18.377895033758058,1.5451198349912316,44.11265091247151
v3p2_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2011,NH4,MT,12,12,NA,NA,147176.7889882323,101613.10720344556,194677.34444098838,0.12440261770522534,0.013138927347395347,0.29025288292583384,18.354229454348445,1.862041372616849,45.13552527019894
v3p2_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2011,NH4,ST,12,12,NA,NA,141033.54505905646,102106.21930198856,180927.69590501286,0.12049040029346847,0.01119196862883928,0.2907024040733557,17.02567449565405,1.5589318411393078,42.93838105825277
v3p2_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2012,NH4,CT,20,20,NA,NA,225479.8441497865,135107.27782391728,316325.3933147997,0.10269608117635869,0.005541399304049887,0.2695997476778954,23.06471000020075,1.1160185357147019,62.12560534536703
v3p2_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2012,NH4,MT,20,20,NA,NA,206146.27024705886,141857.16984314687,266761.22120205616,0.11370899752280735,0.009429159118878962,0.27558248551540243,23.47449504818755,1.7224161286488506,60.102987063230955
v3p2_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2012,NH4,ST,20,20,NA,NA,189587.02157850587,123186.78549145345,251770.66315707855,0.10116982125766888,0.006883239136943663,0.2581629455214139,19.24812001729047,1.3236902721153228,51.588193015971086
v3p2_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2013,NH4,CT,14,14,NA,NA,190405.6581960947,138414.0725455627,240194.27541463287,0.1189815232581323,0.009113198126298391,0.3208223593138074,22.544291691686837,1.5864661991455435,60.19564420372259
v3p2_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2013,NH4,MT,14,14,NA,NA,191244.9545321349,142158.03281999036,244209.19470865643,0.1217470106078642,0.007118331688016269,0.31157845606975465,23.230299274727404,1.5648767427019226,59.57037498353258
v3p2_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2013,NH4,ST,14,14,NA,NA,169766.3746634449,121709.16560190945,214365.25455995114,0.11781919249638255,0.008956098738170382,0.29773515278392293,19.93912299146706,1.4330227658239334,50.98334152368503
v3p2_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2014,NH4,CT,10,10,NA,NA,151687.12860457072,116723.29640758752,190287.8388470094,0.13317358915415511,0.0267824701587019,0.2691548640794422,20.25722449386646,3.8668557539522848,44.15325583067077
