Year,CT,MT,ST
2011,"152 (105, 193)","147 (102, 195)","141 (102, 181)"
2012,"225 (135, 316)","206 (142, 267)","190 (123, 252)"
2013,"190 (138, 240)","191 (142, 244)","170 (122, 214)"
2014,"152 (117, 190)","103 (61, 146)","106 (68, 147)"
2015,"166 (121, 214)","124 (78, 167)","123 (75, 165)"
2016,"53 (29, 80)","30 (9, 50)","37 (16, 60)"
2017,"220 (165, 275)","146 (106, 184)","138 (92, 181)"
2018,"198 (98, 328)","188 (93, 312)","188 (91, 317)"
2019,"47 (27, 66)","47 (26, 67)","47 (28, 66)"
2020,"199 (137, 269)","167 (116, 210)","166 (123, 206)"
2021,"180 (128, 232)","150 (89, 214)","152 (102, 206)"
2022,"244 (181, 310)","211 (160, 259)","218 (164, 269)"
2023,"255 (208, 307)","255 (204, 312)","236 (192, 284)"
2024,"183 (147, 218)","198 (161, 238)","201 (169, 232)"
2025,"275 (219, 335)","270 (214, 340)","276 (219, 350)"
Total,"2739 (1955, 3574)","2434 (1704, 3205)","2387 (1686, 3129)"
Total,"2739 (1955, 3574)","2434 (1704, 3205)","2387 (1686, 3129)"
