Year,CT_mod_volume_kL_mean,MT_mod_volume_kL_mean,ST_mod_volume_kL_mean,CT_mod_volume_kL_low,MT_mod_volume_kL_low,ST_mod_volume_kL_low,CT_mod_volume_kL_high,MT_mod_volume_kL_high,ST_mod_volume_kL_high
2011,151.52446913860942,147.1767889882323,141.03354505905645,104.66186751567173,101.61310720344555,102.10621930198856,193.43844931069256,194.67734444098838,180.92769590501285
2012,225.47984414978652,206.14627024705885,189.58702157850587,135.1072778239173,141.85716984314686,123.18678549145345,316.3253933147997,266.76122120205616,251.77066315707856
2013,190.40565819609472,191.2449545321349,169.7663746634449,138.4140725455627,142.15803281999035,121.70916560190945,240.19427541463287,244.20919470865644,214.36525455995113
2014,151.68712860457072,102.66684429079585,105.91714058518231,116.72329640758753,61.359618021782154,68.36621178520952,190.2878388470094,146.2604297541773,146.66650613967445
2015,165.64997486503728,124.04674958557307,122.9480981438462,121.28002433792437,78.48250803415308,75.16285839092184,213.66206610343463,167.3254945698747,165.3341490543353
2016,53.40032051732267,29.698171130976,36.869814529672745,28.63617085318238,8.662479133001586,15.546268250789403,80.03777704944022,50.10409058117463,60.45920781263619
2017,219.60404449589507,146.20404502745376,138.0131629042366,165.1413739129547,106.04001289521234,92.19733834684592,275.32300465224137,184.23234267232374,181.3682676138659
2018,197.90350067635453,187.91235133042903,187.99482123713864,98.20504506403476,93.16800322428378,91.4789121790331,327.88846990020454,311.9706218327985,316.60952282645343
2019,46.613497287881515,46.92058892137945,46.94877324161297,26.913920858126986,26.37780900666082,27.72185509531016,65.82665255359093,66.79041549622926,65.7361075753483
2020,199.28102533104985,167.40540232755802,166.11332278645426,137.21066977845848,116.33607904036113,123.1464172160386,268.93993480429265,209.8649125667122,206.18832325273866
2021,180.18101041384182,150.06080788368192,151.66046446274657,127.92598881037313,89.48069902064454,101.93101904193989,231.88000524149328,213.97709029036562,206.21532903281565
2022,244.15135711020616,211.3557687509527,217.65909462639388,180.85068335469452,159.60100710501317,163.75056842874903,310.31750194272183,258.9709320938319,268.717250817785
2023,254.6571777332203,255.0116272992747,235.82162729397413,207.52480364658706,204.4638674900459,192.1603331772723,307.12464253613996,311.99845455503015,283.50034159520635
2024,183.17678932120157,197.5568470461081,200.61384459435783,147.47013655011858,160.76730562563637,169.1700477749682,217.82125888652365,237.70313521048868,231.51610600297957
2025,275.2444700319006,270.1025243293966,276.1124683316665,218.81470090365653,213.66354961363874,218.77274166479316,334.8405469352468,339.7116787319091,349.89142448106804
Total,2738.9602678729725,2433.5097416910053,2387.05957403829,1954.8800323628507,1704.0312480770165,1686.4067417472227,3573.9078174924643,3204.557358706617,3129.2661498269495
