PhysicalEventID,Year,Irrigation,Rep,Treatment,Analyte,Concentration_mg_L,ConcentrationObservationIDs,Volume_L,VolumeObservationIDs,Load_kg,ObservedEventLoadComplete
PE_003510690d55f2e080ab,2015,2,2,CT,NH4,0.14,CO_53a34f282549c82120cc;CO_ee8621197232afef4ae5,25518.47,VO_cd3b1c5d251c27ed3ea4,0.0035725858000000004,TRUE
PE_003510690d55f2e080ab,2015,2,2,CT,NO2,NA,NA,25518.47,VO_cd3b1c5d251c27ed3ea4,NA,FALSE
PE_003510690d55f2e080ab,2015,2,2,CT,NO3,8.185,CO_94ca7771bcbfb3a51a6f;CO_d7238b16367eafcdb1f8,25518.47,VO_cd3b1c5d251c27ed3ea4,0.20886867695000003,TRUE
PE_003510690d55f2e080ab,2015,2,2,CT,OP,0.005,CO_16badfc6202cb3f8889e;CO_5966abd0cbfc86f98a18,25518.47,VO_cd3b1c5d251c27ed3ea4,1.2759235e-4,TRUE
PE_003510690d55f2e080ab,2015,2,2,CT,Se,NA,NA,25518.47,VO_cd3b1c5d251c27ed3ea4,NA,FALSE
PE_003510690d55f2e080ab,2015,2,2,CT,TDS,NA,NA,25518.47,VO_cd3b1c5d251c27ed3ea4,NA,FALSE
PE_003510690d55f2e080ab,2015,2,2,CT,TKN,1.405,CO_6f55c275672e833ad1cb,25518.47,VO_cd3b1c5d251c27ed3ea4,0.035853450349999996,TRUE
PE_003510690d55f2e080ab,2015,2,2,CT,TN,9.299,CO_57945cc3fe4c0a8626a3;CO_7c1b5e2043fb748597cd,25518.47,VO_cd3b1c5d251c27ed3ea4,0.23729625253,TRUE
PE_003510690d55f2e080ab,2015,2,2,CT,TP,2.083,CO_ce0d320a502ecee73ce0,25518.47,VO_cd3b1c5d251c27ed3ea4,0.05315497301000001,TRUE
PE_003510690d55f2e080ab,2015,2,2,CT,TSS,1532,CO_b6362f6e9cf7498399fc;CO_bf8f14e8bb4dadb1a5c4,25518.47,VO_cd3b1c5d251c27ed3ea4,39.094296039999996,TRUE
PE_007bf9724431b43650d7,2025,7,1,ST,NH4,NA,NA,52872.975000000006,VO_0f5153ce4fa137d73df5;VO_50ee1122e2c46576be74,NA,FALSE
PE_007bf9724431b43650d7,2025,7,1,ST,NO2,NA,NA,52872.975000000006,VO_0f5153ce4fa137d73df5;VO_50ee1122e2c46576be74,NA,FALSE
