chain,parameter,mean,sd,q05,median,q95,probability_positive
1,beta_res_V,-0.032395066793,0.5828344031748453,-0.9239704500000001,0.051192,0.8041130499999999,0.513
2,beta_res_V,0.1543246804992,0.5110282352231781,-0.7573148000000001,0.253255,0.84251465,0.651
3,beta_res_V,-0.07885621582,0.5703880979494587,-0.92399725,-0.10117425,0.7939994999999999,0.468
4,beta_res_V,-0.1599590138396,0.5467754477741675,-0.9283144,-0.2175315,0.7156272499999998,0.393
1,b_res_stir,-1.210510156,0.33602725208140044,-1.7762475,-1.2172,-0.644399,0
2,b_res_stir,-1.2231300410000001,0.3121107348629137,-1.737437,-1.22324,-0.70243875,0
3,b_res_stir,-1.230453447,0.3373658160237082,-1.7768855,-1.230365,-0.69599325,0
4,b_res_stir,-1.247282437,0.3266316010727673,-1.7679464999999999,-1.250915,-0.6923311500000001,0
1,res_base,0.2150255642,0.08212094489804965,0.085906305,0.20676650000000002,0.35977255,1
2,res_base,0.2056597011,0.08129376627422694,0.083596655,0.2021265,0.34219134999999995,1
3,res_base,0.2200948004,0.08464158540113516,0.09101877500000001,0.2145105,0.3669278499999999,1
4,res_base,0.2164462835,0.08570730288977035,0.09104720000000001,0.2074115,0.3603026,1
1,sigma_PCr_res,1.24565292988,0.7174460004923845,0.1472797,1.186735,2.5139745,1
2,sigma_PCr_res,1.2724687435,0.8013490680755341,0.093207045,1.2097,2.653495,1
3,sigma_PCr_res,1.3279144538,0.6859044430591127,0.35483729999999997,1.25374,2.6228539999999994,1
4,sigma_PCr_res,1.3670040622,0.6733870120196925,0.47609310000000005,1.28162,2.5556314999999996,1
1,sigma_res_obs,2.3315674,0.2558572802237284,1.9316354999999998,2.31273,2.7700375,1
2,sigma_res_obs,2.30211565,0.2445497222562993,1.927801,2.28718,2.731998,1
3,sigma_res_obs,2.33516554,0.2594025196178566,1.9585215,2.312325,2.779437,1
4,sigma_res_obs,2.29810971,0.25008057719924637,1.933155,2.28023,2.7219260000000003,1
